ABET	i-ABET; 
improving	 ukwenza ngcono; ukuthuthukisa; 
in	phakathi kwa-; 
inability	ukungabi namandla; 
inadequate	okungalingene;  okunganele; 
inappropriate	 okuthunayo; okungafanele; 
inaugural	okokuvula; okokuqala; 
inauguration	ukugcotshwa; 
incapable	 okungenakwazi; okubuthakathaka;  okungenamandla; 
incapacity	ukungabi namandla; 
incarceration	ukufakwa etilongweni; 
incentive	okukhuthazayo; 
incentives	okukhuthazayo; 
inception	 isiqala; isisusa; 
incident	isigameko; 
incidental	-ngengozi; 
incidents	izigameko; 
include	faka;  hlanganisa; 
included	faka;  hlanganisa; 
includes	faka;  hlanganisa; 
inclusion	okufakiwe; 
inclusive	okuphakathi;  okukanye na-; 
inclusivity	ukufaka phakathi; 
income	 ingeniso; inzuzo; 
incomes	 ingeniso; inzuzo; 
incomplete	okungaphelele; 
inconsistent	okuguqukayo; 
incorporate	fakelela; 
incorporated	fakelela; 
incorporates	fakelela; 
incorporation	 ukungenisa; ukuhlanganisa; 
incorrect	okungaqondile; 
increase	 andisa;  ngeza; ukwandisa; 
increased	 andisa;  ngeza; ukwandisa; 
increases	 andisa;  ngeza; ukwandisa; 
increasing	 ukwengeza; ukwandisa; 
increasingly	 ngokukhula; ngokwanda; 
inculcate	fundisa; 
incurred	 zitholisa; thola; 
indeed	 isiminya;  isibili;  nembala; impela; 
independence	ukuzimela; 
independently	ngaphandle kwa-; ngokuzimela; 
index	inkomba;  inombolo eyinkomba; 
indicate	khombisa; 
indicated	khombisa; 
indicates	khombisa; 
indicating	ukukhombisa; 
indication	inkomba; 
indications	izinkomba; 
indicative	 okuqondisayo; okukhombisayo; 
indicator	inkomba; 
indicators	izinkomba;  izinkombasimo; izinkombambala; 
indices	izinkomba;  izinombolo eziyinkomba; 
indigenous	okomdabu;  -komdabu; 
indirectly	 ngokungaqondile; nganhlanye; 
individual	 -ngakunye; umuntu; 
individually	 lowo nalowo;  ngakunye; ngabanye; 
individuals	ngakunye;  abantu; 
industrial	okomsebenzi wohwebo; 
industries	umsebenzi wokwakha okohwebo; izimboni; 
industry	imboni; 
inequalities	ukungalingani;  ukungafani; 
inequality	ukungalingani;  ukungafani; 
infection	 ukungenwa yigciwane;  ukuthathelwana; umhabulo; 
infections	imihabulo;  ukungenwa yigciwane;  ukuthathelwana; 
inferior	-phansi; 
inflation	ukwehla kwamandla emali; 
inflows	ukugobhozela phakathi; 
influence	ithonya; 
influenced	ithonya; 
info	ulwazi; 
inform	ukwazisa; 
informal	okungenasimiso; 
information	ulwazi;  umbiko; 
informed	ukwazisa; 
informing	ukwazisa; 
inherent	okukhona ngemvelo yakho; 
inherit	 -thola ifa; ukudla; 
inherited	 thola ifa; ukudla; 
initial	 -kokuqala; okokuqala; 
initially	ekuqaleni; 
initiate	ukuthwasisa;  ithwasa; 
initiated	thwasisa; othwasisiwe; 
initiative	isu;  ukuzisusela; 
initiatives	amasu;  ukuzisusela; 
initiator	okuqambayo;  okuqalisayo; 
injuries	ukulimala; 
injury	ukulimala; 
injustice	 okungemthetho; ukwenza okungalungile; 
injustices	 okungemthetho; ukwenza okungalungile; 
inmates	iziboshwa; 
inner	okungaphakathi; 
innovation	ukuzisungulela; 
innovative	zisungulele; 
input	 ulwazi olufakiwe; -faka ulwazi; 
inputs	faka ulwazi;  ulwazi olufakiwe; 
inquest	ukuhlolwa kwendaba yokufa komuntu; 
inquiry	ukuphenya; 
inscribed	 loba; bhala; 
insert	faka;  gaxa; 
inserted	faka;  gaxa; 
insertion	ukungenisa;  okungeniswe phakathi; ukukhaxazwa; 
inserts	faka;  gaxa; 
inside	phakathi; 
insight	ukubona okusithekile; 
insights	ukubona okusithekile; 
insolvency	ukushona emalini;  ukushona ebhizinisini; 
insolvent	-shonile; 
inspect	 -hlola; hlola; 
inspection	ukuhlola; 
inspections	ukuhlola; 
inspector	umhloli; 
inspectorate	abahloli; 
inspectors	abahloli; 
inspiration	ukukhuthaza;  ugqozi; 
inspire	vusa ugqozi; funzelela; 
inspired	vusa ugqozi; funzelela; 
inspiring	ukufunzelela;  ukuvusa ugqozi; 
install	misa;  -xhuma; 
installation	ukuxhuma; 
installed	misa;  xhuma; 
instalment	i-instolimente; 
instalments	izitolimende; 
instance	isiboniso; 
instances	isiboniso; 
instead	esikhundleni sa-; 
institute	inhlangano; 
instituted	inhlangano; 
institution	isizinda; 
institutional	okwenhlangano; 
institutions	izizinda; 
instruction	umyalo; 
instructional	okokufundisa;  okomyalelo; 
instructions	imiyalo; 
instrument	okokusebenza;  isikhali somsebenzi;  imfijoli; 
instruments	 izimfijoli; izinsizakukala;  izikhali somsebenzi; izisetshenziswa;  okokusebenza; 
insufficient	nganele; 
insurance	umshwalense;  inshuwarensi; 
insurer	inkampani yomshwalense; 
intangible	okungenakuphathwa; 
integral	okuphelelisayo; 
integrate	faka;  hlanganisa; 
integrated	faka;  hlanganisa; 
integration	ukuhlanganisa ngokuphelelisa; 
integrity	ubuqotho;  ukuphelela; 
intellectual	umuntu onengqondo; 
intellectuals	abantu abanengqondo; 
intelligence	 ubunhloli; inhlakanipho; 
intend	ukuminyana; 
intensify	ukukhulisa;  ukwenza kube namandla; 
intensive	ukwenzisisa; 
intent	inhloso;  ukuqonda; 
intention	inhloso;  ukuqonda; 
intentionally	 ngokuqonda; ngamabomu; 
inter	 mbela; ngcwaba;  gqiba; 
inter alia	kanye nezinye izinto; 
interacting	ukuhlanganyela; 
interaction	ukusebenzisana; 
interception	 isisitho; iseqelo; 
interdepartmental	okuphathelene neminyango; 
interest	inzalo;  thatheka;  umnako; 
interested	 okhathelele; oshisekele; 
interesting	okunakisayo; 
interests	inzalo;  thatheka;  umnako; intshisakalo; 
interfaith	okuphathelene nezinkolo ezehlukene; 
interfere	phazamisa; 
interference	ukuphazamisa; 
intergenerational	okuphathelene nokuzala; 
intergovernmental	okuphathelene nohulumeni; 
interim	okwesikhashana;  umkhathi;  isikhashana; 
intermediaries	abalamuli; 
intermediary	umlamuli; 
intermediate	 okwangaphakathi; okusemkhathini; 
internal	 -ngaphakathi; ngaphakathi; 
international	okwamazwe ngamazwe; 
internationally	ngokwzizwe ezahlukene; 
internet	i-inthanethi; 
interns	abafundela ubudokotela esibhedlela; 
internship	ukufunda ukwenza umsebenzi; 
interpret	 -tolika; humusha; 
interpretation	ukuhumusha; 
interpreted	 tolika; humusha; 
interrogate	 buzisisa; buza; 
interval	umkhathi;  isikhawu; 
intervals	 imikhathi; izikhawu; 
intervene	ngenelela;  lamula; 
intervention	ukungenelela; 
interventions	ukungenelela; 
interview	 hlola ikhono ngengxoxo; ingxoxo; 
interviews	ingxoxiswano yolwazi;  hlola ikhono ngengxoxo;  inhlolokhono ngengxoxo; ingxoxo; 
intestate	okungaphandle kwencwadi yokwaba amafa; 
introduce	 -yazisa;  -letha;  -ngenisa;  -faka; ethula; 
introduced	 yazisa;  okufakiwe;  ngenisa;  letha; ethula; 
introducing	faka;  yazisa;  ethula;  ngenisa;  letha; 
introduction	isethulo;  isingeniso; 
invalid	okungenamthetho; okungaqinisile; 
invaluable	-ligugu; 
inventory	uhlu oluqukethe ubungaki namanani empahla ekhona; 
invest	londoloza; 
invested	londoloza; 
investigate	 hlaziya; hlola; 
investigated	 hlaziya; hlola; 
investigating	 ukuhlaziya; ukuhlola; 
investigation	 uphenyo; ukuhlola; 
investigations	 uphenyo; ukuhlola; 
investigative	okuphenyayo;  okuhlolayo; 
investigator	umcwaningi;  umphenyi; 
investigators	abacwaningi;  abaphenyi; 
investing	ukulondoloza; 
investment	isigaxa semali esilondoloziwe; 
investments	isigaxa semali esilondoloziwe; 
investors	abatshalimali; 
invitation	isimemo; 
invite	-mema; 
invited	abamenyiwe; 
invites	mema; 
inviting	ukumema; 
involve	zongolozela;  gaxa; banga; 
involved	zongolozela;  gaxa; banga; 
involvement	 ukuzongolozela;  ukugaxeka; ukubanga; 
involves	zongolozela;  gaxa; banga; 
involving	 ukugaxa; ukubanga; 
iron	 ayina; insimbi; 
irregular	okungahambi ngomthetho; 
irregularities	ukungahambi ngohlelo; 
irregularity	ukungahambi ngohlelo; 
irrespective	ngaphandle kwa-; 
irrigation	ukunisela;  ukuchelela; 
is	 u-; ku-; 
island	isiqhingi; 
issue	ukukhishwa;  udaba olukhulunywayo; 
issued	ukukhishwa; 
issues	ukukhishwa;  izindaba ezikhulunywayo; 
issuing	ukukhishwa; 
it	ku-; 
it's	ku-; 
item	 umcimbi; into; 
items	izinto;  imicimbi; 
its	okwakho; 
itself	khona uqobo lwakho; 
jazz	umculo wejezi; 
jewellery	ubucwebe;  iqoqo legugu; 
job	umsebenzi; 
jobs	imisebenzi; 
join	-xhuma;  hlanganisa izindwangu; 
joined	hlanganisa;  xhuma; 
joining	ukuhlanganisa;  ukuxhuma; 
joint	 ilunga; ijoyinti;  inhlangano yamapulangwe;  inhlangano yamathambo; 
jointly	ngokuhlanganyela; 
journalism	ubuntatheli; 
journalist	intatheli; 
journalists	izintatheli; 
journey	uhambo;  -hamba; 
joy	injabulo;  ukwenama; 
judge	 hlulela;  -hlulela; ijaji; 
judgement	isinqumo; 
judges	 hlulela;  amajaji; ahlulela; 
judgment	isinqumo; 
judgments	izinqumo; 
judicial	ukwehlulela; 
junior	omncane; 
jurisdiction	amandla esikhundla; 
jurisdictions	amandla esikhundla; 
juristic	okwesazi semithetho; 
just	 okunqumayo ngokomthetho;  okulungile; okufanele;  okuqotho; 
justice	ubulungiswa;  ubulingiswa;  okungomthetho; 
justified	vumela;  phendulela;  nika ilungelo;  bonisa ukulunga; 
justify	vumela;  phendulela;  nika ilungelo;  bonisa ukulunga; 
kb	i-kb; 
keen	okubukhali;  okucijile;  okuhlakaniphile; lila;  okukhaliphile; 
keep	gcina;  londa; 
keeping	ukugcina;  ukulinda; 
kept	gcina;  londa; 
key	 ukhiye; inkomba;  inothi;  inkinobho; 
keynote	inothi okuyilona eliqhamile; 
kick	khahlela;  ukukhahlela;  ukukhaba;  khaba; 
kick-off	ukuqala komdlalo; 
kill	-bulala; 
killed	bulala; 
kilometre	ikhilomitha; 
kilometres	ikhilomitha; 
kind	ukulunga; 
kindly	ngomusa; 
king	ingonyama; 
kingdom	umbuso ophethwe inkosi; 
kings	izingonyama; 
knew	 azi; bona; 
know	 azi; bona; 
knowing	 ukubona; ukwazi; 
knowingly	ngamabomu; 
knowledge	ulwazi; 
known	 azi; bona; 
knows	 azi; bona; 
laboratories	amalebhu; amagumbi okucwaninga ngokwesayensi; 
laboratory	igumbi lokucwaninga ngokwesayensi;  ilebhu; 
labour	ukubeletha;  imihelo;  umsebenzi; 
lack	ntula;  ukuntula; 
ladies	abesifazane;  amakhosikazi; 
laid	zalela; 
lake	 ichibikazi; ichibi; 
land	 umhlaba; insimu;  izwe; 
landfill	okulahlwayo kokwenza indawo ibukeke kahle; 
lands	imihlaba; 
landscape	ukubukeka kwezwe;  ukubukeka kwelizwe; 
language	ulimi; 
languages	izilimi; 
lapse	 ukudlula;  phutha;  iphutha; wa; 
large	ubukhulu; 
large-scale	ngokubanzi; 
largely	kakhulu;  imvama; 
larger	okukhulu; 
largest	ubukhulu; 
last	okokugcina; 
lasting	okuhlalayo; 
lastly	ngokokugcina; 
late	okulibele;  okuphuzile; 
later	kamuva; 
latest	okugcinileyo; 
latter	muva; 
laughter	insini; 
launched	qalwa; 
launches	qalwa; 
launching	ukuqalwa; 
laundering	 ukugeza izingubo; ukuwasha; 
laureate	okubekwe wokuhalalisa; 
laureates	okubekwe wokuhalalisa; 
law	umthetho; 
law-making	ukushaywa komthetho; 
lawful	okusemthethweni; 
lawfully	ngokomthetho; 
laws	umthetho; 
lawyer	ummeli; 
lawyers	abameli; 
lay	 zalela; -zalela; 
laying	ukuzalela; 
lead	 intambo kagesi; umthofu;  umthofi; 
leader	umholi; 
leaders	umholi; 
leadership	abaholi;  ubuholi; 
leading	 okunegama;  okuphambili; ukuhola;  okudumile; 
leads	 intambo kagesi; umthofu;  umthofi; 
leaflets	iqabungana; 
league	inhlangano;  iligi; 
learn	funda; 
learned	funda; 
learner	umfundi; 
learners	abafundi; 
learning	ukufunda; 
learnt	funda; 
lease	qashisa; qasha; 
leased	qashisa; qasha; 
leasehold	ukuthenga ngokuqashiswa; 
least	okuncane kakhulu; 
leave	ilivu; 
lecture	isifundo; 
led	 intambo kagesi; umthofu;  umthofi; 
left	kwesokunxele; 
leg	umlenze; 
legacy	umgalelo; 
legal	 okusemthethweni; -semthethweni; 
legally	ngokomthetho; 
legend	umzekeliso; 
legendary	okusenganekwaneni; 
legends	umzekeliso; 
legislation	ukumiswa kwemithetho; 
legislative	okukhiphayo imithetho; 
legislature	isishayamthetho; 
legislatures	izishayamthetho; 
legitimacy	ukuvunyelwa ngumthetho; 
legitimate	okuvunyelwe ngumthetho; 
lending	 ukutsheleka; ukubolekisa; 
length	 ubude bendwangu; ubude;  ubude besifundo; 
less	 -ngcosana; ncane; 
lesser	 umqashisi; oqashisayo; 
lesson	isifundo; 
lessons	izifundo; 
let	vumela; 
let's	vumela; 
letter	incwadi;  unobumba;  uhlamvu; 
letters	 izinhlamvu; izincwadi; 
level	 -linganisa; izinga;  okuthe tha;  ukuphakama;  ileveli; 
levels	 okuthe tha; amaleveli;  amazinga; 
levied	intela; 
levies	intela; 
levy	intela; 
liabilities	okuyizikweletu; 
liability	icala; 
liable	okunokubekwa icala; okunecala; 
liaise	 ukumisa ukubambisana; ukudala ukusebenzisana; 
liaison	ubugxebe; 
liberalisation	ukuthanjiswa kwemithetho yokuthibela; 
liberation	ukukhulula; 
librarians	abaphathi beqoqo lamabhuku;  abaphathi beqoqo lamarekhodi;  abasebenzi basemtapweni wolwazi; 
libraries	imitapo yolwazi; amaqoqo amabhuku;  amaqoqo amarekhodi; 
library	iqoqo lamabhuku; 
licence	ilayisense; 
licences	amalayisense;  amalayisensi; 
license	ilayisensi; amalayisense; 
licensed	nikwe ilayisensi; 
licensee	onelayisensi; 
licensees	abanelayisensi; 
licensing	ukunika ilayisensi; 
lie	ukuvundla kwengane esiswini sikanina; 
lies	ukuvundla kwengane esiswini sikanina; 
life	impilo; 
lifetime	isikhathi sonke sempilo; 
light	 -lula;  okhela; lula;  ukukhanya; 
lighting	isibani; 
like	 okufuzayo;  thanda; okufanayo; 
likely	okungenzeka; 
limit	 isigcino; umkhawulo; 
limitation	ukukhawuliswa; 
limitations	ukukhawuliswa; 
limited	okunqunyelwe; 
limiting	 isigcino; umkhawulo; 
limits	 isigcino; imikhawulo; 
line	 umudwa; gqishela; umugqa; 
line'	 imidwa; imigqa; 
line-up	helisa; 
lines	imigqa yesitafu; 
linguistic	okuphathelene nolimi; 
link	 ukubhala ngokuhlanganisa; hlanganisa;  -hlanganisa;  isihlanganisi; 
linkages	isixhumanisi; 
linked	isondo leketango;  ukubhala ngokuhlanganisa; hlanganisa;  isihlanganisi; 
linking	ukuhlanganisa;  ukubhala ngokuhlanganisa; amasondo eketango;  hlanganisa; 
links	hlanganisa; ihhuku leketango; 
liquid	 okuluketshezi; uketshezi;  ubuketshezi; 
liquidation	ukukhokha izikweletu, ikakhulu ezomuntu osehlulekile ukuzikhipha ; 
liquidator	okhikhisa izikweletu zomuntu; 
liquidity	ukuba nokheshi nezimpahla ezingenziwa ukheshi; 
liquor	utshwala; 
list	uhlu; 
listed	uhlu; 
listen	lalela;  beka indlebe; 
listing	uhlu; 
lists	inkundla yokuncintisana; 
literacy	ulwazi lokufunda nokubhala; 
literally	 ngoqobo; ngempela; 
literary	 okwezincwadi; okokuloba; 
literature	 ezemibhalo; imibhalo; 
litigation	 icala lokubanga; umbango; 
little	 okuyingcosana; okuncane; 
live	-phila;  -namandla kagesi; 
lived	ukuba namandla kagesi;  phila; 
livelihoods	imisebenzi yokuziphilisa; 
lives	impilo; 
livestock	imfuyo; 
living	 ukuhamba;  okuhambayo;  inkambo;  okuzwayo; ukuhlala; 
load	isisindo; 
load-shedding	ukucishwa kukagesi; 
loan	okutshelekiwe; 
loans	okutshelekiwe; imalimboleko; 
local	 -kwendawo; okwendawo; 
locally	 khona lapho; endaweni ethile;  khona lapha; 
locals	 okwendawo; kwendawo; 
located	bekwe endaweni ethile; 
location	 indawo; ilokishi; 
lock-up	ijele; 
lodge	 qasha ikamelo lokuhlala; hlala;  ngenisa;  indlwana; 
lodged	 qasha ikamelo lokuhlala; hlala;  ngenisa; 
lodging	 ukungenisa;  ukuqasha ikamelo lokuhlala; ukuhlala; 
logistics	nokungenisa;  uhlelo lokuthutha;  nokuphakelwa kwamabutho nezinto zokusebenza; 
long	ubude; 
long-term	isikhathi eside; 
longer	ubude; 
look	bheka;  qaphela; 
looked	bheka;  qaphela; 
looking	 ukuqaphela; ukubheka; 
looks	bheka;  qaphela; 
loop	isihibe; 
lose	ehlulwa; 
loss	ukulahlekelwa;  iphesenti lokulahlekelwa; 
losses	 amaphesenti okulahlekelwa; ukulahlekelwa; 
lost	ehlulwa; 
lot	izinga nezimo zempilo; 
lottery	ilotheri; 
love	-thanda; 
loved	thanda; 
lovers	izithandani; 
low	phansi; 
low-income	imali encane engenayo; 
lower	 cwilisa;  ehlisa;  shonisa;  okungaphansi kakhulu; okungaphakeme;  zikisa;  lulaza; okuphansi;  pholisa; 
lowest	phansi; 
lump	isigaxa; 
machine	umshini; 
machinery	 umshini; imishini; 
machines	imishini; 
macro-economic	ukufunda ngezimo zomnotho ngokubanzi; 
macroeconomic	ukufunda ngezimo zomnotho ngokubanzi; 
made	 enza; uhlobo; 
magazine	iphephabhuku;  imagazini; 
magazines	amaphephabhuku;  imagazini; 
magisterial	okuphathelene nobumantshi; okunamandla emantshi; 
magistrate	imantshi; 
magistrate's	okwemantshi; 
magistrates	izimantshi; 
magnificent	 okunobukhosi; okuhle kakhulu;  okunobucwazicwazi; 
magnitude	ubukhulu; 
mail	imeyili;  iposi; 
main	 okunamandla;  okuyingqikithi; okukhulu; 
mainly	kakhulu;  imvama; 
mainstream	okuvamile; 
mainstreaming	ukwenza kuvame; 
maintain	gcina;  -gcina ubunjalo; 
maintained	 gcina ubunjalo; gcina; 
maintaining	ukugcina;  ukugcina ubunjalo; 
maintains	 gcina ubunjalo; gcina; 
maintenance	 ukunakekela; ukubheka; 
major	 osebangeni lobudala;  umeja;  uhlu olukhulu lwamanothi; okukhulu; 
majority	 ubuningi; iningi;  osekhulile ngokomthetho; 
make	uhlobo;  -enza; 
makers	abenzi; 
makes	izinhlobo;  enza; 
making	 uhlobo; ukwenza; 
malaria	 uqhuqho; umalaleveva; 
male	 okwesilisa; isilisa;  ubulili besilisa; 
males	 okwesilisa;  ubulili besilisa; abesilisa; 
mall	iMoli; inxanxathela yezitolo; 
man	 umufo;  indoda;  isintu; umuntu; 
manage	-phumelele; 
managed	 phumelela; lawula; 
management	ukuphatha;  abaphathi; 
manager	umphathi; 
managers	abaphathi; 
manages	 phumelela; lawula; 
managing	ukulawula;  ukuphumelela; 
mandate	igunya; 
mandated	igunya; 
mandates	amagunya; 
mandatory	 okuphoqayo; okuphoqelekile; 
manifestations	izibonakaliso; 
manner	isiqondiswana; 
manual	-enziwe ngezandla;  incwadi yokuchasisa; 
manufacture	enza;  -akha; 
manufactured	enza;  akha; 
manufacturer	umakhi; 
manufacturing	ukwakha; 
manuscript	umbhalo; 
manuscripts	imibhalo engashicilelwe; imibhalo; 
many	ningi; 
map	ibalazwe; 
mapping	ukudweba emephini; 
maps	amabalazwe; 
march	imashi;  -masha;  umvivo; 
marched	masha; 
margin	 usebe lwekhasi; umngcele; 
marginal	okwasemphethweni; 
marginalised	okuphethwe njengento engasho lutho; 
marginalized	okuphethwe njengento engasho lutho; 
maritime	okuphathelene nezindaba zolwandle; 
mark	umklomelo;  phawula;  uphawu;  -enza uphawu; 
marked	bhadeka; beka uphawu;  ;  khoma; 
market	 -hweba;  imakethe;  thengisa emakethe; abathengi; 
marketing	 ukuhweba; ukuthengisa; 
markets	 hweba;  izimakethe; izindawo zokuhwebelana;  thengisa emakethe; abathengi; 
marking	ukumaka; 
marks	 phawula;  enza uphawu; imiklomelo;  izimpawu; 
marriage	 ukuganana; ukushada; 
marriages	 ukuganana; ukushada; 
married	 gana;  ganisa;  enda; ganwa; endisa;  shadisa;  that umfazi; 
mass	isisindo;  ingqumbi;  isixuku; 
massive	okukhulu kakhulu; 
master	 inkosi;  ubasi; induna; 
master's	okwenduna;  okwenkosi; okukabasi; 
match	ukuhambisana;  -fanisa;  -vumelanisa;  qondanisa;  okulinganayo;  umdlalo;  umentshisi; 
matches	umentshisi; 
material	okokwakha;  okokusebenza; 
materially	nempela; 
materials	okokwakha;  okokusebenza; 
maternal	 okukanina; okuphathelene nobunina; 
mathematical	okwemethamathiki;  okwezibalo; 
mathematics	isifundo sezibalo;  imathemathiki; 
matric	umatikuletsheni; 
matrimonial	okuphathelene nomshado; okokuthathana; 
matter	 utho; into;  ubovu; 
matters	izinto; 
maturity	 ukukhula ngokuphelele; ukukhula; 
max	ubuningi bokugcina;  isibalo esiphelele esinqunyiweyo; 
maximise	-khulisa; 
maximum	ngobukhulu bokugcina;  izinga eliphezulu;  ubuningi bokugcina; 
may	 mhlawumbe; kumbe;  kunga-; 
maybe	 mhawumbe; kumbe; khathsimbe; 
mayor	 usodolobha; umphathidolobha; 
mayors	abaphathidolobha;  osodolobha; 
me	mina; 
mean	 indawo ephakathi nqo;  okungenasithunzi;  okulingene kahle; okudelelekile;  indeni;  okungenalucu;  oncishanayo; qonda; 
meaning	 ukuthini; incazelo; 
meaningful	okuzwakalayo;  okunengqondo; 
meaningfully	ngendlela ezwakalayo; 
meanings	 izincazelo; ukuthini; 
means	 qonda;  ingcebo; isu;  icebo; 
meant	qonda; 
measure	 linganisa; isilinganiso;  ukulinganisa;  -kala; 
measured	linganisa; 
measurement	 okukaliwe; ukulinganisa; 
measures	 linganisa; ukulinganisa;  izilinganiso;  kala; 
measuring	ukukala; 
mechanical	okwezinamba; 
mechanism	inkambiso;  umsebenzi-mshini; 
mechanisms	izinkambiso; imisebenzimshini; 
media	abezindaba; 
mediation	umlamulelo;  umxazululo; umlamulo; 
medical	ukwelapha;  -kokwelapha; 
medicine	umuthi; 
medicines	imithi; 
medium	ulimi okufundiswa ngalo; 
medium-term	isikhathi esimaphakathi; 
meet	hlangana na-; 
meeting	umhlangano; 
meetings	imihlangano; 
meets	hlangana na-; 
mega	 okukhulukazi; okuningi kakhulu; 
melting	 ukuncibilika; ukushabalala; 
member	ilungu; 
member's	okwelunga; 
members	amalungu; 
membership	ubulungu; 
memorandum	umbiko sethulo; 
memorial	itshe lesikhumbuzo; 
memories	 izinkumbulo; ukukhumbula; izikhumbuzi; 
memory	 inkumbulo; ukukhumbula; 
men	 abafo;  abesilisa; amadoda;  abantu; 
mental	 -kwekhanda; kwengqondo;  okwekhanda; 
mentally	ngengqondo; 
mention	-shono; 
mentioned	shono; 
menu	uhla; 
merchant	umhwebi; 
mere	 okunje; kuphela;  ichibi;  idangu; 
merely	 kuphela; nje; 
merger	ukuhlanganiswa kwezinkampani ezithile; 
merit	fanela;  okufanelwe ukutuswa; ukufanela; 
merits	fanela;  okufanelwe ukutuswa; ukufanela; 
message	umlayezo; 
messages	imiyalezo; 
messenger	isigijimi; 
met	hlangana na-; 
metal	 insimbi; okusansimbi; 
metals	 izinsimbi; okusansimbi; 
method	 indlela yokwenza; indlela; 
methodology	isayensi yamasu okwenza; 
methods	izindlela;  izindlela zokwenza; 
metro	i-metro; 
metropolitan	iMetropolitan; 
micro	okuncane; 
middle	maphakathi; 
midst	iphakathi; 
might	amandla;  isidlakala; 
migration	ukuthutha;  ukwemuka kwelinye izwe; 
milestone	impumelelo empilweni; 
milestones	impumelelo empilweni; 
military	 kwempi; amasosha; 
milk	ubisi; 
millennium	isikhathi seminyaka eyinkulungwane; 
million	isigidi; 
millions	izigidi; 
mind	ingqondo; 
mindful	okuqondile;  okukhumbulayo; 
minds	ingqondo; 
mine	 imayini;  -imba;  tapa emgodini; umgodi; 
mineral	 okumbiwayo;  iminerali; okusansimbi; 
minerals	 okumbiwayo;  iminerali; izakhamzimba ezisasawoti; okusansimbi; 
mines	izimayini; yimba;  imigodi;  tapa emgodini; 
minimise	ukunciphisa; 
minimum	ubuncane bokugcina; 
mining	ezezimayini; 
minister	 ungqongqoshe;  umfundisi wezenkolo; uNgqongqoshe; 
minister's	okukangqongqoshe; 
ministerial	ubungqongqoshe; 
ministers	 ungqongqoshe;  abefundisi bezenkolo; uNgqongqoshe; 
ministry	ubufundisi beNkosi;  iHhovisi likangqongqoshe; 
minority	idlanzana;  ukuba ingane ngokomthetho;  ingcosana; 
minutes	amaminithi; 
misconduct	ukweqa umthetho; 
misleading	okudukisayo;  okukhohlisayo; 
missing	okungekho; 
mission	umsebenzi ojutshiwe; 
missions	abasebenzi abajutshiwe; 
mitigate	nciphisa; thambisa; 
mitigation	 ukuthambisa; ukunciphisa; 
mix	hlanganisa; 
mixed	okudidekile;  okuphembene; okuxubene; 
mobile	okuhambayo; 
mobilisation	ukuugqugquzelwa; 
mobilise	ukuvukuza; 
mobility	 amandla okunyakaza; ukunyakaza; 
model	 isifanekiso; isibonelo;  bumba;  isibonelwana;  okhangisa; 
models	izibonelo;  bumba;  abakhangisayo;  izifanekiso; izibonelwana; 
moderate	 likahle; okwanele;  okulingene; 
modern	 okwalesi sikhathi; okwanamuhla;  okusha; 
modernisation	Ukwenziwa kube okwalesi sikhathi; 
modified	lolonga; guquguqula; 
modify	guquguqula; 
moment	umzuzwana; 
moments	imizuzwana; 
momentum	umfutho;  ukukhula kwesisindo;  ubukhulu bejubane; 
monetary	okuphathelene nemali; 
money	imali; 
moneys	imali; 
monies	imali; 
monitor	-qapha;  imonitha; 
monitored	qapha;  imonitha; 
monitoring	ukumonitha; ukuqapha; 
monitors	qapha;  imonitha; 
month	inyanga; 
monthly	ngenyanga; 
months	izinyanga; 
monument	itshe lesikhumbuzo; 
monuments	amatshe esikhumbuzo; 
moral	 imfundiso ephathelene nesimilo esihle; isifundo; 
more	ngaphezulu; 
moreover	futhi; 
morning	ekuseni; 
mortality	ubuningi babafayo; ukufa; 
mortgage	ukubanjiswa kwempahla noma yizwe kuze kukhokhwe isikweletu; 
most	iningi; 
mostly	kakhulu;  imvama; 
mother	umama; 
mothers	omama; 
motion	isiphakamiso;  umnyakazo; 
motions	iziphakamiso;  iminyakazo; 
motivation	ukukhuthaza; 
motor	injini; 
motto	isiqubulo; 
mountain	intaba; 
mountains	izintaba; 
mouth	umlomo;  usizalo; 
movable	okunokunyakaziswa; okunokususwa; 
move	ukuhamba;  gudluza; 
moved	hamba;  gudluza; 
movement	inhlangano;  umnyakazo;  ukunyakaza; 
movements	 iminyakazo; izinhlangano;  ukunyakaza; 
moves	ukuhamba;  gudluza; 
movie	ingqayi; 
moving	 okuyaluzayo;  okunyakazayo;  okuhambayo; okuqhubekayo; 
much	 okuvamile;  okuningi; okukhulu; 
multi-party	okumaqembumaningi; 
multilateral	okunhlangothiningi; 
multilingual	okuliminingi; 
multilingualism	ubuliminingi; 
municipal	usodolobha;  -kwedolobha; 
municipalities	omasipala; 
municipality	umasipala; 
murals	imihlobiso esodongeni; 
murder	icala lokubulala umuntu;  icala lokubulala ngamabomu; 
museum	imyuziyemu; 
museums	izilondolozimagugu; amamyuziyemu; 
music	umculo;  imvunge; 
musician	umculi; 
musicians	abaculi; 
must	 -bo-; -fanele;  ukukhunta;  amanzi amagilebhisi; mane; 
mutandis	mutatis mutandisi;  ngokuguquguquka okudingekayo; 
mutual	okomunye nomunye; 
mutually	ngokusizana; 
my	okwami; 
myself	mina uqobo lwami; 
n	’n; 
name	 qamba; igama; 
named	 qamba; igama; 
namely	ngokuthi; 
names	 qamba; amagama; 
