APRIL	Lambamai; 
knowing	 pfesesa;  ḓivha; 
knowingly	ḓivha; 
knowledge	nḓivho; 
known	 ḓivhea; pfesesea; 
knows	pfesesa;  ḓivha; 
laboratories	ḽaborethari;  ḽaboratori; 
labour	 -shuma;  mushumi;  u luma ha ṋowa; mushumo; 
lack	vhushai;  -shaya; 
ladies	mufumakadzi;  musadzi; 
laid	kudzela; 
lake	dzivha;  isha; 
land	 mavu; shango;  tsimu;  -kavha; 
landfill	ḓaleḓale; ḓalaḓale; 
lands	 tsa; ima;  kavha; 
language	luambo; 
languages	nyambo; 
lapse	tshihaṱu;  phausi; ima;  tshikhala;  ita mulandu i si nga khole;  litsha; 
large-scale	zwinzhi;  khulu;  zwihulwane; 
largely	 nga u angaredza; nga maanḓa; 
larger	khulu; 
largest	khulwanesa; 
last	fhedzisela; 
lasting	 lalama;  fhedza; lini na lini;  zwa tshoṱhe; 
lastly	tsha u fhedza; 
late	 lenga; mufu; 
later	nga murahu; 
latest	maswamaswa;  tshiswatshiswa; 
latter	-bulwaho murahu; 
laughter	 mapwapwalala; maseo;  tshiseo; 
launch	 dzhenisa tshikepe maḓini; thoma; 
launched	 dzhenisa tshikepe maḓini; thoma; 
launches	 dzhenisa tshikepe maḓini; thoma; 
launching	 dzhenisa tshikepe maḓini; thoma; 
laundering	vhe mulayoni ;  kulumaga; ngalangadza; kunakisa;  kuvha; 
laureate	muṱanganedzi wa tshiphuga; 
laureates	vhaṱanganedzi vha zwiphuga; 
law	mulayo; 
law-making	mulayo;  vhusimamulayo;  vhuhaṱuli;  zwa mulayo; 
lawful	tshi mulayo;  zwi tendelanaho na mulayo;  zwa mulayo; 
lawfully	mulayoni;  zwi yaho nga mulayo;  lwa mulayo; 
laws	milayo; 
lawyers	vhoramilayo; 
lay	-kudzela; 
laying	kudzela; 
lead	 mutobvu; tshifhirisi;  tshipfukisi; 
leader	murangaphanḓa; 
leaders	vharangaphanḓa; 
leadership	vhurangaphanḓa; 
leading	 ranga phanḓa;  dededza; fhira;  dzula phanḓa;  tshimbidza;  endedza;  xedza; 
leads	 mutobvu; tshifhirisi;  tshipfukisi; 
leaflets	kuṱari; 
learn	ḓifunza; guda; 
learned	 vha na nḓivho;  pfesesaho;  gudaho; funzea; 
learner	mugudi; 
learners	vhagudi; 
learning	 funzwa;  guda; 
learnt	 funzwa; guda; 
lease	 rennde; hira; rennda; 
leased	hirisa;  rendisa; 
leasehold	 nnḓu ya u rendisa; hirisa;  nnḓu ya u hirisa;  rendisa; 
least	zwiṱukuṱuku;  kuṱukuṱuku; 
leave	 ṱutshela;  ḽivi; sia;  takuwa;  ṱuwa;  litsha; 
leaves	 ṱutshela; sia;  takuwa;  ṱuwa;  litsha; 
leaving	 ṱutshela; sia;  takuwa;  ṱuwa;  litsha; 
lecture	pfumbudzo; 
led	 mutobvu; tshifhirisi;  tshipfukisi; 
left	monde; 
leg	mulenzhe; 
legacies	vhufa; 
legacy	vhufa; 
legal	-mulayo; 
legally	mulayoni;  zwi yaho nga mulayo;  lwa mulayo; 
legend	lungano; 
legendary	 tshi re na phungo;  takalelwaho; bvumo;  ḓivheaho; 
legends	mafhungolungano; lungano; 
legislation	theo ya milayo; 
legislative	mulayo;  vhusimamulayo;  vhuhaṱuli;  zwa mulayo; 
legislature	vhusimamulayo; 
legislatures	vhusimamulayo; 
legitimacy	 mulayoni; teaho;  vhukuma;  ngoho;  fanelaho; 
legitimate	 zwa vhukuma; mulayoni; zwi itwaho ngangelekanyo;  zwa ngoho; 
lend	koloda; 
lending	koloda; 
length	 vhunavha; vhulapfu; 
less	fhasi; 
lesser	 zwiṱukuṱuku;  zwi si zwa ndeme;  ṱukufhadza; fhungudza; 
lesson	ngudo; 
lessons	ngudo; 
let	 tendelela;  vhofholola; tendela;  litsha; 
let's	 tendelela;  kha ri;  vhofholola; tendela;  litsha; 
letter	 luṅwalo; vhurifhi;  ḽeḓere; 
letters	 maṅwalo;  thannga;  maḽeḓere; marifhi; 
level	 magumo;  -linganyisa; vhulapfu;  eḓanelaho;  -eḓanaho;  -levhelwaho; 
levels	 levhelwaho;  magumo;  eḓanaho; vhulapfu;  eḓanelaho;  linganyisa; 
levied	muthelo; 
levies	muthelo; 
levy	kosekose; 
liabilities	pfanelo;  milandu;  vhuḓifhinduleli;  khwalo; 
liability	pfanelo;  vhuḓifhinduleli;  muhwalo;  mulandu; 
liable	vhuḓifhinduleli;  zwine zwa nga; 
liaise	 ṱumanya;  kwamanya; konanya; 
liaison	 vhukwamanyi; vhukonanyi;  vhuṱumanyi; 
liberalisation	 rengulula; vhofholola;  pfuṋulula; 
liberation	mbofholowo; 
librarian	muḽaiburari; 
librarians	vhaḽaiburari;  vhaḽaiburari vha phuleithi; 
libraries	 laiburari dza phuleithi; ḽiburari; 
licence	ḽaisentsi; 
licences	ḽaisentsi; 
license	thendelo; 
licensed	tendelwa;  khwaṱhisedzwa;  themendelwa;  ṅwaliswa; 
licensee	mulanguli; mukoma wa nnḓu;  radzihodela;  muṋe; 
licensees	vhalanguli; vhoradzihodela;  vhakoma vha nnḓu;  vhaṋe; 
licensing	thendelo; 
lie	kudzulele kwa ṅwana mbumbeloni; 
lies	kudzulele kwa ṅwana mbumbeloni; 
life	vhutshilo; 
lifetime	vhutshilo hoṱhe; 
light	 tshedza; leluwa;  u fhefhuwa;  -leluwa;  -fhefha; 
lighting	mavhone; 
like	 ingaho;  fanaho; sa;  nga mukhwa muthihi;  funa;  tama; 
likely	zwi tamisaho;  zwine zwa nga; 
limit	mukano;  mugumo; 
limitation	 maanḓa; ndango;  nyiledzo;  mukano;  thivhelo; 
limitations	 maanḓa; ndango;  nyiledzo;  thivhelo;  mikano; 
limited	 kaliwa; fhungudzwa;  songo fhelelaho;  pimiwa;  eliwa; 
limiting	mukano;  mugumo; 
limits	mukano;  mugumo; 
line	mutalo;  mutala; ḽaina; 
line'	mutalo; 
line-up	 tshikwadi;  thimu; tshigwada;  thevhekano ya mbekanyamushumo;  muduba; 
lines	mitaladzi; 
linguistic	zwa nyambo; 
link	-ṱuma; 
linkages	ṱhumo; 
linked	 ṱhuma; ṱuma;  ṱhumo; ḽinki;  tshitumi; 
linking	 ṱhuma; ṱuma;  ṱhumo; ḽinki;  tshitumi; 
links	ṱanganya;  ṱuma; 
liquid	 -tshiluḓi; tshiluḓi; 
liquidation	u wa tshiṱoko; 
liquidator	muṱoli;  mulavhelesi;  muṱanganedzi;  muṱanganedzi mulauli;  muṱanganedzi wa tshiofisi; 
liquidity	 nyelelo ya tshelede;  luḓi;  kheshe;  tsheledembetshelwathungo;  mpambo;  tshiluḓi;  lufhirima; tshelede; 
liquor	tshikambi; 
list	mutevhe; 
listed	mutevhe; 
listen	 thetshelesa; pfa; 
listing	mutevhe; 
lists	mitevhe;  tevhekanya; 
literacy	vhukoni ha u vhala na u ṅwala; 
literally	thevhedzaipfi; 
literary	 maṅwalwa; ḽitheretsha; 
literature	maṅwalwa; 
litigation	mbilo; 
little	ṱukufhala;  ṱukufhadza;  kuṱukuṱuku; 
live	-tshila;  -re muḓagasi; 
lived	 re muḓagasi; tshila; 
livelihoods	 ndondolo;  kutshilele; mushumo; 
lives	vhutshilo; 
livestock	zwifuwo; 
living	 tshidzwa;  lalama; dzula;  tshila;  hanya; 
load-shedding	dzima muḓagasi nga u sielisana; 
loan	khadzimiso; 
loans	khadzimiso; 
local	tshapo; 
locally	henefho;  henefho tsini; 
locals	tshapo; 
located	 dzula;  wanala; fhethu; 
location	tshikolobulasi; 
lock-up	valela;  khiya; hoṋa;  khiṋa; 
lodge	 vheya; dzula;  fhaṱa;  hwelela ; 
lodged	 vheya; dzula;  fhaṱa;  hwelela ; 
lodging	fhethu hune ha dzulwa hone; 
logistics	nzudzanyo dza mushumo u konḓaho; nyendedzo ya thundu; 
long	-lapfa; 
long-term	tshifhinga tshilapfu; 
longer	lapfa; 
look	 lisa; vhona;  ṱoḓa;  lavhelesa;  londola;  ṱhogomela;  mbonalo;  sedza;  basoba; 
looked	 lisa; vhona;  ṱoḓa;  lavhelesa;  londola;  ṱhogomela;  mbonalo;  sedza;  basoba; 
looking	 lisa; vhona;  ṱoḓa;  lavhelesa;  londola;  ṱhogomela;  mbonalo;  sedza;  basoba; 
looks	 lisa; basoba ;  lavhelesa;  londola;  ṱhogomela;  mbonalo; sedza; 
loop	nkhwe; 
lose	-kundwa; 
loss	 tshinyalelo kha ḓana; tshinyalelo;  lozwa; 
losses	 tshinyalelo kha ḓana; tshinyalelo;  lozwa; 
lost	kundwa; 
lot	vhutshilo ha muthu; 
lottery	ḽothari; 
love	lufuno; 
loved	lufuno; 
lovers	vhafunani; vhatakaleli;  vhafuni; 
low	fhasi; 
low-income	muholo wa fhasi;  malamba a fhasi;  mbuelo ya fhasi; 
lower	 tsisa;  sinyalala khofheni;  ṱukufhadza; tsisela fhasi; fhungudza;  tsitsa; 
lowest	fhasi; 
ltd	Ltd; 
machine	 Mutshini; mutshini; 
machinery	mitshini; 
machines	mitshini;  Mitshini; 
macro-economic	ngudo ya ekonomi nyangaredzi; 
macroeconomic	ngudo ya ekonomi nyangaredzi; 
made	ita;  lushaka; 
magazine	 dzhenala; magazini; 
magazines	 dzhenala; magazini; 
magisterial	zwa madzhisiṱaraṱa; 
magistrate	madzhisiṱaraṱa; 
magistrate's	 zwa madzhisiṱaraṱa; ha madzhisiṱaraṱa; 
magistrates	madzhisiṱaraṱa; madhisṱaraṱa; 
magnificent	 tshavhuḓi; tshimangadzaho; 
magnitude	vhuhulu; 
mail	poswo;  posa; 
main	 muhulwane;  ṱhoho;  tshidziki; ndeme; 
mainly	zwihulu;  fhirisa ndinganyo; 
mainstream	 vhukati ha gondo;  zwa nga misi;  zwo ḓoweleaho;  katela matshudeni a vhukoni ho fhambanaho; muhumbulo nyangaredzi; 
mainstreaming	katela matshudeni a vhukoni ho fhambanaho; 
maintain	londota;  -unḓa; 
maintained	londota;  unḓa; 
maintaining	londota;  unḓa; 
maintains	londota;  unḓa; 
maintenance	ndondolo; 
major	medzha; 
majority	vhunzhi;  vhuḓi; 
make	lushaka;  -ita; 
makers	vhaiti;  vhasiki;  vhabveledzi;  vhavhumbi; 
makes	ita;  lushaka; 
making	ita;  lushaka; 
malaria	dali; 
male	munna;  -lume;  -mbeu tshiduna; 
males	vhanna;  mbeu tshiduna;  lume; 
mall	mavhengeletserekano ;  senthara ya mavhengele; mavhengeleni; 
man	 munna; muthu; 
manage	 langa; kona; 
managed	 langa; kona; 
management	 vhalangi; ndangulo; 
manager	mulanguli; 
managers	vhalanguli; 
manages	 langa; kona; 
managing	 langa; kona; 
mandate	ndaela; 
mandated	ndaela; mandate; 
mandates	ndaela; mandate; 
mandatory	 ṱoḓea;  khombekhombe; ndeme; 
manifestations	 tsumbedzo; sumbedza;  vhonadza; 
manner	maitele; 
manual	 -zwanḓa; bugupfarwa; 
manufacture	-bveledza; 
manufactured	bveledza; 
manufacturer	mubveledzi; 
manufacturing	vhubveledzi; 
manuscripts	thangelakhanḓiso; 
many	nnzhi; 
map	 mepe; mapa; 
mapping	 rekhoda; ola; 
maps	 mepe; mapa; 
march	 luhwenyisi;  matsha; gwalaba; 
marched	mumatsho;  luhwenyisi;  matsha; gwalaba; 
margin	magumo;  lukombo; 
marginal	fhasi;  zwi si zwa ndeme;  zwiṱuku;  lukombo; 
marginalized	tsisela fhasi; 
marine	-ḓanzhe; 
maritime	 ḓanzhe;  tsini na lwanzhe; lwanzhe;  ya lwanzhe; 
mark	 luswayo;  -ṋea maraga; maraga;  -swaya; 
marked	 limuswa; sumbedzwa;  swaiwa; korekiwa; 
market	 -vhambadza; maraga; 
marketing	mbambadzo; 
markets	 vhambadza; mimaraga;  mimakete; 
marking	u thivha; 
marks	 luswayo;  swaya; maraga; 
marriage	 u vhingana; mbingano; 
marriages	 vhingana; mbingano; 
married	 dzewa;  vhingwa; malwa;  tshata; 
mass	 masi; vhunzhi; 
massive	tshilemelaho; zwihuluhulu;  tshihuluhulu; 
master	 ṱhoho; kona;  vhasa;  ṋemashango;  muṋe; 
master's	 zwa muṋe;  zwa ṱhoho;  zwa ṋemashango; zwa vhasa; 
match	 mentshisi;  -elana; mutambo;  fananyisa;  metshe; 
matches	mitambo;  elana; mitshe;  mentshisi;  pfananyiso;  fananyisa; 
material	tshiitwa; 
materially	zwa ndeme; 
materials	zwiitwa; 
maternal	zwa vhomme; 
mathematical	mathematiki;  metse; mbalo; 
mathematics	ḓivhambalo; 
matric	maṱiriki; 
matrimonial	mbingano;  lumalo; 
matter	vhulwa;  metha; 
matters	vhulwa; thukhita;  metha; 
maturity	vhualuwa;  khulo; 
max	phasa zwavhuḓi;  bvelela nga maanḓa; 
maximise	hudza; 
maximum	zwa nṱhesa; 
may	nga; 
maybe	 ṱhaṅwe; khaṅwe; khamusi;  ṱhamusi; 
mayor	meyara; 
mayors	meyara; 
me	nṋe; 
mean	 tsho kotamaho; ḓasi;  humbula; amba; 
meaning	ṱhalutshedzo; 
meaningful	amba; 
meaningfully	amba; 
meanings	ṱhalutshedzo; 
means	 ṱhalutshedzo;  nḓila;  mali yo vhulungwaho;  humbula; amba;  maitele; 
meant	 humbula; amba; 
measurable	-kaleaho; 
measure	muelo;  -ela; 
measured	 kaliwa;  pimiwa;  eliwa; linganyiswa; 
measurement	muelo; 
measures	ela;  muelo; 
measuring	u ela; 
mechanism	kushumele;  mekhenizimu; 
mechanisms	kushumele;  mekhenizimu; 
media	vhoramafhungo; 
mediation	vhupfumedzani;  vhulamuli; 
medical	 lafha;  zwa mutakalo;  vhuṅanga; dzilafho; 
medicine	mushonga; 
medicines	mishonga; 
medium	luambo lwa u gudisa; 
medium-term	tshifhinga tsha vhukati; 
meet	 lugaho; ṱangana;  fanelaho; 
meeting	muṱangano; 
meetings	miṱangano; 
meets	 lugaho; ṱangana;  fanelaho; 
mega	zwihulwane; 
melting	ṋwa; ṋoka; 
member	muraḓo; 
member's	zwa muraḓo; 
members	miraḓo; 
membership	vhuraḓo; 
memorable	tshihumbudzo; 
memorandum	memorandamu;  ḽiṅwalo; 
memorial	tshihumbudzo; tshi eletshedzi; 
memories	mihumbulo; nyelelwo; 
memory	muhumbulo; 
men	 vharwa; vhanna;  tshinnani; 
mental	muhumbulo; 
mentally	muandiso; 
mention	 bula; amba; 
mentioned	ambiwa;  bulwa; 
menu	menyu; 
merchant	muvhambadzi; 
mere	fhedzi; 
merely	fhedzi; 
merger	ṱhanganelo; 
merit	vhukoni; 
merits	vhukoni; 
message	mulaedza; 
messages	milaedza; 
messenger	zhendedzi; 
met	 lugaho; ṱangana;  fanelaho; 
metals	methaḽa; 
method	maitele;  nḓila; 
methods	maitele;  nḓila; 
metro	 muvhuso wapo; tshiporo tsha tshidimela tsha nga fhasi; 
metropolitan	 masipala muhulu; ḓorobo khulwane; 
micro	tshiṱukusa; khomphyuthathendeleki;  khomphyutha ṱhukhu; 
middle	vhukati; 
midst	vhukati; makatini; 
might	 maanḓa; nga;  tshifhungu; 
milestone	tswikelo khulwane; 
milestones	tswikelo khulwane; 
military	mmbi; 
milk	 mikando; mafhi;  luvhisi; 
million	miḽiyoni; 
millions	miḽiyoni;  miḽioni; 
mind	muhumbulo;  ṱhalukanyo; 
mindful	 ṱhogomele;  ḓivha; humbulela; 
minds	mihumbulo;  ṱhalukanyo; 
mine	 -bwa; mugodi; 
mineral	 mineraḽa;  minirale; minerale; 
minerals	minirala; minerala;  mineraḽa; 
mines	migodi;  bwa; 
minimise	-fhungudza;  u fhungudza; 
minimum	gumofulu; 
minister	 mufunzi; minista; 
minister's	minisiṱa; khosi;  mufunzi; 
ministerial	zwa minisiṱa;  zwa khosi; zwa mufunzi; 
ministers	minisiṱa; mufunzi; 
ministry	vhushumeli;  zwa muhasho; 
minor	 mufhindulelwa; -mufhindulelwa; 
minority	vhuṱuku;  vhufhindulelwa; 
minutes	maambiwa; 
misconduct	vhukhakhi;  mutshimbidzi muvhi; 
misleading	khakhisa;  xedzwa;  khelusa;  kanganyisa;  xedza; 
missing	-siiwaho; 
mission	vhurumiwa; 
missions	vhurumiwa; 
mitigate	netisa; ḽerisa;  sekenisa; 
mitigation	netisa; ḽerisa;  sekenisa; 
mix	-ṱanganyisa;  -vanganya; 
mixed	 ṱanganywa;  vangwa;  vangana;  tshakatshaka;  ṱanganelana;  ṱanganyiswa;  vanganywa; fhambanaho; 
mobile	dzinginyisea;  pfulusea;  sudzulusea;  endedzea;  sendedzea;  tshimbidzea; dzinginyea;  ;  hwalea; 
mobilisation	shumisa;  lugisela;  dzudzanya; 
mobilise	kunga; 
mobility	vhuendi;  tsudzuluwo; 
model	tshiedza;  -edzisa; 
models	edzisa; zwiedzwa;  zwiedza; 
moderate	 zwa vhukati; vhutshilo ha tshizwinozwino; 
modern	 wa musalauno;  tsha musalauno;  ya tshino tshikhathi; musalauno;  dza musalauno; 
modernisation	 tshanduko;  vusuludza;  mbuedzedzo; khwinisa; 
modified	 shandula; khwinisa; 
modify	 -shandula; khwinisa; 
moments	kufhinganyana; 
momentum	 maanḓa; nungo;  mafulufulu; 
monetary	 zwa mali; zwa tshelede; 
money	tshelede; 
moneys	 mali; tshelede; 
monies	 mali; masheleni;  mithelo; tshelede; 
monitor	ṱola;  mulavhelesi;  monitha; 
monitored	ṱola;  mulavhelesi;  monitha; 
monitoring	ṱola;  mulavhelesi;  monitha; 
monitors	 mulavhelesi;  monitha; vhaṱoli; 
month	ṅwedzi; 
monthly	-ṅwedzi; 
months	miṅwedzi; 
monument	tshihumbudzo; 
monuments	zwihumbudzo; 
more	zwiṅwe; 
moreover	hafhu;  nṱha ha zwenezwo; 
morning	matsheloni; 
mortality	vhuswaho nga lufu; 
mortgage	tshikolodo tsha thundu; 
most	zwinzhi; 
mostly	 anzela;  zwihuluhulu; kanzhi; 
mother	mme; 
mothers	mme; 
motion	 u sudzuluwa; ḽikumedzwa; 
motions	makumedzwa;  sudzuluwa; 
motivation	ṱhuṱhuwedzo; 
motor	motho; 
motto	tshilivho; 
mountain	thavha; 
mountains	thavha; 
mouth	mulomo; 
movable	dzinginyisea;  pfulusea;  sudzulusea;  sendedzea;  tshimbidzea; dzinginyea; 
move	-tshimbidza; 
moved	mutho; tshimbidza; 
movement	ḽihoro;  tsudzuluwo; 
movements	 tsudzuluwo; mahoro; thitho; 
moves	mutho; tshimbidza; 
moving	tsukunyea; tshimbila;  sudzulusa;  pfuluwa;  dzinginyisa;  pfulusa;  sendela;  sudzuluwa;  dzinginya;  sendedza; 
much	 ngafhani;  manzhi;  nga maanḓa;  zwinzhi;  nnzhi;  vhanzhi; vhunzhi;  minzhi; 
multi-party	 madzangano manzhi; mahoro manzhi; 
multilateral	 mashango manzhi; ṱanganelana;  masia manzhi; muṱanganelwa; 
multilingual	 shumisa nyambo nnzhi; nyambo nnzhi; 
multilingualism	vhushumisanyambonnzhi; 
multiparty	-mahoro manzhi; 
multiple	nyandiso; 
municipal	 -masipala; masipala; 
municipalities	mimasipala; 
municipality	masipala; 
murals	zwifanyiso zwa luvhondoni; miolo ya luvhondoni;  makolo a luvhondoni; 
murder	 vhupondi; vhulaya; 
museum	muziamu; 
museums	mimusiamu;  mimuziamu; 
music	muzika; 
musical	ḽitambwa ḽa muzika; 
musician	muimbi; 
musicians	vhaimbi; 
must	fanela;  pfanelo;  kona; 
mutual	 vhoṱhe; khathihi;  ṱangana;  nga u lingana; 
mutually	 vhoṱhe; khathihi;  ṱangana;  nga u lingana; 
my	 zwanga;  tshanga; wanga;  dzanga; 
myself	nṋe muṋe; 
name	 -ira; dzina; 
named	 ira; dzina; 
namely	zwivhidzwa;  ndi uri; zwipfi; 
names	madzina;  ira; 
narrative	nganea; 
narrow	vhusekene; 
natal	beba; 
nation	lushaka;  tshitshavha; 
national	 -lushaka; lushaka; 
nationality	lushaka; 
nationally	lushaka;  tshaka dzoṱhe; 
nationals	lushaka; 
nationhood	lushaka;  tshaka dzoṱhe; 
nations	 zwitshavha; lushaka; 
native	murema; 
natural	 tsha mupo; -mupo; 
nature	mupo;  vhuvha; 
near	tsini;  vhandekana;  sendela tsini; 
nearest	tsini;  vhandekana;  tsinisa;  sendela tsini;  tsini tsini; 
nearly	tsini;  ṱoḓou;  ṱoḓa u vha; 
necessarily	zwithu zwi ṱoḓeyaho; 
necessary	-fanelaho; 
need	tshayo;  ṱhoḓea; 
needed	tshayo;  ṱhoḓea; 
needs	tshayo;  ṱhoḓea; 
negative	 nomboro ya fhasi ha noto;  -khanedza; khanedza; 
negatively	 tshilandulaho; tshilambaho; 
neglect	ṅaledza;  -litshedzela; 
neglected	nditsheledzo; litshedzela;  ṅaledza; 
negligence	vhulitshedzi; 
negotiate	ambedzana; 
negotiated	ambedzana; 
negotiating	ambedzana; 
negotiation	nyambedzano; 
negotiations	nyambedzano; 
neighbouring	vhahura;  mudzulatsini; mufhaṱisani; 
neither	naho e muṅwe; 
net	mambule; 
network	nethiweke; 
networking	netiweke; 
networks	nethiweke; 
never	na khathihi; 
nevertheless	naho zwo ralo;  nangwe zwo ralo; 
new	tshiswa; 
newly	tsini;  zwenezwino; 
news	maswa; 
newsletter	 bammbiri ḽa maswa; bammbiri ḽa mafhungo; 
newsletters	 mabammbiri a maswa; mabammbiri a mafhungo; 
newspaper	gurannḓa; 
newspapers	gurannḓa; 
newsroom	 lufhera lwa mafhungo; lufhera lwa maswa; 
next	zwi tevhelaho; 
night	vhusiku; 
nine	ṱahe; 
no	Aiwa;  evho;  ebo; hai; 
noble	 ṱhonifhea; vhuthu;  luga; 
nominal	 zwi si zwa ndeme; zwiṱuku; 
nominated	ta; 
nominations	muto;  ta; 
non	 sa khethulula; sa vha na tshiṱalula; 
non-compliance	sa tevhedza; 
non-governmental	 tshi si tsha hulumeni; tshi si tsha muvhuso; 
non-profit	tshayambuelo; 
non-racial	 sa khethulula; sa vha na tshiṱalula; 
non-racialism	-sa khethululi; 
non-refundable	sa badela murahu; 
non-sexism	sa ya nga mbeu; 
non-sexist	sa ya nga mbeu; 
non-tax	tshayamuthelo; 
none	a huna; 
nor	kana; 
normal	zwo ḓoweleaho; 
normally	kanzhi;  nga misi; 
norms	mikwa yo tendelwaho; 
north	devhula;  wa devhula; 
northern	tshibvaho devhula; thungo ya devhula; 
not	 nga si;  hayi;  a si; songo; athu; 
notable	ire na phungo; 
notably	ire na phungo; 
note	 noti; ṱari;  tshelede ya ṱari;  -ṅwala; 
noted	 noti; ṱari;  ṅwala;  tshelede ya ṱari; ḽuṅwalo;  tshelede ya mabammbiri; 
notes	notsi; 
nothing	si na tshithu; 
notice	tshenzhemo; 
notices	nḓivhadzo; 
notification	nḓivhadzo; 
notified	ḓivhiswa;  ḓivhadzwa; 
notify	ḓivhisa; ḓivhadza; bvumisa; 
noting	 noti; ṱari;  ṅwala;  tshelede ya ṱari; ḽuṅwalo;  tshelede ya mabammbiri; 
notion	 kuvhonele; muhumbulo; 
notwithstanding	naho zwo ralo; 
novel	 bugu ya nganea; nganea; 
now	zwino;  zwinozwino; 
nuclear	nuklia; 
null	 pumu; gumba;  noto;  si na mushumo;  si zwa ndeme; 
number	 mbalo; tshivhalo;  nomboro; 
numbers	mbalo;  dzinomboro; 
numerous	 tshixele; andesa; 
nurse	muongi;  u onga; 
nurses	 onga; muongi; 
nursing	onga;  lela; 
nurture	 bveledzisa;  londola; tikedza; ṱhongomela; 
nurturing	 ndondolo; mveledziso; ṱhongomelo; 
nutrition	mufusho; 
oath	muano; 
object	 tshiitwa; tshithu; 
objection	kalala; hana;  nyadza; 
objections	kalala; hana;  nyadza; 
objective	ndivho; 
objectives	zwipikwa; 
objects	 zwiitwa; zwithu; 
obligation	pfanelo; 
obligations	pfanelo; 
obliged	fanela;  kombetshedzwa;  takadzwa; 
observatory	tshifhaṱo tsha u lavhelesa ṋaledzi; 
observe	-sedzulusa;  -vhona; 
observed	vhona;  sedzulusa; 
obsolete	laṱwa;  fhirelwaho;  sa tsha shumiswa; 
obtain	wana; 
obtainable	wanala; 
obtained	wana; 
obtaining	wana; 
obvious	-vhonalaho; 
obviously	khagala;  vhonalaho;  pfalaho; 
occasion	 tshikhathi; tshifhinga;  zwi bvelelaho; 
occasions	 zwikhathi; zwifhinga;  zwi bvelelaho; 
occupation	 dzhenelela; mushumo; 
occupational	mushumo; 
occupied	 dzulwa; dzhiwa;  thubiwa; 
occur	bvelela;  itea; 
occurred	bvelela;  itea; 
occurring	bvelela;  itea; 
occurs	bvelela;  itea; 
ocean	 ḓanzhe; lwanzhe; 
of	 vha; ya;  zwa;  tsha;  ḽa;  dza;  ha;  wa;  lwa; 
off	swara; 
offence	 sinyusa;  vhutshinyi;  dinwa;  pfuka; khakhelo;  vhukhakhi;  tsinyuso;  khakhela;  sinyuwa;  dina; mulandu; 
offences	 sinyusa;  vhutshinyi;  dinwa;  pfuka; khakhelo;  vhukhakhi;  tsinyuso;  khakhela;  sinyuwa;  dina; mulandu; 
offender	 mupfuki wa mulayo;  mukhakhi; mutshinyi; 
offenders	 vhapfuki vha mulayo; vhatshinyi;  vhakhakhi; 
offer	tshiṋewa;  tshifhiwa;  kumedza; thendelano;  mpho;  ṋea;  fha;  madzinginywa;  ḽikumedzwa;  kumedzela;  ṋekedza;  gemo; 
offered	fha;  ṋea;  ṋekedza; 
offerings	munikelo;  tshiṋewadzimu; 
offers	fha;  ṋea;  ṋekedza; 
office	 vhuimo; ofisi; 
office-bearers	vhafari vha ofisi; 
officer	-hulumeni; 
officers	vhaofisiri; 
offices	vhuimo;  dziofisi; 
official	mushumeli;  -ofisi; 
officially	zwa tshiofisi; 
officials	 vhashumeli; tshiofisi; 
offset	fhira;  dzima vhuhali;  ṱuma lurere nga thungo;  linganyisa;  ndinganyiso; 
offshore	vhugabeloni; khunzikhunzini; 
often	 lunzhi; kanzhi;  lungana; 
oil	ole; 
old	 tsha kale;  kegula;  kalaha; lala; 
older	 tshihulwane;  zwihulwane; muhulwane; 
oldest	zwihulwanesa;  zwilala; 
omission	vhukhakhi;  hangwa;  khangwa; 
omissions	vhukhakhi;  hangwa;  khangwa; 
on	kha; 
on-going	 sa tumuwi;  bvelaho phanḓa; sa tumuwiho; dzulela;  ṱwa; 
once	luthihi; 
once-off	 kaṅwe;  luthihi fhedzi; luthihi;  kathihi; 
ones	thihi; 
ongoing	 sa tumuwi;  bvelaho phanḓa; sa tumuwiho; dzulela;  ṱwa; 
online	 lubuvhi; shuma; 
only	fhedzi;  iṅwe fhedzi; 
onto	kha; 
open	 aṱama; vula; tibuwa;  ruḓa;  bonyolola/bonyolowa;  tibula;  vulea; 
opened	 aṱama; vula; tibuwa;  ruḓa;  bonyolola/bonyolowa;  tibula;  vulea; 
opening	mvulo; 
opens	 aṱama; vula; tibuwa;  ruḓa;  bonyolola/bonyolowa;  tibula;  vulea; 
operated	ara; 
operates	ara; 
operating	ara; 
operation	maitele;  muaro;  mashumele; 
operational	shuma; 
operations	maitele; marekenele;  mashumele;  miaro; 
operator	mushumisi; 
operators	vhashumisi; 
opinion	vhupfiwa; 
opinions	vhupfiwa; 
opportunities	tshifhinga; 
opportunity	tshifhinga; 
opposed	 hanedzwa; fhambanywa; 
opposite	phambana; 
opposition	mahanedzi; 
oppressed	 shengedzwa; tambudzwa; ṱhuphiwa; 
oppression	ṱhupha; tambudza;  tshengedzo; 
oppressive	ṱhupha; tambudza;  shengedza; 
optimal	 maṱhakheni; khwine; 
optimism	fulufhedzisa;  fhulufhedzisa; 
option	 munango; khetho; 
options	 munango; khetho; 
or	kana; 
oral	orala; 
orange	swiri; 
order	 ndaela;  oda;  thevhekano;  nzudzanyo;  dzudzanya; teaho;  -hoda; 
ordered	 ndaela;  oda;  thevhekano;  nzudzanyo;  dzudzanya; teaho;  hoda; 
