APRIL	MMESA; 
early	 hoseng; pele; 
earmarked	 lokiseditswe; hopoletswe;  nahanetswe; 
earned	una; 
earning	una; 
earnings	 dihlapiso; meputso; 
earth	 lefatshe; mobu; 
ease	bonolo; 
easier	bonolo; 
easily	 ka bobebe; habobebe; 
eastern	ya Botjhabela; 
easy	bonolo; 
economically	ka ho baballa; ya moruo;  ka poloko;  ka paballo; 
economics	thuto ka moruo; 
economies	 meruo; ekonomi; 
economists	 baboloki; bahwebi; 
economy	moruo; 
edge	ntlha;  ntshi; 
edition	kgatiso; 
editor	mohlophisi; 
editors	mohlophisi; 
educate	-ruta; 
educated	 -ruta; rutile; 
educating	 -ruta; rutang; 
education	 -ruta; thuto; 
educational	thuto; 
educator	titjhere; 
educators	dititjhere; 
effect	sephetho;  diphetho;  phethahatsang; 
effected	sephetho;  diphetho;  phethahatsang; 
effectively	ka bokgoni; 
effectiveness	 bohlwahlwa; bokgoni;  boqhetseke; 
effects	 phethahatsang; diphetho; 
efficacy	 bohlwahlwa; bokgoni;  boqhetseke; 
efficiency	bokgoni; 
efficient	ka bokgoni; 
efficiently	ka bohlwahlwa;  ka bokgoni;  ka boqhetseke; 
efforts	boikitlaetso; 
eight	robedi; 
either	ekaba; 
elderly	ka botsofe; ka boholo; 
elders	batsofe;  maqheku le maqhekwana; 
elect	-kgetha;  ho kgetha; 
elected	-kgetha;  ho kgetha; 
election	dikgetho; 
elections	dikgetho; 
electoral	ya dikgetho; 
electrical	ya motlakase; 
electricity	motlakase; 
electrification	kgokelo ya motlakase; 
electronic	elektroniki; 
electronically	ka motlakase; 
elects	 -kgetha; kgetha;  ho kgetha; 
element	karolo; 
elements	motheo; 
elevate	phahamisa;  nyolla; 
eligible	 ekaba nkgetheng; a ka kgethwa; 
eliminate	ntsha; 
eliminated	ntshano; ntsha; 
eloquently	ka ho bua hantle;  ka puo e utlwahalang; 
else	ha ho se jwalo; 
elsewhere	kaekae; 
email	imeile;  posa; 
emanating	 e hlahang; e ropohang;  e runyang; 
emancipation	tokoloho; 
embark	sebetsana; 
embarked	sebetsane; 
embarking	sebetsanang; 
embassies	bonqosa; 
embassy	bonqosa; 
embed	ho tebisa; 
embedded	ho tebisa; 
emblem	letshwao; 
embodiment	mmelefatso; 
emerge	 ho bitoha;  ho tswa; runya; hlaha;  ropoha; 
emerged	 ropohile; bitohile;  runtse;  hlahile; tswile; 
emergence	 ho bitoha; ho runya; ho tswa;  ho hlaha;  ho ropoha; 
emergency	qomatsi; 
emergent	ho hlahang;  ho runyang;  ho ropohang; 
emerging	 ropohang;  ho tswang;  ho bitohang;  runyang; hlahang; 
eminent	hlakile;  bonahang; 
emoluments	sebopeho sa meputso;  sekala sa meputso; 
emotion	maikutlo; 
emotional	 ka maikutlo; ho ferekana maikutlong; 
emotions	maikutlo; 
emphasis	tiiso; 
emphasise	ho hatella; 
emphasised	tobokeditse;  hateletse; 
emphasises	hatella;  toboketsa; 
employ	 ho thola; -hira; 
employed	 ho thola; -hira; 
employer	mohiri; 
employers	mohiri;  bahiri; 
employing	 ho thola; -hirang; 
employment	mosebetsi; 
employs	 ho thola; -hira; 
empower	 fana ka bokgoni; matlafatsa; 
empowered	matlafaditse;  fane ka bokgoni; 
empowering	 fanang ka bokgoni; matlafatsang; 
empowerment	matlafatso; 
empty	tsholla;  - lephaka; 
emulate	etsisa; 
enable	ho thusa;  ho neha bokgoni; 
enabled	ho thusa;  ho neha bokgoni; 
enables	ho thusa;  ho neha bokgoni; 
enabling	ho thusa;  ho neha bokgoni; 
enacted	entse;  sebeditse; 
enacting	etsa;  etsang; 
enactment	ketso; 
enactments	diketso; 
encourage	kgothaletsa;  ho kgothatsa; 
encouraged	 ho kgothatsa; kgothaleditse; 
encourages	kgothaletsa;  ho kgothatsa; 
encouraging	kgothaletsang;  ho kgothatsa; 
end	phetho; 
endanger	-kenya kotsing; 
endangered	-kenya kotsing; 
endeavor	ho leka; 
endeavour	ho leka; 
endeavours	ho leka; 
ended	phetho; qetello; 
endorse	thasiselletsa;  paka; tiisa;  hatella; 
endorsed	 thasiseleditse; tiisitse;  pakile;  hateletse; 
endorsement	 tiiso;  thasiselletso; bopaki; kgatello; 
ends	phetho; qetello; 
enduring	tiisetsang;  mamellang; 
energy	matla; 
enforce	-hatella; 
enforced	 -hatella; hateletse; 
enforcement	qobello; kgatello; 
engage	kenyeletsa; 
engaged	kenyeleditswe; 
engagement	beeletsa; 
engagements	dipeeletso; 
engaging	kenyeletsang; 
engender	hlahisa; 
engendering	hlahisang; 
engine	enjene; 
engineer	moenjenere; 
engineering	moenjenere; 
engineers	moenjenere;  baenjenere; 
enhance	totobatsa; 
enhanced	totobaditse; 
enhancement	kgodiso;  phahamiso; 
enhancing	totobatsa; 
enjoy	 nyakalla; thaba; 
enjoyed	 nyakaletse; thabile; 
enormous	haholo; 
enough	lekane; 
enquiries	dipatlisiso; 
enquiry	patlisiso; 
enrich	 ruisa; nontsha; 
enrol	ngodisa; 
enrolled	ngodisa; 
enrolment	ngodiso; 
enshrined	kenyeleditse; 
ensue	latela; 
ensuing	latela; 
ensured	nnetefatsa; 
ensures	nnetefatsa; 
ensuring	nnetefatsa; 
enter	kenya; 
entered	kenya; 
entering	kenya; 
enterprise	kgwebo; 
enterprises	dikgwebo; 
enters	kenya; 
entertainment	boithabiso; 
entities	ditheo; 
entitled	na le tokelo; 
entity	setheo; 
entrance	makeno; 
entrepreneurial	ya kgwebo; 
entrepreneurs	bahwebi; baqalakgwebo; 
entries	makeno;  kenello; 
entrusted	tshepetswe; 
entry	makeno;  kenello; 
envelope	enfolopo; 
environment	tikoloho; 
environmental	ya tikoloho; 
environments	tikoloho; 
envisaged	lebeletse; 
envisages	ditebello; 
epidemic	sewa; 
equal	 lekana; lekanang; 
equality	tekano; 
equally	ka ho lekana; 
equals	e lekana le; 
equipment	disebediswa; 
equipped	lokisitswe; 
equivalent	tshwana; 
eradicate	 hlaola phoso; fedisa; 
eradicating	hlalong diphoso; fedisang; 
eradication	phediso; 
error	phoso; 
errors	 phoso; diphoso; 
escape	phonyoha; 
escapes	phonyoha; 
essence	esense; 
essential	hlokeha;  tlhoko; 
essentially	ya bohlokwa; 
establish	hloma; 
established	hloma; 
establishes	hloma; 
establishing	hloma; 
establishment	 moaho; motheo; 
establishments	metheo;  meaho; 
estate	bojalefa;  leruo; 
estates	bojalefa;  maruo;  leruo; 
esteemed	hlomphehang; 
estimate	tekanyetso;  kakanyo; 
estimated	tekanyetso; ho lekanyetsa;  kakanyo; 
estimates	tekanyetso; ho lekanyetsa;  kakanyo; 
ethics	 metheo ya boitshwaro; boitshwaro; 
ethnic	morabe; 
ethnicity	bomorabe; 
ethos	melao ya boitshwaro; 
evaluate	-hlahloba; 
evaluated	-hlahloba; 
evaluating	-hlahloba; 
evaluation	teko; 
eve	pele ho; 
even	lekanang;  boreledi; 
evening	thapama;  phirimana; 
event	ketsahalo; 
events	diketsahalo; 
eventually	qetellong; 
ever	kamehla; 
every	e mong le e mong; 
everybody	e mong le e mong; 
everyone	e mong le e mong; 
everything	ntho e nngwe le e nngwe; 
evidence	bopaki;  paki; 
evident	hlakile;  ho hlakile; ho a kgolweha hore;  ho a bonahala; 
exactly	ka nepo; 
examination	hlahlobo; 
examinations	 ditlhahlobo; hlahlobo; 
examine	hlahloba; 
examined	hlahloba; 
example	mohlala; 
examples	mehlala; 
exams	ditlhahlobo; 
exceed	feta;  ho feta; 
exceeded	feta;  ho feta; 
exceeding	e fetang moedi; 
exceeds	feta;  ho feta; 
excelled	e bontshitse boqhetseke; 
excellent	bokgabane; 
except	ntle ho; 
exceptional	 qatsohile; ikgethile; 
excess	ho feta tekano; 
excessive	 e feta tekano; e feta moedi; 
exchange	phaphanyetsano;  kananyo; 
exchanges	ananya;  dikananyo; phaphanyetsano; 
excise	phethahatsa;  hlakisa; 
exclude	tlohela; 
excluded	tlohela; 
excludes	tlohela; 
excluding	tlohela; 
exclusion	kgethollo; 
exclusions	dikgethollo; 
exclusive	kgethehile; 
exclusively	ka ho kgetheha; 
exercise	kwetliso;  hlakiso;  tlhakiso;  -kwetlisa; 
exercised	kwetliso;  hlakiso;  tlhakiso;  -kwetlisa;  kwetlisitse; 
exercises	ditlhakiso; 
exercising	kwetliso;  hlakiso;  tlhakiso;  -kwetlisa; 
exhibit	sepepeso; 
exhibition	pontsho; 
exhibitions	dipontsho; 
exile	leleka;  teleko; 
exist	ho ba teng; 
existed	ho ba teng; 
existence	 ho ba teng; boteng; 
existing	e leng teng; 
exists	ho ba teng; 
exit	moo ho tsuwang le teng; 
expand	sarolla;  -atolosa; 
expanded	sarolla;  -atolosa; 
expanding	sarolla;  -atolosa; 
expansion	 tsharoloho; katoloso;  tsharollo; 
expect	lebella; 
expectation	tebello; 
expectations	ditebello; 
expected	lebella; 
expedient	ka potlako; 
expenditure	tshenyehelo; 
expenses	ditshenyehelo; 
expensive	 theko e boima; -bitsang; 
experience	boiphihlelo;  ho itemohela;  boitemohelo; 
experienced	boiphihlelo;  ho itemohela;  boitemohelo; 
experiences	boiphihlelo;  ho itemohela;  boitemohelo; 
experiencing	 itemohelang; boiphihlelo;  ho itemohela;  boitemohelo; 
expert	setsebi; 
experts	ditsebi; 
expiration	phefumoloho; 
expired	feletswe ke nako; 
expiry	phello ya nako; 
explained	hlalosa; 
explains	hlalosa; 
explanatory	ya bohlalosi; ya tlhaloso; 
explicit	e itlhalosang; 
explore	 pholletsa; ho ithuta; 
explored	 pholletsa; ho ithuta; hahlaola; 
explores	 pholletsa; ho ithuta; hahlaola; 
exploring	 pholletsa; ho ithuta; hahlaola; 
export	diyantle;  seyantle;  thomellontle; 
exports	diyantle; diromelwantle;  thomellontle; 
express	-utlwahatsa;  ho hlahisa; 
expressed	-utlwahatsa;  ho hlahisa; 
expression	palo; 
expressions	palo; 
expressly	ka tlhahiso; ka boitsebahatso; 
extend	eketsa;  atolosa; 
extended	eketsa;  atolosa; 
extending	eketsa;  atolosa; 
extends	eketsa;  atolosa; 
extent	 boemo; maemo; 
external	ntle;  bokantle;  ya kantle; 
extra	ho feta; 
extract	 seratswana;  qotso;  ho ntsha leino; ntsha; 
extraordinary	e sa tlwaelehang; e ikgethileng; 
extremely	e fetisisang; 
eye	leihlo;  lesoba la nale; 
eyes	mahlo; 
face	bokahodimo;  bokantle; 
faced	bokahodimo;  sefahleho; lehlakore;  bokantle; 
faces	bokahodimo; lehlakore;  difahleho;  bokantle; 
facilitate	tsamaisa;  bebofatsa; 
facilitated	tsamaisa;  bebofatsa; 
facilitates	tsamaisa;  bebofatsa; 
facilitating	tsamaisa;  bebofatsa; 
facilitation	potlakiso; 
facilities	sesebediswa; 
facility	sesebediswa; 
facing	tobaneng; 
facsimile	fekese; 
fact	ntlha; 
factor	lebaka; 
factors	 mabaka; lebaka; 
factory	faboriki; 
facts	dintlha; 
fail	hlolwa;  feila; 
failed	hlotswe;  feitse; 
failing	hlolwang;  feilang; 
fails	hlolwa;  feila; 
failure	ho hloleha; 
failures	ho hloleha; 
fairly	 ka botshepehi; ka kgotsofalo; 
fairness	botshepehi; 
fall	ho wa; 
fallen	wele; 
falls	wa; 
familiar	tlwaelehileng; 
families	lelapa;  maloko; lekolo; 
family	lelapa;  leloko; 
famous	tuma; 
fan	fene; 
fans	difene; 
far	hole; 
farewell	tumediso;  tsamaya hantle; 
farm	polasi; 
farmer	rapolasi; 
farmers	borapolasi; 
farming	temo; 
farms	dipolasi; 
fashion	sejwalejwale; 
fast	ho itima; 
faster	ho itima; 
father	ntate; 
fathers	bontate; 
fault	 hlwaya phoso; phoso; 
favorite	thatohatsi; 
favorites	thatohatsi; 
favour	molemo; 
favourable	 ratwang;  kgahlehang;  tsotwang;  ratehang; kgethwang; 
favourite	thatohatsi; 
faxed	fekse; rometse fekese; 
fear	letswalo;  tshabo; 
fears	tshabo;  matswalo; 
feasibility	bokgoni; 
feature	tshobotsi; 
featured	tshobotsi; 
features	tshobotsi; 
featuring	tshobotsi; 
federal	Bofederale; 
federation	federeishene; 
fee	tefo; 
feed	fepa; 
feedback	kgutlisetso; 
feeds	fepa; 
feel	utlwa; 
fees	ditefo; 
fell	wele; 
fellow	 moreso; weso; 
felt	utlwile; 
female	mosadi;  tshehadi;  -tshehadi; 
females	mosadi;  tshehadi;  -tshehadi; 
festival	mokete; 
festivals	mekete; 
festive	 ya keteko; mokete; 
fever	feberu; 
few	mmalwa; 
fewer	fokolang;  haella;  nyenyane; 
field	tshimo; 
fields	ditshimo; 
fifth	ya bohlano; 
fifty	mashome a mahlano; 
fight	ntwa; 
fighter	selwani; 
fighters	dilwani; 
fighting	ntwa; 
figure	palo; setshwantsho; 
figures	ditshwantsho;  dipalo; 
file	 feile; faele;  feila; 
filed	 feile; faele;  feila; 
files	 feile; faele;  feila; 
filing	 feile; faele;  feila; 
fill	tlatsa; 
filled	tlatsitse; 
film	filimi; 
filmmaker	mohlahisi wa difilimi; 
filmmakers	bahlahisi ba difilimi; 
filmmaking	ho etsa filimi; 
films	difilimi; 
finalisation	qetello; 
finalise	qetella; 
finalised	qetelletswe; 
finalising	qetellang; 
finally	qetellong; 
finance	 taolo ya tjhelete; tsa tjhelete; 
financed	 taolo ya tjhelete; tsa tjhelete; 
finances	 taolo ya tjhelete; tsa tjhelete; 
financial	tsa ditjhelete; 
financially	 ka tjhelete; ya tjhelete; 
financing	 taolo ya tjhelete; tsa tjhelete; 
find	fumana; 
finding	tshibollo;  diphumano; 
findings	tshibollo;  diphumano; 
finds	fumana; 
fine	 le hlakile;  faene;  boreledi; pheletso; 
fines	 le hlakile;  pheletso; ditefiso;  faene;  boreledi; 
finest	 le hlakile;  faene;  boreledi; pheletso; 
fingerprints	mehlala ya menwana; 
fire	mollo; 
firearm	sethunya; 
firearms	 dithunya; sethunya; 
firm	e tsitsitseng;  -tiileng; 
firmly	ka botsitso; 
firms	e tsitsitseng;  -tiileng; 
first	pele; 
firstly	 tabeng ya pele; qalong; 
fiscal	ditjhelete tsa lekgetho; 
fish	 tlhapi; hlapi; 
fisheries	ditlhaping;  Tshwaso ya ditlhapi; botshwasi ba ditlhapi;  dihlaping; 
fishery	dihlaping; 
fit	e phelang hantle;  e kwenneng;  -shahlile; 
fitting	tshwanela; 
five	hlano; 
five-year	dilemo tse hlano; 
fixed	tsitsitseng;  tiileng; 
flag	folakga; 
flags	difolakga; 
flagship	sekepe sa folakga; 
flame	lelakabe; 
flexibility	temeko; 
flexible	e kobehang; 
flood	dikgohola; 
floods	dikgohola; 
floor	fatshe;  botlase;  mokato;  fuluru; 
flora	dimela; 
floral	dipalesa; 
flow	phallo; 
flower	palesa; 
flows	phallo; 
fly	fofa;  ntsintsi; 
flying	fofang; 
focus	-tsepamisa; 
focused	-tsepamisa; 
focuses	-tsepamisa; 
focusing	-tsepamisa; 
follow	latela; 
follow-up	tatello; 
followed	latetse; 
following	-latelang; 
follows	latela; 
food	dijo; 
foot	leoto; 
football	bolo; 
footsteps	mehlala ya maoto; 
for	bakeng sa; 
force	 ho qobella;  tshutumetso; matla; 
forced	hateletse;  qobeletse; tlameletse; 
forces	 ho qobella;  tshutumetso; matla; 
forebears	badimo; 
forefront	 ka pele; mosupatsela; 
foreign	ya ditjhaba; 
foreigner	molata; 
foreigners	melata; 
forensic	diphuputso tse tebileng; 
forestry	 tlhokomelo ya meru; temo ya meru; 
forests	moru; meru; 
forever	kamehla le mehla; 
forged	semethe;  tea; 
forget	lebala; 
form	 ho bopa;  foroma; sebopeho;  bopa;  banka; 
formally	ka molao; 
format	 lewa; lehlobo;  mofuta; mokgwa; 
formation	sebopeho;  popeho; 
formations	sehlopha sa ditjeki; dibopeho;  popeho; 
formed	 ho bopa;  foroma; sebopeho;  bopa;  banka; 
formerly	 ya pele; qalong; 
forms	 ho bopa;  foroma; dibopeho;  bopa;  banka; 
formula	fomula; 
formulation	kahong; 
forth	tswela pele; 
forthcoming	e tlang; 
forthwith	ho ya pele; 
forum	foramo; 
forums	diforamo; 
forward	ho ya pele; 
forwarded	fetiseditswe; 
foster	ho phahamisa; 
fostering	ho phahamisa; 
fought	ntwa; 
found	fumana; 
foundation	motheo; 
foundations	metheo; 
founder	mothei; 
four	nne; 
fourth	ya bone; 
frame	popeho;  foreimi; 
framework	moralo; 
frameworks	moralo; 
franchise	tokelo ya ho kgetha; 
fraud	bobodu; 
free	ka bolokolohi; 
freed	lokolotswe; 
freedom	tokoloho; 
freedoms	tokoloho; 
freely	ka bolokolohi; 
freight	morwalo; 
frequency	leqhubu; 
frequently	kgafetsa; 
fresh	Foreshe; 
friend	motswalle; 
friendly	ka thabo; 
friends	metswalle; 
friendship	setswalle; 
from	ho tswa; 
front	ka pele; 
fruit	 tholwana; ditholwana; 
fruitful	atlehile; 
fuel	dibeso; 
fuels	dibeso; 
fulfil	 tshepahalla; phethahatsa; 
fulfill	 tshepahalla; phethahatsa; 
fulfilling	tshepahalang;  phethahatsang; 
full-time	ka nako tsohle; 
fully	ka botlalo; 
function	 sebetsa;  mosebetsi wa ho itseng; tshebetso;  ho sebetsa;  disebediswa; 
functional	molemo wa tshebetso; 
functionality	ka molemo wa tshebetso; 
functioning	 sebetsa;  mosebetsi wa ho itseng; tshebetso;  ho sebetsa; kamano;  disebediswa; 
functions	sebetsa;  mosebetsi wa ho itseng;  ho sebetsa;  ditshebetso;  dikamano;  disebediswa; 
fund	letlole; 
fundamentally	hantlentle; 
funded	letlole; 
funding	letlole; 
funds	tjhelete;  matlole; 
funeral	lepato; 
furnish	nyehelana ; fana; 
furnished	fanne;  nyehelane; 
furniture	fenetjhara; 
further	ho feta mona; 
furthermore	ho feta mona; 
gain	 ho kotula; phaello; 
gained	 ho kotula; phaello; 
gains	 ho kotula; diphaello; 
gala	kgorolakoqo; 
galleries	 meaho ya bonono; dikalana; 
gallery	kalana;  moaho wa bonono; 
game	 diphoofolo tse hlaha; papadi; 
gap	sekgeo; 
gaps	dikgeo; 
garden	 tshingwana; serapa; 
gardens	dirapa; ditshingwana; 
garnishee	qobellang; 
gas	kgase; 
gateway	kgoro; 
gathering	kopano;  phutheho;  seboka; 
gave	fane; 
gazette	gazete; 
gear	gere; 
geared	gere; 
gender	bong; 
gender-based	ya bong; 
general	akaretsang; 
generally	ka kakaretso; 
generate	fehla; 
generated	fehla; 
generating	fehla; 
generation	 moloko; dithaka;  phehlo; 
generations	meloko; diphehlo;  dithaka; 
genre	mofuta; 
genres	mefuta; 
gentlemen	bahlomphehi; 
geographic	ya lefatshe; 
geography	 jeografi; thutalefatshe; 
get	fumana; 
gets	fumana; 
getting	fumana; 
giant	ledimo; 
gift	mpho;  neo; 
girl	ngwanana; 
girls	banana; 
give	fa; 
gives	fa; 
giving	 fang; fa; 
glad	 nyakaletse; thabile; 
glass	kgalase; 
globalisation	kananelo ya lefatshe lohle; 
globally	hohle lefatsheng; ka kakaretso; 
globe	 polokwe; lefatshe; 
glory	tlotliso; 
go	tsamaya; 
goal	 ntlha; sepheo; 
goals	 sepheo; dintlha; 
goes	ya;  tsamaya; 
going	ya; yang; 
gold	kgauta; 
golden	ya kgauta; 
gone	ile; 
good	ntle; 
goods	diphahlo;  phahlo; 
gore	madi; 
gospel	mmino wa sedumedi;  mmino wa bodumedi; 
got	fumane; 
govern	 -busa; busa; 
governance	puso; 
governed	 -busa; busa; 
governing	busang; 
government	mmuso; 
government's	ya mmuso; 
governments	mebuso; 
grace	mohau; 
grade	 hlopha; sehlopha;  mohato; 
grades	dihlopha;  hlopha; sehlopha;  mohato; 
grading	 hlopha; sehlopha;  mohato; 
gradually	butlebutle; 
graduate	-apara;  kerajueiti; 
graduates	-apara;  kerajueiti;  beng ba dikgau; 
grand	kgabane;  kgahleha;  lokile; 
grant	thuso; 
granted	thuso; nyehetse; 
granting	thuso; nyehelang; 
grants	dithuso;  nyehelo; 
graphic	ya setshwantsho; ya tshwantshiso;  ya kerafo; 
grassroots	 metheong; qalong; 
grateful	motlotlo;  thabile; 
gratitude	thabo;  motlotlo; 
grave	lebitla; 
graves	mabitla; 
great	 tsoteha; kgolo; 
greater	kgolwanyane; 
greatest	kgolo haholo; 
greatly	ka boholo; 
green	tala;  botala; 
greetings	madume; 
grew	 ho lema; hola;  ho mela; 
grind	 ho sila; sila; 
gross	koroso; 
ground	 ho sila; sila; 
ground-breaking	qalo;  tshimollo; 
groundbreaking	qalo;  tshimollo; 
grounds	mabala; 
group	 hlophisa; sehlopha; 
groups	dihlopha; hlophisa; 
grow	 ho lema; hola;  ho mela; 
growing	 ho lema; hola;  ho mela; 
grown	 ho lema; hola;  ho mela; 
growth	kgolo; 
guardian	mohlokomedi; 
guest	moeti; 
guests	baeti; 
guidance	tataiso; 
guide	tataiso;  ho tataisa;  tataisa; 
guided	tataiso;  ho tataisa;  tataisa; 
guideline	tataiso; 
guidelines	ditataiso; 
guides	 ho tataisa; ditataiso;  tataisa; 
guiding	tataiso;  ho tataisa;  tataisa; 
guilt	letswalo; 
guilty	molato; 
gun	sethunya; 
h	bophahamo; 
had	entse; 
hail	sefako; 
hailed	sefako; 
hails	sefako; 
half	hafo; 
hand	 seatla; letsoho;  lenaka la watjhe; 
handed	 seatla; letsoho;  lenaka la watjhe; 
handing	 seatla; letsoho;  lenaka la watjhe; 
handle	mohwele; 
handled	mohwele; 
handling	mohwele; 
handover	nehelano; 
hands	 manaka a watjhe;  diatla; matsoho; 
happen	etsahala; 
happened	etsahetse; 
happening	etsahalang; 
happens	etsahala; 
happy	 -thabo; -thabileng; 
harassment	tlhekefetso; 
hard	thata; 
hare	mmutlanyana; 
harm	kutlwisobohloko;  tematso; 
harmful	e kotsi;  -kotsi; 
harmony	kutlwano;  tumisano; 
has	o entse; 
hatred	lehloyo; 
have	ba entse; 
having	ba a etsa; 
he	o; 
headed	hlooho; 
heading	sehlooho; 
headline	ntlhakgolo; 
headlines	dintlhakgolo; 
heads	dihlooho; 
heal	ho fola; 
healing	fola; 
health	bophelo;  bophelo bo botle; 
healthcare	tlhokomelo ya bophelo; 
healthy	 phetseng hantle; ho phela hantle; 
hear	utlwa; 
heard	utlwile; 
hearing	kutlo; 
hearings	kutlo; 
hears	utlwa; 
heart	pelo;  setsi; 
heavy	boima; 
hectare	heketare; 
hectares	diheketare; 
height	bophahamo; 
heights	bolelele; bophahamo; 
held	mothamo; 
help	thusa; 
helped	thusitse; 
helps	thusa; 
hence	ke ka hona; 
her	yena; 
heraldry	bohale; sebete; 
here	mona; 
hereby	mona; 
hereinafter	ho tloha mona; 
heritage	lefa; 
hero	mohale; 
heroes	bahale; 
heroine	mohale; 
heroines	bahale; 
herself	ka boyena; 
hidden	lekoko; 
hide	lekoko; 
hierarchies	metsollope; 
high	phahame; 
high-level	boemo bo phahameng; 
higher	phahaphahame; 
highest	phahame; 
highlight	hlakisa; 
highlighted	hlakisitse; 
highlights	hlakisa; 
highly	ka bophahamo; 
hill	leralla; 
hills	leralla; 
him	yena; 
himself	ka boyena; 
his	ya hae; 
historian	 mohisitori; mongodi wa nalane; 
historians	bangodi ba nalane;  mohisitori; 
historic	ya nalane; 
historical	ya hisitori; 
historically	ya nalane; 
histories	nalane;  histori; 
history	nalane;  histori; 
hit	otla; 
hold	mothamo; 
holder	setshelo; 
holders	setshelo;  ditshelo; 
holding	tshwere; 
holdings	tshwarang; 
holds	mothamo; 
holiday	phomolo; 
holidays	phomolo; 
holistic	ka hohle; 
homage	pabatso; 
home	lehae; 
homelessness	tlhoko ya lehae; 
homepage	leqephe le qalang; 
homes	mahae; 
honorary	ya tlotlo; 
honour	tlotla; 
honourable	tlotlehang; 
honoured	tlotlisitse; 
honouring	tlotlisang; 
honours	tlotlisa; 
hope	tshepo; 
hoped	tshepile; 
hopefully	ka tshepo; 
hopes	tshepo; 
hospitality	mohau; 
hospitals	dipetlele; 
hotel	hotele; 
hotels	dihotele; 
hour	hora; 
hours	dihora; 
house	ntlo; 
housed	ntlo; 
household	lelapa;  tsa lelapa; 
households	lelapa;  malapa;  tsa lelapa; 
houses	ntlo; 
housing	 kaho ya matlo; bodulo; 
how	jwang; 
however	leha ho le jwalo; 
hub	bohare; 
huge	kgolo; 
human	 -botho;  ya batho;  ya motho; motho; 
humane	botho; 
humanities	tsa botho; 
humanity	botho; 
humankind	motho; 
humans	batho;  ya batho;  ya motho; 
humble	hlompha; 
humbled	hlomphile; 
humility	 boikokobetso; botho; 
hundreds	makgolo; 
husband	monna; 
iconic	ya seemela; 
icons	diaekhone; 
idea	kgopolo; 
ideal	phethahalo; 
ideals	diphethahalo; 
ideas	dikgopolo; 
identical	-tshwanang; 
identification	boitshupo; 
identities	boitsebiso; 
identity	boitsebiso; 
if	haeba; 
ill	kula; 
illegal	- seng molaong; 
illustrate	bontsha; 
illustrated	bontsha; 
images	ditshwantsho; 
imagination	kgakanyo; 
imbalances	ho hloka tekano; 
immediately	kapele; 
immense	-haholo; 
immensely	haholo; 
immigration	phallelo; 
imminent	bonahala; 
immovable	ha e tloswe;  e tsitsitse; 
immunisation	ente;  ho soutisa;  tshoutiso; 
impact	sekgahla; 
impacts	sekgahla; 
impaired	sitisehile; 
impediments	ditshitiso; 
implement	 -kenya tshebetsong; sesebediswa; 
implementation	ditshebediso; 
implemented	 -kenya tshebetsong; sesebediswa; 
implementing	 -kenya tshebetsong; sesebediswa; 
implements	 -kenya tshebetsong; sesebediswa; 
implications	mehopolo; 
implies	 tlisa mohopolo; bolela; 
import	kgwebiso;  hwebisa; 
importance	bohlokwa; 
important	-bohlokwa; 
importantly	 ka bohlokwa; molemo; 
imported	kgwebiso;  hwebisa; 
importer	moromelli wa ditswantle; 
imports	ditswantle; 
impose	tshohanyetsa;  qobella; hlahisa; 
imposed	hateletse;  qobeletse; tlameletse; 
imposing	 hatellang; qobellang; 
imposition	hloka botsitso; 
impressed	kgahlilwe; tsotile; 
impressive	 tsotehang; kgahlisang;  ratehang; 
imprison	kenya tjhankaneng; 
imprisoned	kenya tjhankaneng; 
improper	eo eseng ya nepo; 
improve	 -ntlafala; lokisa; 
improved	 -ntlafala; lokisa; 
improvement	tokiso; 
improvements	ditokiso; 
improving	 -ntlafala; lokisa; 
in	ka hare; 
inability	ho hloka bokgoni; 
inappropriate	e sa nepahalang; 
inaugural	ya kgakolo; 
inauguration	tlhomamiso; 
incapable	ka ho hloka bokgoni; 
incapacity	ka ho hloka bokgoni; 
incarceration	kgethollo; 
incentives	tshusumetsi; tshusumetsa; 
inception	qalo; 
incidence	ketsahalo tsa tshwaetso; 
incident	 sewelwa; ketsahalo; 
incidental	ka sewelo; 
incidents	diketsahalo;  sewelwa; 
include	kenya;  kenyeletsa; 
included	kenya;  kenyeletsa; 
includes	kenya;  kenyeletsa; 
including	balella; 
inclusion	palello; 
inclusive	kenyeletsang; 
inclusivity	kenyeletso;  kenyeletso; Kakaretso; 
income	kuno;  lekeno; 
incomes	 makeno; kuno;  lekeno; 
incomplete	 e sa fellang; e sa qetwang; 
inconsistent	-hlokang botsitso; 
incorporated	ho kopanya; 
incorporates	ho kopanya; 
incorporation	kakaretso; kenyeletso; 
incorrect	fosahetseng; 
increase	eketsa; 
increased	eketsa; 
increases	eketsa; 
increasing	eketsa; 
increasingly	keketso; 
inculcate	hatella;  toboketsa; 
indaba	seboka; 
indeed	ka nnete; 
independence	boikemelo; 
independent	ka boikemelo; 
independently	ka bolokolohi; 
index	tshupane; 
indicate	bontsha;  ho supa; 
indicated	bontsha;  ho supa; 
indicates	bontsha;  ho supa; 
indicating	bontsha;  ho supa; 
indication	pontsho; 
indications	dipontsho; 
indicative	bontsha; 
indicator	sesupi;  sesupisi; 
indicators	 ditshupo; ditshupiso; 
indices	 ditshupane; tshupane; 
indigenous	botala;  -botala; 
indirectly	eseng ka kotloloho; 
