APRIL	DZIVAMISOKO; 
integrity	vunene;  vutshembeki;  vutengi; 
intellectual	xidyondzeki;  ntlhari; 
intellectuals	xidyondzeki;  tintlhari; 
intelligence	vutlhari;  vunhlori; 
intend	anakanya; 
intended	kunguhatile; 
intends	kunguhata; 
intensify	tiyisisa; 
intensive	xihetiselo; 
intent	xikongomelo;  kungu; 
intention	xikongomelo;  kungu; 
intentionally	hi xikongomelo; hi mavomu; 
inter	exikarhi ka; 
interact	tirhisana;  -tirhelana; 
interacting	tirhisana; n'wangulana; 
interaction	ku tirhelana; 
interactive	ntirhisano; 
interception	ku siva; 
interdepartmental	swa exikarhi ka tindzawulo; 
interest	tsakisa;  ntsakelo;  ntswalo;  ntsakiso; 
interested	ku va na ku tsakela; 
interesting	-tsakisa; 
interests	tsakisa;  mitswalo;  khumba; 
interfaith	swa vugandzeri byo hambana;  swa vukhongeri byo hambana; 
interfere	nghenelela;  kanganyisa; 
interference	 ku nghenelela; ku kanganyisa; 
intergenerational	swa le xikarhi ka tinxaka ta vanhu; 
intergovernmental	swa le xikarhi ka mifumo; 
interim	-nkarhinyana; 
intermediaries	varhumiwa;  tintsumi;  vahlanganisi; 
intermediary	murhumiwa;  muhlanganisi;  ntsumi; 
intermediate	xa le xikarhi; 
internal	endzeni;  ndzeni; 
international	matiko ya misava; 
internationally	ematikweni hinkwawo ya misava; 
internet	Inthanete; 
interns	mutirhelantokoto; 
internship	ntirho wo nyika ntokoto; 
interpret	hlamusela; 
interpretation	nhlamuselo; 
interpreted	humesile nhlamuselo; 
interrogate	vutisisa;  konanisa; 
interval	mpfhuka;  ku wisa;  xikhalo; 
intervals	mipfhuka; mipimo; 
intervene	nghenelela;  phalala; 
intervention	ku nghenelela;  mphalalo; 
interventions	ku nghenelela; miphalalo; 
interview	inthavhiyu;  ku hlangana mi rherha; 
interviews	inthavhiyuwa; tiinthavhiyu; 
intestate	loyi a lovaka a nga endlangi papila ro ava rifa; 
into	endzeni; 
introduce	tivisa;  -tivisa;  ku humelerisa; 
introduced	tivisile;  tivisile; sungurisile;  sungurisa; 
introducing	tivisa;  sungurisa; 
introduction	manghenelo;  ku andlala; 
invalid	ku nga amukeleki;  ku nga ri enawini; 
invaluable	-nkoka; 
inventory	rhijisitara;  nxaxamelo wa tinhundzu; 
invest	hlayisa;  ku vekisa; 
invested	vekisa;  hlawulekisa; 
investigate	lavisisa;  kambisisa; 
investigated	lavisisile; 
investigating	lavisisa; 
investigation	nkambisiso; 
investigations	vulavisisi; 
investigative	xa vulavisisi; 
investigator	mulavisisi; 
investigators	valavisisi; 
investing	hlayisa;  vekisa; 
investment	vuvekisi; 
investments	vuvekisi; 
investor	muvekisi; 
investors	vavekisi; 
invitation	xirhambo; 
invite	rhamba;  xirhambo; 
invited	rhambiwile; 
invites	rhamba;  swirhambo; 
inviting	rhamba;  rhambaka; 
involve	khumba; 
involved	khumbekile; 
involvement	ku khumbeka; nkhumbeko; 
involves	khumba; 
involving	khumbaka;  khumba; 
iron	ayina;  nsimbhi;  ayini;  ayoni; 
irregular	-homboloka; 
irregularities	leswi nga riki enawini; 
irregularity	lexi nga riki enawini; 
irrespective	swi nga ri na mhaka ku; 
irrigation	ncheleto; 
is	a;  u; i; 
isiXhosa	Xiqhoza; 
island	xihlala; 
issue	mhaka; 
issued	nyika; 
issues	humesa; 
issuing	humesa; 
it	xona; 
item	mhaka;  xilo;  xinhlokwana; 
items	timhaka;  tinhlokomhaka;  swilo; 
its	swa xona; 
itself	hi vuxona;  xo hi xoxe; 
jewellery	swin'wetsin'wetsi swa nkoka; 
job	ntirho; 
jobs	mitirho; 
join	hlanganisa; 
joined	tikatsa; 
joining	hlanganisa; 
joint	mahlangano;  xihlanganiso;  vuhlanganelo; 
jointly	hi nhlengelo;  hi ku hlanganela; 
journalism	vutekamahungu; 
journalist	n'wamahungu; 
journalists	vatekamahungu; 
journey	rendzo;  riendzo;  endza; 
joy	ntsako; 
judge	avanyisa;  muavanyisi; 
judgement	ku avanyisa; 
judges	avanyisa;  vaavanyisi; 
judgment	vuavanyisi; 
judgments	vuavanyisi; 
judicial	-vuavanyisi; 
judiciary	swa vululami; 
junior	ntsongo; 
jurisdiction	ndhawu ya vulawuri; 
jurisdictions	 ndhawu ya matimba yo teka swiboho swa xinawu; tindhawu ta vulawuri; 
juristic	khamphani;  ntlawa wa vanhu;  xinakulobye; 
just	ntsena; 
justice	vululami; 
justified	lexi nga ni nhlamuselo yo tivikana; 
justify	nyika nhlamuselo yo tivikana; 
keen	hisekela; 
keep	hlayisa;  veka; 
keeping	hlayisaka;  vekaka; 
kept	vekile; hlayisile;  vekile; 
key	xiletelo;  ritingho;  batheni;  khiyi;  khiya;  mpfungura; 
keynote	mhakankulu; nkongomelonkulu; 
kick	raha; 
kick-off	ku sungula ntlangu; 
kill	dlaya; 
killed	dlayiwile; 
kilometre	khilomitara;  kilomitara; 
kilometres	tikhilomitara; 
kindly	hi ku tintswalo; 
kinds	mixaka; 
king	hosi; 
kingdom	vuhosi; 
kings	tihosi; 
knew	tivile; 
know	tiva; 
knowing	tiva;  tivaka; 
knowingly	 hi ku tiva; a karhi a tiva; 
knowledge	vutivi; 
known	tiveka; 
knows	tiva; 
laboratories	tilaboretari; 
laboratory	laboratori;  laboratari; 
labour	ntirho;  tirha;  ku tshunxeka;  ku veleka; 
lack	pfumala;  mpfumalo; 
ladies	vamanana;  vaswirhundzu; 
laid	tshikerile;  andlarile; latile; 
lake	tiva; 
land	tiko;  phatsama;  nsimu;  misava; 
landfill	 ku yimbela thyaka; ku celela thyaka; 
lands	misava;  masimu; 
landscape	nkanghala; 
language	ririmi; 
languages	tindzimi; 
lapse	 ku hundzeriwa hi nkarhi; ku hundzeriwa hi nkarhi; ku dzindzeriwa; 
large	-kulu; 
large-scale	mpimo lowukulu; 
largely	hi xitalo; 
larger	nkulu; 
largest	kulukumba; 
last	makumu; 
lasting	lexi hetaka nkarhi wo leha; 
lastly	xohetelela; 
late	hlwela;  hlwerile; 
later	endzhaku ka nkarhi; 
latest	lexa ha ku vaka kona; 
latter	-hetelela; 
laughter	xihleko; fenya;  ku hleka; 
launch	wachuta; 
launched	simeka; 
launches	nsimeko; 
launching	simeka; 
laundering	 ku tumbeta lomu timali ti humaka kona; ku fihla swihlovo swa timali; 
laureate	loyi a xiximiweke hi sagwati ra mitirho ya vutlhari kumbe leyikulu; 
laureates	lava xiximiweke hi sagwati ra mitirho ya vutlhari kumbe leyikulu; 
law	nawu; 
law-making	ku endla milawu; 
lawful	swi le nawini; 
lawfully	hi ku pfumeleriwa hi nawu; 
laws	milawu; 
lawyer	qgwetha; 
lawyers	magqwetha; 
lay	ku tshikela;  tshikela; 
laying	veka; tshikerile;  andlarile; 
lead	 xikope; muthofu;  xifambisa-gezi; 
leader	xiyenge xa dyondzo; 
leaders	varhangeri; 
leadership	vufambisi;  varhangeri;  vurhangeri; 
leading	rhangelaka; 
leads	rhangela; 
leaflet	xitlukana; 
leaflets	switlukana;  swibukwana; 
league	ntwanano;  ligi; 
learn	dyondza; 
learned	dyondzile; 
learner	mudyondzi; 
learners	vadyondzi; 
learning	dyondza;  dyondzaka; 
learnt	dyondzile;  leswi dyondziweke; 
lease	ku hirisa nhundzu;  vulombisi bya nhundzu; 
leased	 lombisile;  lombisiwile; hirisile; 
leasehold	ku va na nhundzu leyi lombisweke; nhundzu leyi lombisiweke; 
least	mpimo lowutsongo; 
leave	livhi; 
leaves	matluka; 
leaving	suka; 
lecture	dyondzisa; 
led	rhangeriwile;  rhangerile;  rhangeriweke; 
left	eximatsini;  ximatsi; 
leg	tlhelo;  nenge; 
legacies	ndzhaka; 
legacy	ndzhaka; 
legal	-xinawu;  -nawu; 
legally	hi ku ya hi nawu; hi nawu; 
legend	ntsheketo;  ntsheketo wa swa khale; 
legendary	vutiveki; 
legends	mitsheketo; 
legislation	nawu; 
legislative	vo endla milawu; 
legislature	huvo ya milawu ya xifundzhankulu; 
legislatures	huvo yo endla milawu; 
legitimacy	ku va enawini; 
legitimate	xi le nawini; 
lending	lombisa; 
length	vulehi;  ku hlwela;  vunavi;  ku leha; 
less	 hansi ka; -tsongo; 
lesser	mpimo wa le hansi; 
lesson	dyondzo; 
lessons	tidyondzo; 
let	pfumelela;  nkarhi wa ku lombisa muako; 
let's	a hi; 
letter	papila;  letere; 
letters	mapapila; 
level	mpimo;  vhaterepasi;  ringananisa;  -ringana;  levhele;  vulehi;  -hingakanya; 
levels	pima;  tilevhele;  ringananisa;  mipimo; 
levied	barisile; 
levies	swibalo; 
levy	ndzhuvo; 
liabilities	nandzu; 
liability	vutihlamuleri; 
liable	boheka ku byarha vutihlamuleri; 
liaise	tirhisana;  hlanganisa; 
liaison	ntirhisano;  mbulavurisano; 
liberalisation	ku vevukisa swipimelo swa mfumo; 
librarian	 mulayiburari; muhlayisi wa tirhekodo; 
librarians	vatirhi va le layiburari; 
libraries	tilayiburari; 
library	layiburari;  vuhlayiselo bya tirhekodo; 
licence	mpfumelelo; 
licences	tilayisense; 
license	mpfumelelo; 
licensed	pfumeleriwile;  nyikiwile layisense; 
licensee	mupfumeleriwa; loyi a nga na layisense; 
licensees	vapfumeleriwa; lava nga na layisense; 
licensing	nyika mpfumelelo; 
lies	 vunwa;  hemba; sivama; 
life	vutomi; 
lifetime	nkarhi wa ku hanya;  nkarhi wa vutomi; 
light	vevuka;  -vonakala;  ku vonakala;  mbonakalo;  -vevuka;  tshivela; 
lighting	rivoni; 
like	fana na; 
likely	tala ku; 
limit	mpimo;  ndzhati wa ndzilekana; 
limitation	xipimelo;  xitsandzisi; 
limitations	swipimelo; switsandzisi; 
limited	-pimiwa; 
limiting	tsongahata; tsongaharisa; 
limits	mipimo; 
line	ndzhati;  ndlalela;  ntila; layini;  rixaxa; 
line'	ntila;  ndzati;  xaxameta; 
line-up	nxaxamelo;  xaxameta; 
lines	ndlela ya xitafu; 
linguistic	swa ririmi; 
link	nhlangano;  hlanganisa;  xiboho;  xihlanganisi; 
linkage	nhlangano; 
linkages	tilinki; 
linked	hlanganisiweke; hlanganisiwile;  hlanganisiwile;  hlanganisile; 
linking	hlanganisa;  hlanganisaka; 
links	tilinki;  swihlanganiso;  tilinki; mihlanganiso; 
liquid	xihalaki;  -mati; 
liquidation	 ku herisa bindzu; ku n'okisa bindzu; 
liquidator	muherisi wa khamphani;  mun'okisi wa khamphani; 
liquidity	vukona bya rifuwo leri nga hundzuluxiwaka ri va mali; vukona bya timali ebindzwini; 
liquor	byalwa; 
list	nongonoko;  khatalogo; 
listed	longoloxiweke; 
listen	yingisela;  yingisa; 
listing	longoloxa;  xaxameta; 
lists	xaxameta; mixaxamelo; 
literacy	vutivi byo hlaya no tsala; 
literally	hi nhlamuselo ya masiku hinkwawo; 
literary	swa matsalwa; 
literature	matsalwa; 
litigation	vumangalelani; 
little	switsongo; 
live	hanya;  gezi ro lumekiwa; 
lived	hanyeke;  hanyile; 
livelihoods	swo tihanyisa; 
lives	vutomi; 
livestock	swifuwo; 
living	hanyaka; 
load	ndzhwalo; 
load-shedding	nkavanyeto wa mphakelo wa gezi;  ku famba ka gezi; 
loan	xikweleti; 
loans	tiloni; 
local	 -ndhawu yo karhi; -le kusuhi; 
locally	etikweni;  emugangeni; 
locals	muganga;  etikweni; 
located	kumeka;  tshamile; 
location	ndhawu;  lokhexini; 
lock-up	pfalela;  khiyela; 
lodge	nghenisa; 
lodged	nghenisile; 
lodging	nghenisa;  vutshamo;  nghenisaka; 
logistics	malulamiselo;  vutleketli; 
long	ku leha; 
long-term	nkarhi wo leha; 
longer	leha; 
look	languta; 
looked	langutile; 
looking	langutaka; 
looks	languta; malangutekelo;  languta; 
loop	ririmi;  mfambo;  xindzimi; 
lose	ku hluriwa; 
loss	ndzahlekelo; 
losses	lahlekeriwa; 
lost	lahlekeriwile; 
lot	tala; 
lottery	mubejo; 
love	rhandza; 
loved	rhandziwile; 
lovers	varhandzani; 
low	hansi; 
low-income	muholo wa le hansi; 
lower	ehansi; enhlisa; 
lowest	hansihansi; 
lump	bundzu; 
m	muholo wa le hansi; 
mace	nhonga ya palamende; 
machine	muchini; 
machinery	muchini;  michini; 
machines	michini; 
macro-economic	swa makhiroikhonomi; ikhonomi ya mpimo lowukulu; 
macroeconomic	swa makhiroikhonomi; ikhonomi ya mpimo lowukulu; 
made	makile;  endlile;  makiwile; 
magazine	magazini; 
magazines	timagazini; 
magisterial	swa majisitarata; 
magistrate	majisitarata;  muchuchisi; 
magistrate's	swa majisitarata; 
magistrates	vamajisitarata; 
magnificent	xo saseka swinene;  xa kahle swinene; 
magnitude	vukulu; 
mail	poso;  meyila;  posa; 
main	nkoka; 
mainly	ngopfungopfu;  xa nkoka; 
mainstream	xa ntolovelo; xa mani na mani; 
mainstreaming	ku xi endla xa ntolovelo; 
maintain	hlayisa; 
maintained	hlayisile; 
maintaining	hlayisa; 
maintains	hlayisa; 
maintenance	vuhlayisi;  vuhlayisi bya nawu na ndzhulo;  nhlayiso; 
major	nkulukumba;  -vukulukumba;  meja; 
majority	vunyingi;  vukulukumba; 
make	vumba;  muxaka; 
makers	vaendli; 
makes	endla;  maka; 
making	endla;  makiwaka; 
malaria	dari; 
male	xinuna;  -xinuna; 
males	vaxinuna; 
mall	molo; 
man	wanuna; 
manage	fikelela;  fambisa; 
managed	fikelerile;  fambisile; 
management	vufambisi;  vafambisi;  mafambeselo; 
manager	mufambisi; 
managers	vafambisi; 
manages	fikelela;  fambisa; 
managing	fambisa; 
mandate	mpfumelelo; 
mandated	pfumeleriwile; 
mandates	swileriso; 
mandatory	lexi bohaka; 
manifestations	ku paluxa;  ku humesela erivaleni; 
manner	matirhelo; 
manual	buku;  -mavoko; 
manufacture	endla;  maka; 
manufactured	endlile; makile;  endlile; 
manufacturer	mumaki; 
manufacturing	ku endla; 
manuscript	tsalwa; 
manuscripts	matsalwambisi; 
many	tala;  nyingi; 
map	mepe; 
mapping	ku kunguhata; 
maps	mimepe; 
march	macha;  risimu ro famba; 
marched	macheke; machile; 
margin	makumu;  ndzilekana; 
marginal	xitsanana na ku a xi nga ri nga nkoka;  mpimo lowutsongo; 
marginalised	lava tsan'wiweke; 
marine	-lwandle; 
maritime	swa lwandle; 
mark	mfungho;  maraka;  fungha; 
marked	funghiwile; 
market	xavisa;  vaxavi;  makete; 
marketing	vuxavisi; 
markets	timakete; maketa;  timakete; 
marking	ku maka;  ntsalo; 
marks	timaraka;  swivati;  mifungho; 
marriage	teka;  vukati; 
marriages	vukati;  ku tekana; 
married	tekile;  tekanile;  tekiwile; 
mass	ntikelo;  ntiko;  mpimo wa swilo;  vunyingi; 
massive	nkulu; 
master	mutivinkulu; 
master's	swa mutivinkulu; 
match	ntlangu;  mechisa;  mphikizano;  nhlengelo;  ritlhongwe;  yelanisa; 
matches	mecisi; 
material	nchumu;  lapi; 
materially	 hi swo khomeka; hindlela yo tivikana; 
materials	matheriyali; 
maternal	hi tlhelo ra manana; 
mathematical	ximatematiki; 
mathematics	metse;  matematiki; 
matric	matiriki; 
matrimonial	swa vukati; 
matter	nchumu;  vuvopfu; 
matters	timhaka;  michumu; 
maturity	vukhomba;  -kurile; 
max	mpimo wa le henhla; 
maximise	ku tirhisa hindlela yo vuyerisa swinene; 
maximum	makizimamu; 
may	nga ha; 
maybe	kumbe; 
mayor	meyara; 
mayors	timeyara; 
me	mina; 
mean	vula; 
meaning	nhlamuselo; 
meaningful	 xo tivikana; leswi nga ni nhlamuselo; 
meaningfully	hindlela yo tivikana; 
meanings	tinhlamuselo; 
means	vula; 
meant	vula;  endleriwile; 
measurable	xo pimeka; 
measure	mpimo;  pima;  mpima-ndzeho;  mpima-ndzeni;  mpima-nkarhi;  mpima-ntiko; 
measured	pimiwile; 
measurement	mpimo; 
measures	magoza;  pima;  mipimo; 
measuring	ku pima; 
mechanical	-muchini; 
mechanism	tirhele ra xinchini;  tirhele ra muchini; 
mechanisms	tindlela;  maendlelo; 
mediation	vulamuri; 
medical	-vun'anga; 
medicine	murhi; 
medicines	mirhi; 
medium	ririmi ro dyondzisa; 
medium-term	nkarhi wa le xikarhi; 
meet	fikelela;  hlanganisa;  hlangana; 
meeting	nhlengeletano; 
meetings	tinhlengeletano; 
meets	fikelela;  hlanganisa;  hlangana; 
mega	lexikulu; 
melting	n'oka; 
member	xirho; 
member's	xa xirho; 
members	swirho; 
membership	vuxirho; 
memorable	 xo tsundzukeka; xo khumbuleka; 
memorandum	ntwanano;  hungu;  memorandamu; 
memorial	xitsundzuxo; 
memories	mikhumbulo; 
memory	 mikhumbulo; ku tsundzuka;  memori; 
men	vavanuna; 
mental	-miehleketo;  swa miehleketo; 
mentally	xa le miehleketweni; 
mention	vula;  boxa; 
mentioned	boxiweke;  vuriweke; 
menu	nongonoko wa khompyuta;  menyu; 
merchant	muxavinkulu; 
mere	ntsena; 
merely	ntsena; 
merger	nkatsano;  nhlanganelo; 
merit	mpimo;  mpimo wa mfanelo yo karhi;  wa ku va kahle; 
merits	mipimo ya timfanelo to karhi;  mipimo; 
message	hungu; 
messages	mahungu; 
messenger	murhumiwa;  ntsumi; 
met	hlanganile;  fikelerile;  hlanganisile; 
metal	nsimbhi;  ntsompfu; 
metals	tinsimbhi;  tinsimbhi; mitsompfu; 
method	maendlele;  endlele; 
methodology	ntivo-maendlele; 
methods	tindlela;  maendlelo; 
metro	doroba; 
metropolitan	dorobahulu; 
micro	mayikhiro; mpimo lowutsongo; 
middle	xikarhi; 
midst	exikarhi ka; 
might	nga ha; 
migration	ndzhurho; 
milestone	ku humelela evuton'wini; 
milestones	tindzima; 
military	masocha;  -nyimpi; 
milk	masi;  ntswamba;  rivisi; 
millennium	mileniyamu; malembexigidi; 
million	miliyoni; 
millions	timiliyoni; 
mind	miehleketo;  nhloko; 
mindful	tekela enhlokweni; 
minds	miehleketo; 
mine	cela;  mugodi;  cela migodi; 
mineral	swicelwa;  xicelwa;  minerali; 
minerals	swicelwa;  timinerali; 
mines	migodi;  cela migodi; 
minimise	-hunguta; 
minimum	vugimu-ntsongo; 
mining	cela migodi;  cela mugodi; 
minister	holobye;  mufundhisi; 
minister's	xa holobye; 
ministerial	xa holobye; 
ministers	vaholobye;  vafundhisi; 
ministry	vutirheli;  hofisi ya holobye; 
minor	-ka ntikelo;  -muondliwa; 
minority	vutsongo;  vutsongwana; 
minutes	kanelwa; 
misconduct	xihoxo; 
misleading	xisa;  lahlekisa; 
missing	kayivelaka; 
mission	ntirho wo rhumiwa; 
missions	mitirho yo rhumiwa; 
mitigate	 hunguta mpimo; hunguta ntikelo; 
mitigation	ku hunguta ntikelo;  ku hungutela xigwevo; 
mix	hlanganisa;  pfanganyeta; 
mixed	hlangahlanganile;  pfanganile; 
mobile	ku famba-famba; 
mobilisation	nhlengeleto;  nhlohlotelo; 
mobilise	kucetela; 
mobility	vufamba-fambi;  ku famba-famba; 
model	xikombiso;  vumba;  modlele; 
models	vumba; timodlolo;  swikombiso; 
moderate	xo ringanela; 
modern	ximanguvalwa;  ximanjhemanjhe; xa manguva lawa; 
modernisation	 ku endla swi va swa ximanguvalawa; ku endla swi va swa ximanjhemanjhe; 
modified	hundzuluxiweke;  cinciweke;  antswisiweke; 
modify	lulamisa;  -hundzuluxa;  antswisisa; 
moment	xinkadyana; 
moments	swinkadyana; 
momentum	matimba; 
monetary	ximali; 
money	mali; 
moneys	timali; 
monies	timali; 
monitor	xolwe;  -langutela?;  veka tihlo; 
monitored	languteriweke;  vekile tihlo;  vekiweke tihlo; 
monitoring	vulanguteri;  veka tihlo; 
monitors	langutelaka;  vekaka tihlo;  veka tihlo; 
month	n'hweti; 
monthly	n'hweti na n'hweti; 
months	tin'hweti; 
monument	xitsundzuxo; 
monuments	switsundzuxo; 
moral	dyondzo;  -vunene; 
more	tlula; 
moreover	ehenhla ka sweswo;  handle ka sweswo; 
morning	mixo;  mpundzu; 
mortality	mafu; 
mortgage	 loni yo xava yindlu; xikweleti xo xava yindlu; 
most	leswo tala; 
mostly	 hi xitalo; hi vunyingi; 
mother	manana; 
mothers	vamanana; 
motion	kungu;  mfamba-mfambo; 
motions	makungu;  makungu; mifambafambo; 
motivation	xivangelo; 
motto	xihlambanyo; 
mountain	ntshava; 
mountains	tintshava; 
mounted	nameka; 
mouth	nomo;  xichelweni; 
movable	lexi fambaka;  xo fambiseka; 
move	fambisa; 
moved	fambile; 
movement	mfamba-mfambo;  ntshukontshuko; 
movements	 mitshukunyuko; mifambafambo; 
moves	 famba; mifambo; 
moving	fambaka;  rhurha; 
much	tala;  vunyingi; 
multi-party	mavandlanyingi; 
multilateral	matikonyingi;  tinxakanyingi; 
multilingual	tiva tindziminyingi; 
multilingualism	vutindziminyingi; 
multimedia	swihangalasa-mahungunyingi; 
multiparty	mavandla-nyingi; 
multiple	nyandzisiwa;  nyandziso; 
municipal	masipala;  -masipala; 
municipalities	timasipala; 
municipality	masipala; 
murals	swipendiwa; timiyurali; 
murder	vugevenga; 
museum	muziyamu;  vuhlayiselo bya swa vutshila; 
museums	 vuhlayiselo bya swa vutshila; timuziyamu; 
music	vuyimbeleri; 
musical	swa vuyimbeleri; 
musician	muyimbeleri; 
musicians	vayimbeleri; 
must	fanele; 
mutandis	leswi faneleke ku cinciwa; 
mutatis	leswi faneleke ku cinciwa; 
mutual	matlhelo hinkwawo; khamphani ya ndzindzakhomo;  matlhelo hinkwawo;  nhlangano wa ndzindzakhombo; 
mutually	hi matlhelo hinkwawo; 
my	xa mina; 
myself	mina hi ndzexe; 
name	vito;  thya; 
named	thyile; tshurile; 
namely	ku nga; 
names	mavito;  thya; 
narrative	mhaka; 
narrow	khuma; 
natal	nkarhi wa ku velekiwa;  siku ra ku velekiwa; 
nation	rixaka; 
nation-building	ku aka rixaka; 
national	swa rixaka;  -va tiko; 
nationality	rixaka; 
nationally	tiko hinkwaro; 
nationals	munhu wa rixaka ;  swa matiko; 
nationhood	vutifumi bya tiko; 
nations	tinxaka; 
native	vantima; 
natural	xivuyerisa-notweni;  xa ntumbuluko;  -ntumbuluko; 
nature	ntumbuluko;  vuxona; 
near	ekusuhi; 
nearest	ekusuhisuhi; 
nearly	ekusuhi na;  kwalomu ka; 
necessarily	ngopfungopfu; 
necessary	-fanela; 
need	xilaveko; 
needed	laveka; 
needs	swilaveko; 
negative	nandzulo;  -nandzulo; 
negatively	hindlela yo biha; 
neglect	hunisa;  huniso; 
neglected	honisile; tsan'wile; 
negligence	mihunu; 
negotiate	popela;  ku fambisa; 
negotiated	kanerisaniweke; 
negotiating	kanerisana; 
negotiation	mpopelo; 
negotiations	mikanerisano; 
neighbouring	akelana; 
neither	ku hava; 
net	 tavala; mphasamphasano; 
network	netiweke; 
networking	netiweka; 
networks	tinetiweke; 
never	landzula; 
nevertheless	hambiswiritano; 
new	lexintshwa; 
newly	lexa ha ku vaka kona; 
news	mahungu; 
newsletter	papilahungu; 
newsletters	mapapilahungu; 
newspaper	phephahungu;  nyuziphepha; 
newspapers	maphephahungu; 
newsroom	kamara ya mahungu; 
next	landzelaka; 
night	vusiku; 
nine	kaye; 
no	e-e; 
noble	xa le ka rixaka ra le henhla; xa matikhomelo lamanene; 
nominal	lexitsongo;  xa vito ntsena;  xa riviti; 
nominate	hlawula; 
nominated	hlawuriwile; 
nomination	ku hlawula; 
nominations	mihlawulo; 
non	mpfumalo; 
non-compliance	ku nga landzeleli swipimelo; 
non-governmental	lexi nga riki xa mfumo; 
non-profit	lexi nga bindzurisiki; 
non-racial	xo pfumala xihlawuhlawu ku ya hi nghohe; 
non-racialism	nkaxihlawuhlawu; 
non-refundable	mali leyi nga tlherisiwiki; 
non-sexism	xo pfumala ku ya rimbewu; 
non-sexist	lexi nga yiki hi rimbewu; 
non-tax	ntsengo lowu nga humiki ka xibalo; 
none	ku hava; 
nor	hambi; 
normal	lexi nga toloveleka; 
normally	hi ntolovelo; 
norms	mitolovelo; 
north	n'walungu;  tlhelo ra n'walungu;  n'walungwini; 
northern	n'walungwini; 
not	nga;  nge; 
notable	xa nkoka;  lexi vonakaka; 
notably	hindlela leyi vonakaka; 
note	tsala;  mali ya phepha;  papila;  noto;  xiyaxiya;  xiya-xiya; 
noted	lemukile;  tekerile enhlokweni;  tsarile; 
notes	tinoti; 
nothing	hava; 
notice	xitiviso;  xiya; 
notices	vona;  switiviso; 
notification	xitiviso; 
notified	tivisiwile; 
notify	tivisa; 
noting	vona;  tsala;  lemuka;  tekela enhlokweni; 
notion	miehleketo;  vonelo; 
notwithstanding	hambileswi;  swi nga ri na mhaka leswaku;  ku karhi ku nga kanetiwi; 
novel	hungu-tsalwa; 
now	sweswi; 
nuclear	nyutliliya; 
null	lexi nga bohiki; lexi nga riki nchumu; 
number	nomboro;  nhlayo;  ntsengo;  no.; 
numbers	tinhlayo; 
numerous	xitalo;  -ntalo;  swo tala; 
nurse	muongori;  ongola; 
nurses	vaongori;  ongola; 
nursing	vuongori; 
nurture	hlayisa;  kurisa;  wundla; 
nurturing	nkuriso;  nhlayiso; vuwundli; 
nutrition	mphamelo;  swakudya leswi nonisaka;  xakudya; 
oath	ku hlambanya; 
object	xilo;  xiendliwa; 
objection	nkaneto; 
objections	mikaneto; 
objective	xikongomelo;  -kongoma mhaka; 
objectives	swikongomelo; 
objects	swiendliwa;  michumu; 
obligation	mfanelo; 
obligations	vutihlamuleri; 
obliged	boheka; 
observatory	ndhawu laha ku voniwaka swa le xibakabakeni; 
observe	xiya;  xiyaxiya; 
observed	xiyaxiyiweke; xiyile; 
obsolete	-phupha; 
obtain	kuma; 
obtainable	-kumeka; 
obtained	kumile; 
obtaining	kuma; 
obvious	-le rivaleni; 
obviously	hindlela leyi nga erivaleni; 
occasion	nkarhi;  xiendleko; 
occasions	mikarhi;  swiendleko; 
occupation	ntirho;  mphango; 
occupational	xa le ntirhweni; 
occupied	khomekile; 
occur	humelela;  endleka; 
occurred	humelerile;  endlekile; 
occurrence	humelelo; 
occurring	humelelaka;  endlekaka; 
occurs	humelela;  endleka; 
ocean	lwandlenkulu; 
of	xa; 
off	humesa; 
offence	nandzu; 
offences	milandzu; 
offender	muonhi; 
offenders	vaonhi; 
offer	nyika;  xiringanyeto; 
offered	nyikela;  ringanyetile; 
offering	gandzelo; 
offerings	minyikelo;  magandzelo; 
offers	nyika;  swiringanyeto; 
office	xiyimo;  hofisi; 
office-bearers	vakhomi va hofisi; 
officer	mutirhi;  ndhuna; 
officers	vaofisiri; 
offices	tihofisi; 
official	mutirhela-mfumo;  -ximfumo; 
officially	ximfumo; 
officials	tiofixiyali; 
offset	ringanisa;  ku lwisana; 
offshore	kusuhi na le lwandle; ntsungeni wa malwandle; 
often	kotala; 
oil	oyili;  oli; 
old	khale; 
older	kahle; 
oldest	khale swinene; 
omission	ku siya ehandle; 
omissions	leswi siyiweke ehandle; 
on	ehenhla; 
on-going	yaka emahlweni; 
once	hi nkarhi wun'we; 
once-off	xa kan'we ntsena;  xa nkarhi wolowo ntsena; 
one	yin'we;  n'we; 
ones	lava; yin'weyin'we;  van’we; 
ongoing	yaka emahlweni; 
online	ku nghena eka netiweke; 
only	ntsena; 
onto	ehenhla ka; 
op	vuhandzuri; 
open	pfurile; pfulekile;  pfula; 
opened	pfurile;  pfulekile; 
opening	mbhovo;  mpfuleko; 
opens	pfula; 
operate	handzula; 
operated	tirhile; 
operates	tirha; 
operating	tirha; 
operation	tirhele;  matirhlele;  mbhandzulo;  nkhakhuleto; 
operational	lexi tirhaka; 
operations	matirhelo;  vuhandzuri; 
operator	mutirhisi; oparetara;  mutirhisi;  muendli wa bindzu; 
operators	vatirhisi; tioparetara;  vatirhisi;  vaendli va bindzu; 
opinion	mavonelo; 
opinions	mavonelo; 
opportunities	swivandlanene; 
opportunity	nkarhi; 
