APRIL	MORANANG; 
dismissal	 naya tsela; teleko;  go kobiwa; 
disparities	dipharologano; diphapaano; 
display	 -bontsha; bontsha;  pontsho; 
displayed	 -bontshitse; bontshitse; 
displaying	bontshang;  -bontshang; 
disposal	go latlha; 
dispose	latlha; 
disposed	latlhile; 
dispossession	kamogo; 
dispute	kganetsano;  ganetsana; 
disputes	dikganetsano;  ganetsana; 
disqualified	itsile; 
disqualify	itsa; 
dissatisfied	 ­galala; ­betwa ke pelo; 
dissemination	phasalatso; 
dissolution	tlhaoloso;  tlhamololo (palamente); 
dissolve	thuba;  tlhaolosa;  tlhaologa; 
dissolved	 tlhaolositse; thubile;  tlhaologile; 
distance	sekgala;  bokgakala; 
distant	kgakala; 
distinct	 ­bonalang; farologane; 
distinction	pharologano; 
distinctions	dipharologano;  maduo a a gaisang; 
distinctive	bonagala; 
distinguished	 ­itsegeng; farologantse; 
distribute	aba; 
distributed	abile; 
distribution	kabo;  kgasagano;  kabo phatlalatso; 
district	kgaolo;  setereke; 
districts	 disetereke; dikgaolo; 
distrust	-se tshepege; 
diverse	mefutafuta; 
diversion	phapogo; 
diversity	kakaretso ya mefutafuta; 
diverted	fapogile; 
divide	arola; 
divided	arogantse; 
dividend	karolelo; 
dividends	dikarolelo;  dikarolwa; 
division	karolo;  kgaoganyo;  kgaogano;  lephata; 
divisions	dikarolo;  maphata;  dikgaogano;  dikgaoganyo; 
divorce	tlhalo; 
do	dira; 
doctor	ngaka;  ngaka ya malwetse; 
doctorate	thuto ya bongaka; 
doctors	dingaka;  dingaka tsa malwetse; 
document	lekwalo; 
documentation	ditokomane; 
documents	makwalo; 
does	dira; 
doesn't	­se dire; 
doing	dirang; 
dollar	dolara; 
domains	didomeine; 
domestic	tsa legae; 
dominant	phekeetsi; 
domination	phekeetso; 
don	 motlhatlheledi; rwala;  apara;  tswala; 
don't	­se ke; 
donation	dineelo; 
donations	dineelo; 
done	 feditse;  weditse; dirile; 
donor	moabi; 
donors	baabi; 
door	setswalo; 
doors	ditswalo; 
double	 oketsa gabedi; sebedi; 
doubt	 kakabalo;  belaela;  akabala; pelaelo; 
down	 lefofatlase;  diphofaleta; tlase; 
download	sitlholola; 
downtown	mo gare ga toropo; 
downturn	phokotsego; 
draft	tlhamo; 
drafted	tlhamile; 
drafting	tlhamang; 
drama	terama; 
dramatic	 ­golo; ­terama;  ­kgatlhisang; 
draw	 thala;  maleka;  lekalekana;  tšhentšha;  rala; ntsha; 
drawing	 sethalo;  tshwantsha; setshwantsho; 
drawn	 gogile; ntshitse; 
dream	toro; 
dreams	ditoro; 
drew	 thadile; ntshitse; 
drink	 nwa; seno; 
drinking	nno; 
drive	mmila; 
driver	mokgweetsi; 
driver's	­mokgweetsi; 
drivers	bakgweetsi; 
driving	kgweetsang;  mmila; 
drop	 lerothodi; wa; 
drug	 seokobatsi;  seritibatsi; kalafi;  more;  molemo; 
drugs	melemo;  mere;  diokobatsi;  dikalafi;  diritibatsi; 
drum	moropa;  meropa;  teromo; 
dry	omileng;  omile;  go oma;  omisa;  oma; 
dual	-pedi; 
due	kolotang; 
duly	 jaaka go solofetswe; ka tsela e e maleba; 
duplicate	dupolikata;  go dupolikata; 
duplication	tirosebedi; 
duration	 lobaka; paka;  sebaka;  boleele jwa nako; 
during	ka nako ya; 
duties	metšhaelo;  ditshwanelo;  makgetho; ditiro; 
duty	 tshwanelo; tiro;  lekgetho; 
dynamic	tshelang-tota; 
e-mail	kwalelano ka inthanete;  posa ka inthanete; 
earlier	pejana;  ­pele;  go sa le gale; 
earliest	­pelepele; 
early	phakela; 
earmarked	tshwaya; 
earn	amogela; 
earned	amogetse; 
earnings	dikamogelo; 
earth	lefatshe;  sethibelalegadima;  mmu; 
ease	bonolo; 
easier	bonojana; 
easily	 ka bonolo; ka bofefo; 
east	botlhaba;  botlhabatsatsi;  -botlhaba; 
eastern	­botlhaba; 
easy	bonolo; 
economic	thuo; 
economically	ka ditšhelete;  ka tlhotlhwatlase; 
economics	thuto ka tsa ikonomi; 
economies	diikonomi; 
economists	moikonomise; 
economy	 ekonomi; ikonomi; 
ecosystem	tsela ya go dira ka tsa tikologo; 
ecosystems	ditsela tsa go dira ka tsa tikologo; 
edge	losi; 
edit	tseleganya; 
editing	tseleganyang; 
edition	kgatiso; 
editor	motseleganyi; 
editors	batseleganyi; 
educate	- ruta; 
educated	rutile; 
educating	rutang; 
education	 -ruta; thuto; 
educational	ya thuto; 
educator	morutabana; 
educators	barutabana; 
effect	 sephetho;  phetodi; diragatsa; 
effected	diragaditse; 
effective	nonofile; 
effectively	ka nonofo; 
effectiveness	nonofo; 
effects	 phetodi; diragatsa;  diphetho; 
efficacy	bokgoni; 
efficiency	bokgoni; 
efficient	bokgoni;  kgona; 
efficiently	ka bokgoni; 
effort	matsapa;  boiteko; 
efforts	maiteko;  matsapa; 
eight	robedi; 
either	le fa e le; 
elderly	godileng;  tsofetse; 
elders	 bagodi; bagolo; 
elect	tlhopha;  kgetha; 
elected	 kgethile; tlhophile; 
election	ditlhopho;  kgetho; 
elections	ditlhopho;  dikgetho; 
electoral	­ditlhopho; 
electrical	­motlakase; 
electricity	motlakase; 
electrification	tsenyomotlakase; 
electronically	ka seeleteroneki; 
elects	tlhopha;  kgetha; 
elevate	tsholetsa; 
eleven	somenngwe; 
eligible	­tshwanelegang; 
eliminate	 tlosa; ntsha; 
eliminated	 tlositse; ntshitse; 
elimination	tloso; 
eloquently	ka botswerere mo puong; 
else	­sele; 
elsewhere	go sele; 
email	 kwalelano ka inthanete; -romela ka inthanete;  posa ka inthanete; 
emanating	ntshang;  ­tswang; 
emancipation	kgololo; 
embark	tsena mo sekepeng; 
embarked	tsene mo sekepeng; 
embarking	tsenang mo sekepeng; 
embassies	dintlokemedi; diembasi; 
embassy	ntlokemedi;  embasi; 
embed	nanganela; 
embedded	nanganetse; 
emblem	sekano; 
embodiment	kano; 
embraced	hakane; 
embraces	hakana; 
emerge	tswelelela; 
emerged	tsweleletse; 
emergence	 rotogo; photsego; tlhagelelo; 
emergency	tshoganyetso; 
emergent	dikgatopele tsa tlhabologo; 
emerging	tswelelelang; 
eminent	 ­tlotlegang; ­itsegeng; 
emission	-ntsha; 
emoluments	dituelo;  meputso; 
emotion	maikutlo;  khuduego; 
emotional	-maikutlo; 
emotions	maikutlo;  dikhuduego; 
emphasis	kgatelo; 
emphasise	gatelela; 
emphasised	gateletse; 
emphasises	gatelela; 
employ	thapa; 
employed	thapile; 
employee	mothapiwa; 
employees	bathapiwa; 
employer	mothapi; 
employers	bathapi; 
employing	thapang; 
employment	 thapo; tiro; 
employs	thapa; 
empower	matlafatsa; nonotsha;  siamisetsa; 
empowered	matlafaditse;  siamiseditse; nonotshitse; 
empowering	nonotshang; matlafatsang;  siamisetsang; 
empty	lolea; 
emulate	go etsa; 
enable	kgontsha;  kgonisa; 
enabled	kgontshitse; 
enables	kgontsha;  kgonisa; 
enabling	kgontshang;  kgonisang; 
enacted	 tlhoma molao; diragaditse; 
enacting	 tlhomang molao; diragatsang; 
enactment	taolo; 
enactments	ditaolo; 
encourage	rotloetsa;  kgothatsa; 
encouraged	rotloeditse;  kgothaditse; 
encourages	rotloetsa;  kgothatsa; 
encouraging	rotloetsang;  kgothatsang; 
end	bokhutlo; 
endangered	-kotsing; 
endeavor	leka; 
endeavour	leka; 
endeavours	 diteko; leka; 
ending	bokhutlo; 
endorse	tiisa; 
endorsed	tiisitse; 
endorsement	kano; 
enduring	itshokelang; 
energy	maatla;  maikatlapelo; 
enforce	gatelela; 
enforced	gateletse; 
enforcement	kobamedisomolao; 
engage	 tsaya karolo; tlhoma letlhokwa; 
engaged	tshotse karolo;  tlhomile letlhokwa; 
engagement	- beeletsa; 
engagements	 - beeletsa; dipeeletso; 
engaging	­ntle; 
engender	baka; 
engendering	 ­bakang; tlholang; 
engine	enjene; 
engineer	moenjenere;  go kgona; 
engineers	baenjenere; 
enhance	oketsa; 
enhanced	okeditse; 
enhancement	 tlhatloso; koketso; 
enhancing	oketsang; 
enjoy	iphina; 
enjoyed	iphinne; 
enormous	­kgolo; 
enough	lekane; 
enquiry	patlisiso; 
enrich	humisa; 
enrol	kwadisa; 
enrolled	kwadisitse; 
enrolment	kwadiso; 
enshrined	somaretswe; 
ensue	latelang; 
ensuing	latelang; 
ensure	netefatsa; 
ensured	netefaditse; 
ensures	netefatsa; 
ensuring	netefatsang; 
entail	akaretsa;  na le; 
entails	akaretsa;  na le; 
enter	tsenya; 
entered	tsentse; 
entering	tsenyang; 
enterprise	kgwebo; 
enterprises	dikgwebo; 
enters	tsenya; 
entertainment	boitumelo;  thabiso;  boitumediso; 
entire	 borethe; otlhe; 
entirely	gotlhe; 
entities	ditheo; 
entitle	tshwanetse; 
entitled	tshwanetse; 
entity	setheo; 
entrance	kgoro; 
entrepreneur	mopakakgwebo; 
entrepreneurial	 pakakgwebo; gwebipotlana; 
entrepreneurs	bapakakgwebo; 
entries	 ditlhabeletso; dikwadiso; 
entrusted	laetse; 
entry	 tlhabeletso; kwadiso; 
envelope	enfelopo; 
environment	tikologo; 
environmental	tikologo; 
environments	ditikologo; 
envisaged	akanyeditse; 
envisages	akanyetsa; 
epidemic	leroborobo;  segajaja; 
equal	 lekanang;  nonofile;  -lekana; lekana; 
equality	tekatekano; 
equally	ka go lekalekana; 
equals	lekana le; 
equipment	ditlamelo;  sediriswa; 
equipped	tlametse; 
equitable	­lekalekanang;  ­sa gobeleleng; 
equity	tekatekano; 
equivalent	lekanang;  -lekanang; 
eradicate	 senyetsa ruri; ntsha; 
eradicating	 senyetsang ruri; ntshang; 
eradication	nyeletso; 
error	phoso; 
errors	diphoso; 
escape	 phologa; tshaba; 
escapes	 phologa; tshaba; 
especially	segolo; 
essence	boleng; 
essential	 sa botlhokwa; tlhokegang; 
essentially	ka tiriso ya dintlhatheo; 
establish	tlhoma; 
established	tlhomile; 
establishes	tlhoma; 
establishing	tlhomang; 
establishment	lenanethapo; 
establishments	mananethapo; 
estate	 lefa; boswa; 
estates	 lefa; boswa; 
esteemed	­tlotlegang;  ­kgatlhisang; 
estimate	 lekanyetsa; tekanyetso; 
estimated	lekanyeditse; 
estimates	lekanyetsa;  ditekanyetso; 
ethical	­ngwao; 
ethics	 boitsholo; botho; 
ethnic	 semorafe; morafe; 
ethnicity	 bomorafe; botso; 
ethos	dingwai; 
evaluate	lekola;  tlhotlhwafatso; 
evaluated	lekotse; 
evaluating	lekolang; 
evaluation	patlotlhotlhwa; 
eve	letsatsi pele ga; 
even	lekalekana;  borethe; 
evening	maitsiboa;  lotlatlana; 
event	tiragalo; 
events	ditiragalo; 
eventually	kwa bokhutlong; 
ever	 go sa khutleng; go sa feleng; 
every	botlhe; 
everybody	 mongwe le mongwe; botlhe; 
everyone	mongwe le mongwe; 
everything	sengwe le sengwe; 
evidence	 bopaki; bosupi; 
evident	­bonala;  ­lemosega; 
evolve	tswa; 
evolved	tswile; 
evolving	tswang; 
ex	moratiwa wa pele; 
exactly	e le tota;  ka nepo; 
examination	tlhatlhobo; 
examinations	ditlhatlhobo; 
examine	leka;  tlhatlhoba; 
examined	 tlhatlhobile; lekile; 
example	sekao; 
examples	dikao; 
exams	ditlhatlhobo; 
exceed	feta; 
exceeded	fetile; 
exceeding	fetang; 
exceeds	feta; 
excelled	gaisitse; 
excellence	kgaiso;  thwadi; 
excellent	bontle;  sentlentle; 
except	aroga; 
exception	learogi;  karogo; 
exceptional	 ­phapogo; ­karogo; 
excess	 phetotekano; phetotekanyetso; 
excessive	­feteletse; 
exchange	 anaanya;  phontšhi;  ananya; kananyo; 
exchanges	ananya;  anaanya;  dikananyo; 
excise	lekgetho; 
excitement	tlhagafatso; 
exciting	tlhagafatsang; 
exclude	tlogela; 
excluded	tlogetse; 
excludes	tlogela; 
excluding	tlogelang; 
exclusion	tswalelontle;  tlhotlhololo; tlogelo; 
exclusions	ditswalelontle; ditlogelo;  ditlhotlhololo; 
exclusive	­kgethegile; 
exclusively	ka tsela e e kgethegileng; 
execute	diragatsa;  bolaya; 
executed	bolaile;  diragaditse; 
executing	 bolayang; diragatsang; 
execution	polaosemolao; 
executive	khuduthamaga; 
executor	 moabi wa lefa; modiragatsi; 
exempt	rebola; 
exempted	rebotseng; 
exemption	thebolo; 
exemptions	dithebolo; 
exercise	 thobolola;  katisa;  thobololo;  thutiso;  itshidilo; katiso; 
exercised	ikwetlisitse; ikatisitse;  thobolotse; 
exercises	 dibuka tsa thutiso;  ditshidilo; dikatiso; 
exercising	-ikwetlisang; 
exhibit	 sesupo; bontsha; 
exhibition	tshupetso;  pontsho; 
exhibitions	dipontsho;  ditshupetso; 
exile	 tshedisa melelwane;  tshedisomelelwane; motshediswamelelwane; 
exist	 go nna teng; le yo; 
existed	nnile teng;  le yo; 
existence	 - nna teng; boleyo; 
existing	­nnang teng; 
exists	 nna teng; le yo; 
exit	tswa;  botso; 
expand	 atologa; atolosa; 
expanded	 atolositse; atologile; 
expanding	atolosang;  atologang; 
expansion	 katologa; katoloso;  katologo; 
expect	solofela; 
expectation	tsholofelo; 
expectations	ditsholofelo; 
expected	solofetse; 
expedient	tshwanetseng; 
expenditure	tshenyegelo; 
expense	madi a a dirisitsweng; 
expenses	ditshenyegelo; 
expensive	e turang; 
experience	 go itemogela; maitemogelo; 
experienced	itemogetse; 
experiences	 itemogela; maitemogelo; 
experiencing	 itemogelang; maitemogelo; 
expert	moitseanape; 
expertise	bokgoni;  kitso; 
experts	baitseanape; 
expiration	khemelontle; 
expired	fedile; 
expiry	fela; 
explain	tlhalosa; 
explained	tlhalositse; 
explains	tlhalositse; 
explanation	tlhaloso; 
explanatory	­tlhalosang; 
explicit	­bontshang thobalano;  ­utlwalang; 
exploitation	go ja ntsoma; 
explore	 utulola;  - tsamaya; tlhotlhomisa; 
explored	- tsamaile;  tlhotlhomisitse; utulotse; 
explores	 utulola;  - tsamaya; tlhotlhomisa; 
exploring	 tlhotlhomisang; tsamayang;  utulolang; 
expo	pontsho; 
export	 seyantle;  isa ntle;  diromelwantle; thomelontle;  thomelo; 
exports	diyantle; 
expose	tlhagisa; 
exposed	tlhagisitse; 
exposure	tlhagelela; 
express	thadisa;  setimelasegaodi; 
expressed	thadisitse; 
expression	 tlhagisomaikutlo; sekao;  ponagalo; 
expressions	ditlhagisomaikutlo; dikao;  diponagalo; 
expressly	tlhamalala; 
extend	 leelefatsa; atolosa; 
extended	leelefaditse; atolositse; 
extending	atolosang;  leelefatsang; 
extends	 leelefatsa; atolosa; 
extension	 tiraki; katoloso;  koketso; 
extensive	­atlhameng; 
extent	 selekano; bogolo; 
external	lentle;  -ntle; 
extra	 tlaleletsang; koketsego;  koketso;  ekesetera; 
extract	 sentshwa;  go ntsha (leino); ntsha; 
extraordinary	­makatsang; 
extreme	galakang; 
extremely	mo go boitshegang; 
eye	 lerobana la nnelete; leitlho; 
eyes	matlho; 
face	 lepele;  boalo; letlhakore;  sefatla;  sefatlhego; 
faces	matlhakore;  difatla;  boalo;  difatlhego; 
facie	prima facie; 
facilitate	 fefofatsa; nolofatsa; 
facilitated	nolofaditse;  fefofaditse; 
facilitates	 fefofatsa; nolofatsa; 
facilitating	 fefofatsang; nolofatsang; 
facilitation	bebofatso; nolofatso; 
facilities	dibebofatsi; 
facility	sediriso; 
facing	sebipo; 
facsimile	fekese; 
fact	ntlha; 
factor	 katisani;  palokatiso; lebaka; 
factors	 melao ya metšhini;  dipalokatiso;  difaboriki le tiro ya kago; mabaka; dikatisani; 
factory	bodirelo;  faboriki; 
facts	dintlha; 
fail	palelwa;  tlhaela;  fosa; 
failed	 fositse; paletswe;  tlhaetse; 
failing	paletsweng;  tlhaetseng;  fositseng; 
fails	palelwa;  tlhaela;  fosa; 
failure	palelo; 
failures	dipalelo; 
fair	 go sa siama; go sa sa itekanela; 
fairly	ka go sa gobelele;  ka go lekalekana; 
fairness	tekatekano; tlhokakgobelelo; 
faith	tumelo; 
fall	 phuagana; wa; 
fallen	wele; phuagane; 
falling	go theoga; 
falls	diphororo; 
familiar	itsege; 
families	malapa;  ditshika;  ba lelapa; 
family	 losika; lelapa;  ba lelapa; 
famous	itsege; 
fan	sefoki;  morati; 
fans	barati;  difoki; 
far	tennyanateng; kgakala; 
farewell	tumediso;  salang sentle;  tsela tshweu; 
farm	 polasa; lema; 
farmer	rapolasa; 
farmers	borapolasa; 
farming	temothuo; 
farms	 dipolasa; lema; 
fashion	fešene; 
fast	itima dijo; 
father	rre;  ntate; 
fathers	borre;  bontate; 
fault	phoso;  go supa phoso; 
favorite	ratiwang;  seratwa; 
favorites	diratwa; 
favour	molemo; 
favourable	­molemo;  ­utlwalang; 
favourite	ratiwa;  seratwa; 
fax	fekese; 
fear	poifo; 
fears	dipoifo; 
feasibility	­kgonegang; 
feature	setlhogo se se rileng; 
federal	 pusotshwaraganetsweng; federale; 
federation	tshwaragano; 
fee	tuelo; 
feed	 go fepa; fepa; 
feeds	diphepo;  go fepa; fepa; 
feel	utlwa;  phuruphutsa;  apaapa; 
fees	dituelo; 
fell	wele;  rema; 
fellow	 mogagabo;  mogaeno; monkana; molekane;  mogaetsho; 
felt	 utlwega; utlwala; 
female	mosadi;  namagadi; 
females	 bonamagadi; basadi; 
festival	moletlo; 
festivals	meletlo; 
festive	keteko; 
fever	letshoroma;  -fisa; 
few	 se kae; mmalwa; 
fewer	mmalwanyana;  ­se kaenyana; 
field	 kampa; naga; 
fields	 dikampa; dinaga; 
fifth	botlhano; 
fifty	somamatlhano; 
fight	ntwa; 
fighter	motlhabani; molwani; 
fighters	 batlhabani; balwani; 
fighting	ntwa;  lwa [lwanne]; 
figure	 dikapuo; popego;  tlhakapalo; 
figures	 dikapuo; ditlhakapalo; dipopego; 
file	 feile; faele;  rethefatsa; 
filed	rethefaditse; 
files	 difeile;  rethefatsa; difaele; 
fill	tlatsa;  katela;  gelela; 
filled	tladitse;  geletse;  katetse; 
filling	setlatsi; 
film	filimi;  filemi; 
filmmakers	badiradifilimi; 
filmmaking	bodirabaesekopo;  bodirafilimi; 
films	difilimi; 
final	makgaolakgang; 
finalisation	phediso;  konotelelo; kwetso; 
finalise	fetsa;  konotelela;  wetsa; 
finalised	 weditse; konoseditse; feditse; 
finalising	konosetsang;  feditseng; weditseng; 
finally	 kwa bokhutlong; kwa bofelong; 
finance	madi;  ditšhelete;  - neela madi; 
financed	neetse madi; 
finances	madi;  ditšhelete; 
financial	tsa ditšhelete; 
financially	­ditšhelete; 
financing	neelang madi; 
find	senka; 
finding	phitlhelelo; 
findings	diphitlhelelo; 
finds	senka; 
fine	 pheletso;  boso jo bo siameng;  borethe; tuelo;  tefiso;  otlhaya; 
fines	dituelo; dipheletso;  ditefiso;  otlhaya; 
finest	 pheletso;  boso jo bo siameng; borethe; 
fingerprints	dikgatisomenwana; 
fire	molelo; 
firearm	sethunya; 
firearms	dithunya; 
firm	 -tsetsepetseng;  tsetsepetseng; feme; 
firmly	 ka tlhomamo; ka tsepamo;  ka nitamo; 
firms	difeme; 
first	ya ntlha; 
firstly	­ntlha; 
fiscal	lotseno; 
fish	tlhapi; 
fisheries	madirelathapi; 
fishery	bodirelathapi; 
fishing	 tshwaro ya ditlhapi; - tshwara ditlhapi; 
fit	itekanetseng;  itekanetse; 
fitting	 idibalang;  ngategang; lekanyang;  lomaganyang; 
five	tlhano; 
five-year	dingwaga tse tlhano; 
fixed	baakantse;  tlhomile matlho;  ­sa fetweng; 
flag	folaga; 
flags	difolaga; 
flagship	sekepe se se botlhokwa sa sesole; 
flame	kgabo; 
flexibility	temeko; 
flexible	-swedietega; 
flood	morwalela; 
floods	merwalela; 
floor	 bodilo;  foluru; boalo; 
flora	 botshelo jwa semela;  dimedi; dimela; 
floral	ya mebala; 
flow	kelelo; 
flower	 sethunya tšhese; sethunya;  bolomo; 
flows	dikelelo; 
fly	 fofa; ntsi; 
flying	 tsubalalang; fofang; 
focus	 tsepa; tsepamisa; 
focused	tsepamisitse;  tsepile; 
focuses	 tsepa; tsepamisa; 
focusing	 tsepang; tsepamisang; 
follow	 sala morago; latela; 
follow-up	tatelelo; 
followed	latetse;  setse morago; 
following	latelang; 
follows	 sala morago; latela; 
food	dijo; 
foot	kgato;  leoto;  futu;  lonao; 
football	kgwele ya maoto dinao; 
footsteps	dikgato; 
for	gonne; 
force	thata;  maatla;  pateletsa; 
forced	pateleditse;  ;  gapeleditswe; 
forces	maatla;  pateletsa;  dithata; 
forebears	badimo; batsogapele; 
forefront	kwa pele; 
foreign	 boditshaba; motswakwa; 
foreigner	motswakwa;  moditšhaba; 
foreigners	batswakwa; baditšhaba; 
forensic	forensiki; 
forest	sekgwa; 
forestry	 jalo ya dikgwa; tlhokomelo ya dikgwa; 
forests	dikgwa; 
forever	bosakhutleng;  ­bosenabokhutlo; 
forfeited	latlhegetswe;  amogilwe; 
forfeiture	tatlhegelo; 
forge	thula;  bothulelo; 
forged	thudile; 
forget	 gakwa; lebala; 
form	 sebopego;  foroma; foromo;  bopa;  panka; 
formal	ka melawana; 
formally	 ka tshwanelo; semmuso; 
format	fomete; 
formation	 setlhopha sa moretelediane; popo; 
formations	ditlhopha tsa moretelediane; dithulaganyotshameko;  dipopo; 
formed	 bopa [bopile]; sebopego;  bopile; foromile; 
former	pele; 
formerly	 ­pele; ­jale; 
forms	diforomo;  foroma;  dipopego;  bopa; 
formula	sekaelo; 
formulation	popego;  tlhamo; 
forth	­tswelela;  jalo le jalo; 
forthcoming	­tlang; 
forthwith	 ka bonako; ka gangwe; 
forum	 foramo; kopano; 
forums	dikopano;  diforamo; 
forward	 phapa; romela;  kwa pele; 
forwarded	rometse; 
foster	tsweletsa; 
fostering	tsweletsang; 
fought	ntwa;  lwa [lole]; 
found	ribolotswe; 
foundation	motheo; 
foundations	metheo; 
founded	ribolotse; 
founder	mothei; 
founding	ribolotsweng; 
four	nne; 
fourth	­bone; 
frame	 foreimi; kgatlha; 
framework	letlhomeso; 
frameworks	matlhomeso; 
franchise	 tshwaneloboutu; lekwalo la go rekisa; 
fraternity	 bokaulengwe; selekane; 
fraud	tsietso; 
fraudulent	­tsietsa; 
free	 itaola;  gololesega; mahala;  golola; 
freed	 gololesegile;  itaotse; golotse; 
freedom	 boipuso; kgololosego;  kgololosego ya go tsamaya; 
freedoms	 dikgololosego ya go tsamaya;  dikgololosego; boipuso; 
freely	kwa ntle ga tuelo; 
freight	 morwalo;  tefamorwalo; dithoto; 
frequency	lekhubu; 
frequently	gangwe le gape; 
fresh	naana; šwa; 
friend	tsala; 
friendly	­botsalano; 
friends	ditsala; 
friendship	botsalano; 
from	­go tswa mo;  ­go tloga mo; 
front	pele; 
fruit	leungo; 
fruitful	­nonneng;  ­ungwang; 
fuel	 dibeso; setuki; 
fuels	 dibeso; dituki; 
fulfil	digela; 
fulfill	digela; 
fulfilling	­kgotsofatsang; 
full	tletse; 
full-time	nakotletseng; 
fully	 ka botlalo; ka boleka; 
function	 tiriso; dira;  tiro;  go dira;  modiro;  tiro ya go ikgotla; 
functional	dirang; 
functionality	bokgoni jwa go dira; 
functions	 ditiriso; dira;  ditiro;  mediro; 
fund	letlole; 
fundamental	theo; 
fundamentally	ka theo; 
funds	 aba matlole; matlole; 
funeral	poloko;  phitlho; 
furnish	abela; 
furnished	abetse; 
furniture	fenitšhara; 
further	tsweletsa;  fa pele; 
furthermore	­go ya pele; 
future	 pakaisago jaana; bokamoso;  pakaisago gale; 
gain	 boelwa; poelo; 
gained	boetse; 
gains	 boelwa; dipoelo; 
gala	 moletlwana; tiragatso; 
galleries	disoloro; bobontshotsweretshi; 
gallery	disoloro; 
gamble	leka lesego;  -leka lesego;  itekolesego; 
gambling	-lekang lesego;  leka lesego;  itekolesego; 
game	diphologolo;  serapa;  motshameko; 
games	 metshameko ya katiso le karolo; metshameko ya morumo ka bonako;  metshameko ya tlhakanyo;  metshameko ya mopeleto; 
gap	phatlha; 
gaps	diphatlha; 
garden	 segotlo; tshingwana; 
gardens	 digotlo; ditshingwana; 
garnishee	mogapelwa; 
gas	gase; 
gateway	kgoro; 
gather	kokoana; 
gathered	kokoane; 
gathering	 phuthego; kopano;  pitso;  kgotla; 
gave	file;  neile; 
gazette	phasalatso; 
gear	kere; 
geared	kerile; 
gender	bong; 
gender-based	ikaegile ka bong; 
general	kakaretso;  mogenerala; 
generally	ka kakaretso; 
generate	fetlha; 
generated	fetlhile; 
generating	fetlhang; 
generation	 losika; balekane;  phetlho; 
generations	 diphetlho; balekane;  ditshika; 
genres	mefutatlhamo; 
gentlemen	makau; 
geographic	­lefelo;  ­lefatshe; 
geographical	ya thutafatshe;  -ya thutafatshe; 
geography	thutafatshe; 
get	 amogela; bona; 
gets	 amogela; bona; 
getting	 amogela; bona; 
giant	mokaloba;  mogokotlou; 
gift	mpho;  neo; 
girl	mosetsana; 
girls	basetsana; 
give	 naya; fa; 
given	-newa; 
gives	 naya; fa; 
giving	pelonolo; 
glad	 ja monate; itumetse; 
glass	galase; 
global	lefatshe ka bophara; 
globalisation	kanamisotshwano; 
globally	lefatshe ka bophara; 
globe	lefatshe;  kgolokwe; 
glory	tlotlo; 
glossary	lenanefoko; 
go	ya;  tlhomoga;  emoga;  tloga;  tsamaya; 
goal	 nno;  boikemisetso; boikaelelo; 
goals	 boikaelelo; maikemisetso;  dino; 
goes	ya;  tlhomoga;  emoga;  tloga;  tsamaya; 
going	bothata;  botlogo; 
gold	gouta; 
golden	­gouta;  ­botlhokwa; 
gone	 tlhomogile; emogile;  tlogile;  tsamaile; ile; 
good	­ntle;  ­siame; 
goods	 morwalo; dithoto; 
google	batla ka google;  google; 
gore	thula ka dinaka; 
gospel	mmino wa sedumedi; 
got	tshotse;  na le; 
govern	busa; 
governance	 taolo; puso; 
governed	busitse; 
governing	 busang; laolang; 
government	 mmuso; puso; 
government's	­puso; 
governments	 mebuso; dipuso; 
governor	molaodi; 
governors	balaodi; 
grace	tshegofatso; 
grade	seemo;  tlhopha ka seemo;  mophato;  tlhopha;  setlhophana; 
grades	 diemo; tlhopha;  ditlhophana;  mephato; 
grading	tlhophang; 
gradually	ka boiketlo; 
graduate	sealogane;  motsholadikerii; 
graduates	dialogane; batsholadikerii; 
grand	­ntle; 
grant	thuso;  kabelo; 
granted	thuso;  thusa [thusitse];  aba [abile];  kabelo; 
grants	dikabelo;  dithuso; 
graphic	­tshwantsho; 
grass	bojang; 
grassroots	batho fela; 
grateful	leboga; 
gratitude	tebogo;  malebogo; 
grave	lebitla; 
graves	mabitla; 
great	 ­golo; ­tonna; 
greater	­golwane; 
greatest	­golo thata; 
greatly	thata;  ka bogolo; 
green	tala;  botala; 
greenhouse	ntlo ya bogodisetso jwa dijalo; 
greetings	madume; 
grew	 medile; godile; 
grind	 gaila; sila; 
gross	koroso; 
ground	gaitse;  sidile; 
ground-breaking	šwa ; 
groundbreaking	šwa ; 
grounds	 sidile; mebu;  mmuru; 
group	 rulaganya; setlhopha; 
groups	 rulaganya; ditlhopha; 
grow	 mela; gola; 
growing	 melang; golang; 
grown	 medile; godile; 
growth	kgolo; 
guarantee	tshireletsego; 
guarantees	 ditshireletsego; tshepisa; 
guard	molebeledi; 
guardian	 motlamedi; motlhokomedi; 
guest	moeng;  moeti; 
guests	 baeti; baeng; 
guidance	kaelo; 
guide	 mosupatsela; kaela; 
guided	 kaetse;  supa tsela [supile tsela]; mosupatsela; 
guideline	kaedi; 
guidelines	dikaedi; 
guides	 basupatsela; kaela; 
guiding	kaelang; 
guilt	phoso; 
guilty	molato; 
gun	tlhobolo;  sethunya; 
h	bogodimo; 
had	nnile le; 
hail	sefako; 
hailed	sefako;  na ka sefako [nele ka sefako]; 
hails	sefako;  na ka sefako; 
half	 seripagare; halofo; 
hall	ntlolehalahala;  holo; 
