ABET	Imfundvo yalabadzala; I-ABET; 
declining	 kuncipha;  kwehlela; kwala; 
decrease	kunciphisa;  nciphisa; 
decreased	kunciphisa;  nciphisa; 
decryption	 -enta kube lula; cacisa; 
dedicate	 busisa; nikela; 
dedicated	 -nikele; -busiswe; 
dedication	 kubusisa; kutinikela; 
deduct	susa; 
deducted	khipha; susa; 
deduction	kukhipha; 
deductions	kukhipha; 
deed	sento; 
deeds	tento;  ematayitela; 
deem	 linganisela; cabanga; 
deemed	 linganisela; cabanga; 
deems	 linganisela; cabanga; 
deep	shona; -julile; 
deepen	yenta kushone;  yenta kujule; 
deeper	kushona kakhudlwana;  julile kakhudlwana; 
deeply	kakhulu;  ngalokujulile; Ngalokushonako; 
default	liphutsa;  phutsa;  kwephula sivumelwano; kwephula umtsetfo; 
defect	sici; 
defence	kuvikela;  kuvimba; 
defend	vikela; 
defendant	ummangalelwa; 
defiance	kwedzelela; 
deficiencies	kungeneli; lokushodako; 
deficiency	 kweswela; kweswelakala; 
deficit	kushoda; 
deficits	kushoda; 
define	chaza; 
defined	-chazwe; 
defines	chaza; 
defining	chaza; 
definition	inchazelo; 
definitions	tinchazelo; 
degree	 lizingakushisa; lizinga; 
degrees	emadigri;  emazinga; emazinga;  emazingakushisa; 
delay	 kulibatisa; kubambeleleka;  libatisa; 
delayed	 kulibatisa; kubambeleleka;  libatisa; 
delays	 kulibatisa; kubambeleleka;  libatisa; 
delegate	sitfunywa;  niketa ligunya; 
delegated	kutfunywa;  niketa ligunya;  kunika umsebenti; 
delegates	 ematsimba;  niketa ligunya; titfunywa; 
delegation	libandla letitfunywa;  litsimba letitfunywa; 
delegations	ematsimba etitfunywa;  emabandla etitfunywa; 
deleted	cima; 
deletion	kususa; 
deliberate	 kubonisana; kucocisana; 
deliberately	ngemabomu; 
deliberations	tinkhulumiswano; 
delighted	kujabula; 
deliver	kubeleka; 
delivered	-tfulwe; 
delivering	kubeleka; hambisa; 
delivers	 kubeleka; kuletsa; 
delivery	kubeleka; 
demand	sidzingo;  dzinga; 
demands	 kufuna ngenkhani;  kudzingeka kakhulu; kufuna ngemandla; 
demarcation	kukanisa; 
democracy	intsandvo yelinyenti; 
democratic	-ngekwentsandvo yelinyenti;  -yentsandvo yelinyenti; 
democratically	ngekwentsandvo yelinyenti; 
demographic	 umkhakha webantfu; bantfu; 
demonstrate	khombisa;  bonisa; 
demonstrated	-bonisawe;  -khonjiswe; shuca; 
demonstrates	khombisa;  bonisa;  shuca; 
demonstration	 umbhikisho;  umshuco;  kubonisa; kukhombisa; 
denied	-phikile; -ala; 
dental	phatselene nematinyo; 
deny	ala;  phika; 
department	 ligala; litiko; 
department's	kwematiko; 
departmental	kwelitiko; 
departments	ematiko;  timphiko; 
departure	kuhamba; kusuka; 
depend	 kuya ngekutsi-; kusime ku-; 
dependant	umondliwa; 
dependants	bomondliwa; 
dependence	kuncika;  kuncika; kondliwa; 
dependency	live lelilawulwa ngulelinye; 
dependent	mondliwa; -phatselene nekutsembela;  loncikile; 
depending	kuncika; 
depends	kuncika;  kuya nge-; 
deploy	tfumela ngenhloso; 
deployed	tfumela ngenhloso; 
deployment	kuyiwa uyosebenta kulenye indzawo; 
deposit	 imali yesibambiso;  sitaki;  bambisa;  idiphozi; sibambiso; 
deposited	faka;  faka; Faka timali tesibambiso;  sitaki;  sibambiso;  bambisa;  faka timali tesibambiso; 
depository	lapho kugcinwa tintfo letitsite khona; 
deposits	 tibambiso; imali yesibambiso; emadiphozi;  bambisa;  timali tesibambiso; 
depth	kushona;  kujula; 
deputies	emasekela; 
deputy	lisekela; 
derive	susela; yakha; 
derived	suselwe; yakhiwe; 
descent	lokunesitfunti; lokukahle; 
describe	chaza;  dvweba; 
described	-chazwe; 
description	inchazelo; 
desert	lugwadvule; 
design	simo;  dvweba; 
designate	khetsa; 
designated	khetsiwe; 
designation	 kucoka; sikhundla; 
designed	simo;  luhlakasimo; -dvwetjiwe; 
designer	umhleli; 
designers	bahleli; 
designs	emadizayini;  tinhlakasimo; 
desirable	tsandzekako; 
desire	 fisa; funa; 
desired	funwako; -fiswako; 
despite	nanoma;  ngekunganaki; 
destination	indzawo loya kuyo; 
destiny	siphetfo;  indzawo loya kuyo; 
destroy	bhubhisa; 
destroyed	-bhubhiswe; 
destruction	kubhubhisa; 
detail	 umniningwano; imininingwane;  umniningwane;  ngalokuphelele; 
detailed	 kabanti; ngalokuphelele; 
details	imininingwano; 
detained	kugcinwa esitokisini, banjelelwa; 
detainees	tiboshwa; labagcinwe esitokisini; 
detection	 kubonwa; kutfolwa; 
detention	kuboshwa; 
determination	kutimisela; sincumo; 
determine	tfola;  ncuma; 
determined	kutimisela; 
determines	tfola;  ncuma; 
determining	tfola;  ncuma; 
develop	 tfutfuka; tfutfukisa; 
developed	-tfutfukiswe; 
developing	 tfutfuka; tfutfukisa; 
development	kutfutfuka;  intfutfuko; 
developmental	kwekutfutfukisa; 
developments	tintfutfuko; 
develops	 tfutfuka; tfutfukisa; 
device	 intfo yekwenta lokutsite; cabanga;  sisetjentiswa; 
devices	emasu; 
devolution	kwendlulisa emandla;  kusabalalisa emandla; 
diagnosis	imiphumela yeluhlolo;  kucubungula sifo; 
dialogue	 kukhulumisana; inkhulumomphendvulwano; 
dialogues	tinkhulumiswano;  tinkhulumomphendvulwano; 
diamond	 idayimane; idayimani; 
diamonds	emadayimane; 
diaspora	kusabalala; 
dictionary	sichazamagama; 
did	entile; 
didn't	akenti; 
die	fa; 
died	-fa; -file; 
dies	fani; emadayisi; 
difference	umehluko; 
differences	imehluko; 
different	-hlukene; 
differently	ngalokwehlukile; 
difficult	-lukhuni; 
difficulties	bulukhuni; 
difficulty	bulukhuni; 
digital	-kwetinombolo; 
dignified	lokunesitfunti; lokukahle; 
dignitaries	ticumama; ticukutfwane; 
dignity	sitfunti; 
dimension	bungako; 
dimensions	silinganisobungako; bungako; 
dinner	sidlo santsambama; 
diploma	idiploma; 
diplomatic	ngebuhlakani; 
direct	-ngco; 
directed	-condzisiwe; 
directing	kucondzisa; 
direction	 inkhombandlela; indlela; 
directions	ticondziso; 
directive	 imphambosi yekwentela; sicondziso; umyaleto; 
directives	ticondziso;  imiyaleto; 
directly	ngco; 
director	umcondzisi; 
director-general	umcondzisi Jikelele; 
directorate	luphiko; 
directors	bacondzisi; 
directs	kucondzisa; 
disabilities	kukhubateka; 
disability	kukhubateka; 
disadvantage	bubi; 
disadvantaged	bubi;  kuncishwa litfuba; 
disaster	inhlekelele; 
disasters	tinhlekelele; 
discharge	kukhululwa;  lubhici;  lahla;  khulula; 
discharged	kukhululwa;  khishwa;  lahliwe;  khulula;  khishiwe; 
disciplinary	kujeziswa; 
discipline	kutiphatsa kahle; 
disciplines	timphatfocatsa; kutiphatsa kahle; 
disclaimer	kuphika licala; umphikicala; 
disclose	kubeka ebaleni; beka ebaleni; 
disclosed	bekwe ebaleni; beke ebaleni; 
disclosure	kukhiphela imfihlo yakho ebaleni;  kubeka ludzaba ebaleni; 
discourse	inkhulumo; 
discover	tfola; 
discovered	-tfola; 
discovery	kutfola; 
discretion	kutibonela; 
discretionary	ngekucabanga; 
discrimination	lubandlululo;  kubandlulula; 
discuss	coca; 
discussed	-cocwe-; 
discussing	coca; 
discussion	kucoca;  ingcoco; 
discussions	tingcoco; 
disease	sifo; 
diseases	tifo; 
dismissal	kucosha; 
disparities	 kungafanani; kungalingani; 
display	 lakhombisako;  endlala; kukhombisa;  bukisa; 
displayed	kukhombisa; -bukiswe;  -endlalwe; -khonjiwe; 
displaying	 -khombisa; khombisa;  -kukhombisa; 
disposal	kulahla; 
dispose	lahla; 
disposed	lahla; 
dispossession	kutsatsela umuntfu lutfo lwakhe; emuka;  kwemuka umuntfu lutfo lwakhe; 
dispute	umbango;  banga; 
disputes	imibango; 
disqualified	 emukwe timfanelo; emukwe emandla ekufaneleka; vimbela;  yekelisiwe; 
dissatisfied	ngeneliseki; 
dissemination	kwendlulisela lwati kulabanye; sakata; 
dissolution	kucitsa; kuhlakata; 
dissolved	citsa;  ncibilika; 
distance	libanga; 
distant	-khashane; 
distinct	hluke kakhulu; cacile ; 
distinction	umehluko;  kuphumelela ngemalengiso; 
distinctions	kuphumelela ngemalengiso; imehluko; 
distinctive	hluke kakhulu; 
distinguished	cavile; hlukile; 
distribute	aba; 
distributed	-sabalaliswe; 
distribution	 kuhleleka; kwaba; 
district	sifundza;  sigodzi; 
districts	 tigodzi; tifundza; 
diversion	silibatiso;  siphambukiso; 
diversity	kwehlukahlukana; 
diverted	phambukisiwe; 
divide	susa ngekuphindzelela; 
divided	susa ngekuphindzelela; hlukanisa; 
dividend	intalo; 
dividends	bomahlukaniswa; tintalo;  tinombolo letisahlukaniswa; 
division	 kukhipha lokuphindziwe; kwehlukanisa; 
divisions	kwehlukanisa;  kukhipha ngalokuphindziwe; 
divorce	kwehlukana;  sehlukaniso; 
do	enta; 
doctor	dokotela;  dokodela; 
doctorate	budokotela; 
doctors	bodokotela;  bodokodela; 
document	umbhalo;  incwajana; 
documentation	imiculu; emadokhumenti; 
documented	-bhaliwe; 
documenting	kubhala; 
documents	imibhalo;  tincwajana; 
does	ngabe;  enta; 
doesn't	aka-; 
doing	enta; 
dollar	lidola; 
domain	umkhakha; 
domains	tindzawo;  imikhakha; 
domestic	kwasekhaya; 
dominant	linothi lesihlanu; 
domination	 kwengamela;  kuba banyenti kunalabanye;  kuba kunyenti kunalokunye;  kwengama; kubusa; 
don't	angenti;  ungenti; 
donation	umnikelo; 
donations	iminikelo; 
done	kwentiwe;  kwentekile; 
donor	umesekeli; 
donors	basekeli; 
door	umnyango; 
doors	iminyango; 
double	-phindziwe;  phindza kabili; 
doubt	kungabata; 
down	phasi;  tinsiba letincane;  sihluphe; 
download	tsatsela; 
downtown	enkhabeni yelidolobha; 
downturn	ingucuko lembi; 
draft	luhlaka; 
drafted	kwenta luhlaka; 
drafting	kwenta luhlaka; 
drama	umdlalo; 
dramatic	kwenta timanga; 
draw	kudlala ngekulingana;  dvweba; 
drawing	 umdvwebo; kudvweba; 
drawn	dvwebile; 
dream	liphupho; 
dreams	emaphupho; 
drew	-dvwebile;  -dvwetjwe;  -khiphe imali ebhange; -dvweba;  kutfola emagoli emdlalo lalinganoko; 
drink	sinatfo; 
drinking	kunatsa; 
drive	umgwaco;  shayela; kushayela; 
driven	-shiyelwe;  kushayelelwa; 
driver	umshayeli; 
driver's	kwemshayeli; 
drivers	bashayeli; 
driving	 kushayeka; kushayela; 
drop	 litfonsi; ehla; 
drug	umutsi; 
drugs	 tidzakamiva; imitsi; 
drum	sigubhu; 
dry	 yoma;  yomisa;  -omile; omile;  -yomile; 
dual	-ngakubili; 
due	fanele kwenteke; 
duly	 ngalokulindzelekile; ngalokufanele; 
duplicate	phindza kabili; kwenta intfo ngalokungenamkhawulo;  kwenta intfo ngalokuchubekako; 
duplication	kuphindzeka kabili; 
duration	 sikhatsi lesibekelwe umdlalo;  budze besikhatsi; sikhatsi; 
during	ngesikhatsi-; 
duties	 imitselo;  tibopho; imisebenti; 
duty	 umtselo; umsebenti;  sibopho; 
dynamic	kuntintjantjintja ngemandla; -ntjintjako; 
dynamics	-ntjintjako; kuntjintjintja ngemandla; 
e-mail	incwadzigezi; i-imeyili; 
each	loko naloko; 
earlier	 ngembi-; ngembi kwesikhatsi; 
earliest	masinyane; 
early	kusesenesikhatsi; 
earmarked	bekelwe lokutsite;  gcinelwe lokutsite; 
earned	-holwe; 
earning	umholo; 
earnings	 imali lengenako; imiholo; 
earth	 umhlabatsi;  hlanganisa intsambo yagezi nemhlabatsi; umhlaba; 
ease	kukhululeka; 
easier	lula kakhudlwana; 
easily	kalula; 
east	emphumalanga;  imphumalanga; 
eastern	ngasemphumalanga; 
easy	lula; 
economic	temnotfo; umnotfo; 
economically	 mayelana nemnotfo; ngekwemnotfo; 
economics	sifundvo setemnotfo; 
economies	iminotfo; 
economists	somnotfo; 
economy	umnotfo; 
ecosystem	indlela yemvelo; 
ecosystems	kuphilisana kwetitjalo netilwane;  tindlela temvelo; 
edge	 umphetfo welicembe;  umphetfo; umngcengcema; 
edit	hlela; 
editing	kuhlela; 
edition	umshicilelo; 
editor	umhleli; 
editors	bahleli; 
educate	fundzisa; 
educated	fundzisa; 
educating	fundzisa; 
education	 kufundzisa;  imfundvo; kufundza; 
educational	-nemfundziso; 
educator	umfundzisi; 
educators	bafundzisi; 
effect	umphumela; 
effected	faka;  kuba nemphumela; 
effective	 -sebentako; -sebenta ngemphumela; 
effectively	kahle;  ngemphumelelo; 
effectiveness	kuphumelela; 
effects	imiphumela; 
efficacy	emandla; 
efficiency	likhono;  kwenelisa; 
efficient	 -nelikhono; -sebenta kahle; 
efficiently	kuba nelikhono; 
effort	umtamo; 
efforts	imitamo; 
eight	siphohlongo; 
either	 ngetulu kwaloko; noma; 
elderly	 lomdzala; labadzala; 
elders	labadzala; 
elect	khetsa; 
elected	khetse-; 
election	lukhetfo; 
elections	tinkhetfo; 
electoral	kwelukhetfo;  phatselene nelukhetfo; 
electrical	kwagezi; 
electricity	gezi; 
electrification	gezi; 
electronically	ngagezi; 
elects	khetsa; 
element	 kuphakanyiswa; lilunga;  sitsako semvelo;  i-elementi; 
elements	imisuka; 
elevate	 phakamisa; beka esikhundleni lesiphakeme; 
eleven	lishumi nakunye; 
eligible	fanelekako; 
eliminated	-suswe;  hlungiwe; 
elimination	kukhipha; 
eloquently	kukhuluma kahle; kukhuluma ngalokushelelako; 
else	lokunye; 
elsewhere	lenye indzawo; 
email	liposi; 
emanating	suka;  vela; 
emancipation	kukhululwa; 
embark	cala; 
embarked	-calile; 
embarking	cala; 
embassies	emahhovisi emancusa; 
embassy	emancusa; 
embedded	fakwe ekhatsi; 
emblem	luphawu; 
embodiment	kuhlanganiswa; 
embrace	 emukela; mukela; gona; 
embraced	 mukelwe; -mukelwe;  mukele; 
embraces	 gona;  emukela; mukela; 
emerge	vela; 
emerged	vela; 
emergence	kuvela; 
emergency	 simo lesiphutfumako; lokuphutfumako; 
emergent	kubela; 
emerging	kuvela; 
eminent	dvumile;  phakeme; khulu; 
emission	kutfunyisa; kubhunyisa; kukhishwa; 
emissions	lokutfunyiswako; kukhishwa;  kubhunyisa; 
emoluments	 tinzunzo; tinkhokhelo; 
emotion	luvo;  lusinga; 
emotional	kuphakama kwemiva; 
emotions	 tinsinga; timvo; 
emphasis	kugcizelela; 
emphasise	gcizelela; 
emphasised	gcamisiwe;  gcizelele; 
emphasises	kugcizelela; 
employ	 -casha; casha; 
employed	-setjentiswe; -cashwe; 
employee	sisebenti; umsebenti; 
employees	tisebenti; 
employer	umcashi; 
employers	bacashi; 
employing	 -casha; casha; 
employment	 kucashwa; umsebenti; 
employs	 -casha; casha; 
empower	kuhlomisa emakhono; 
empowered	kuhlomisa emakhono; 
empowering	kuhlomisa emakhono; 
empowerment	kuhlomisa; 
empty	tfulula; 
emulate	landzela; fananisa; 
enable	enta kusebente;  nika emandla; 
enabled	enta kusebente;  nika emandla; 
enables	nika emandla;  kwenta kusebente; 
enabling	enta kusebente;  nika emandla; 
enacted	kushaya umtsetfo; 
enacting	kushaya umtsetfo; 
enactment	kushaya umtsetfo; 
enactments	kushaya umtsetfo; 
encourage	 gcugcutela; khutsata; 
encouraged	 khutsatiwe;  -khutsatwe; -gcugcutelekile; 
encourages	 gcugcutela; khutsata; 
encouraging	 gcugcutela; khutsata; 
end	siphetfo; 
endanger	kufaka engotini; 
endangered	kufaka engotini; 
endeavor	tama; 
endeavour	tama; 
endeavours	imitamo; 
ended	siphetfo; 
ending	kugcina; siphetfo;  kuphetsa; 
endorse	vuma; 
endorsed	vumile; 
endorsement	kuvuma; 
ends	tiphetfo; 
enduring	kubeketela; 
energy	emandla; 
enforced	-phocelela; 
enforcement	kucinisekisa; 
engage	hlanganyela; 
engaged	hlanganyele; 
engagement	setsembiso; 
engagements	tetsembiso; 
engaging	kuhlanganyela; 
engender	bangela; veta; 
engendering	bangela; veta; 
engine	injini; 
engineer	calisa; 
engineering	bunjiniyela; 
engineers	bonjinela; 
enhance	ngeta; 
enhanced	-entwe kwabancono; 
enhancement	kwenta kube ncono; 
enhancing	ngeta; 
enjoy	tfokota; jabula; 
enjoyed	tfokotile; jabulile; 
enormous	khulu; 
enough	ngalokwenele; 
enquiries	kuphenya; 
enquiry	luphenyo; 
enrol	bhalisa; 
enrolled	bhalisile; 
enrolment	kubhalisa; 
enshrined	londvolotekile; 
ensue	landzela; 
ensuing	landzela; 
ensure	ciniseka; 
ensured	ciniseka; 
ensures	ciniseka; 
ensuring	ciniseka; 
entail	faka ekhatsi; 
entails	faka ekhatsi;  kufaka ekhatsi; 
entered	-ngenile; 
entering	ngena; 
enterprise	ibhizinisi; 
enterprises	emabhizinisi; 
enters	ngena; 
entertainment	kunandzisa; 
entire	-phelele; 
entirely	ngalokuphelele; 
entities	tintfo; imitimba;  tinhlangano; 
entitled	nika lilungelo, kuba nelilungelo; 
entity	 intfo;  inhlangano; umtimba; 
entrance	indzawo yekungena; 
entrepreneur	somabhizinisi; 
entrepreneurial	kuba ngusomabhizinisi; 
entrepreneurs	bosomabhizinisi; 
entrepreneurship	ibhizinisi; 
entries	lokungenile; 
entrusted	kunika sibopho; 
entry	 singeniso; kungena; 
envelope	imvilophu; 
environment	bunjalondzawo;  bunjalo bendzawo imvelo; 
environmental	kwesimondzawo; 
environments	bunjalondzawo;  bunjalo bendzawo imvelo; 
envisaged	 lindzelwe; catjangwako; 
envisages	lindzele; 
epidemic	sifomcedzave;  lubhubhane; 
equal	-linganako; 
equality	kulingana; 
equally	ngalokulinganako; 
equipment	tintfo tekusebenta; 
equipped	kuba netisetjentiswa; 
equitable	linganako;  lungile; 
equity	bulungiswa; kulingana; 
equivalent	-linganako; 
era	sikhatsi; 
eradicate	cedza; 
eradicating	cedza; 
eradication	kususa; 
error	siphosiso; 
errors	tiphosiso; 
escape	 kuphunyuka; baleka; 
escapes	 kuphunyuka; baleka; 
especially	ikakhulu; kakhulukhulu; 
essence	imphandze yenkholo; 
essential	lokumcoka;  -balulekile; 
essentially	ngalokubalulekile; 
establish	sungula;  misa akha; 
established	-sungulwe; 
establishes	sungula; 
establishing	 -kusungula; sungula; 
establishment	lokusunguliwe;  lokumisiwe; 
establishments	lokusunguliwe;  lokumisiwe; 
estate	umhlaba;  lifa; 
estates	timphahla;  emafa; 
esteemed	hloniphekile; 
estimate	 linganisa; silinganiso; 
estimated	linganiswe; -linganiswe; 
estimates	 tilinganisa; tilinganiso; 
ethical	-kwenkhambo lenhle; inkambo lelungile; 
ethics	inkhambo lenhle; 
ethnic	 -kwebuve; kweluhlobo lwebuve; 
ethnicity	buve; 
ethos	inkholelo yemasiko; 
evaluate	hlola; 
evaluated	hlola; 
evaluating	hlola; 
evaluation	luhlolo; 
eve	sikhatsi lesingembi kwesehlakalo lesitsite; 
even	 -lingene; -linganako; 
evening	 kusihlwa; busuku; 
event	 sehlakalo; umdlalo; 
events	 tehlakalo; imidlalo; 
eventually	ekugcineni; 
ever	nanini; 
every	wonkhe; 
everybody	wonkhe umuntfu; 
everyone	wonkhe umuntfu; 
everything	yonkhe intfo; 
evidence	bufakazi; 
evident	kubonakala; 
evolve	sombuluka; 
evolved	ntjintjile; sombuluka; 
evolving	 ntjintja; kugucuka; 
exactly	 kona mbamba; ngco; 
examination	 kuhlola;  kuhlolwa; luhlolo; 
examinations	tinhlolo; 
examine	hlola; 
examined	hlola; 
example	sibonelo; 
examples	tibonelo; 
exams	Tinhlolo tekuphela kwemnyaka; 
exceed	engca; 
exceeded	ndlulele; engca; 
exceeding	kwendlula; 
exceeds	ndlulele; engca; 
excelled	kwenta kahle kakhulu; 
excellence	kwenta kahle kakhulu; kuhle kakhulu; 
excellent	kuhle kakhulu; 
except	shiya ngaphandle; 
exception	lokwehlukile;  siphambuka; 
exceptional	kuhle kakhulu; 
excess	lokungetulu; 
excessive	kuba ngetulu kwalokulindzelekile; 
exchange	 kuntjintjiselana; ntjintjanisa; 
exchanges	kuntjintjisa;  ntjintjiselana; kuntjintjiselana; 
excitement	kutsakasa; injabulo; 
exciting	kuyajabulisa; 
excluded	Vimbela;  kungafaki-; 
excludes	Vimbela;  kungafaki-; 
excluding	vimbela; 
exclusion	kungafaki ekhatsi; 
exclusions	kungafaki ekhatsi; 
exclusive	khetsekile; 
exclusively	ngalokukhetsekile; 
execute	bulala; enta;  bulala ngekwemtsetfo; 
executed	bulala;  bulawa ngekwemtsetfo; 
executing	bulala;  kubulala ngekwemtsetfo; 
execution	kubulala ngekwemtsetfo; kubulala; 
executive	sikhulu;  sigungu lesiphetse; 
executor	umabilifa; 
exempt	khipha emtsetfweni; khulula; colela; 
exempted	khulula; colelwe; khishwe emtsetfweni; 
exemption	kukhululwa; kukhishwa emtsetfweni;  kucolelwa; 
exemptions	kukhululwa;  kukhishwa emtsetfweni;  kucolelwa; 
exercise	 sebenta;  kutivivinya; umsebenti;  kutivocavoca;  -tivocavoce; 
exercised	 sebenta;  kusebentisa;  kutivivinya; umsebenti;  kutivocavoca;  -tivocavoce; 
exercises	 kushukumisa umtimba; imisebenti;  kutivocavoca; 
exercising	 kwenta umsebenti; kutivocavoca; kwenta umshukumo;  kushukuma; 
exhibition	umbukiso; 
exhibitions	imibukiso; 
exile	kudzingiswa; 
exist	phila; 
existed	phila; 
existence	 kuba khona; kuphila; 
existing	kuba khona; 
exists	phila; 
exit	kuphuma; 
expand	khulisa; 
expanded	khukhumuka; khula; 
expanding	 khulisa;  khula; khulisa; Khukhumuka; 
expansion	kukhulisa;  kwandza; 
expect	lindzela; 
expectation	lokulindzelekile;  kulindzela; 
expectations	lokulindzelekile;  kulindzela; 
expected	-lindzelwe; 
expedient	 zuzisako; fanelekile; 
expenditure	tindleko;  imali lesebentile; 
expense	tindleko; 
expenses	tindleko; 
expensive	-bitako; 
experience	lwati;  tfola lwati ngekutsintsana;  kuba nelwati; 
experienced	 kuhlangabetana nalokutsite;  kuba nelwati; kuba nesipiliyoni; 
experiences	tipiliyoni; 
experiencing	 tfola sipiliyoni; kutfola sipiliyoni; 
expertise	lwati lwebuciko; emakhono; 
experts	tati; 
expiration	kuphefumulela ngaphandle; 
expired	phelelwe sikhatsi; 
expiry	kuphelelwa sikhatsi; 
explain	chaza; 
explained	-chaziwe; 
explains	chaza; 
explanation	inchazelo; 
explanatory	inchazelo; 
explicit	cacicile; 
exploitation	kusetjentiswa ngalokungafanele; kusetjetiswa kabi; kusebentisa kabi; 
explore	 cwaninga; hlola;  hlola live; 
explored	kutfolisisa ngalokutsite; -cwaningiwe;  -hlolisisiwe; 
explores	tfolisisa;  hlolisisa; 
exploring	kucwaninga;  kutfolisisa; 
expo	umbukiso; 
export	 kutfumela; tfumela; 
exports	tekuhweba letitfunyelwako; 
expose	ngenisa; khiphela ebaleni; 
exposed	kubeka ebaleni; khishelwe ebaleni; 
exposure	kuba sebaleni; 
express	shano;  vakalisa; 
expressed	kukhuluma;  shano; -vakalise; 
expression	 sibonakaliso; kuveta;  sibalo; 
expressions	tinkhulumo; 
expressly	ngalokukhanyako; 
extend	 khulisa; yelula; 
extended	-khulisiwe;  -lulilwe; 
extending	 -elula; khulisa; 
extends	 -elula; khulisa; 
extension	sichibelo;  lokweluliwe; selulo; 
extensive	selulo sesilandziso; khulu; 
extent	lizinga lelitsite; 
external	kwangaphandle;  -ngaphandle; 
extra	 -ngetulu; lingetulu; 
extract	sicashunwa;  kukhipha litinyo;  lokukhishiwe; 
extraordinary	lokungakavami; 
extreme	lokwendlulele; -engcile; 
extremely	ngalokwendlulele; 
eye	 imbobo yenyalitsi; liso; 
eyes	emehlo; 
face	buso;  licele;  ebusweni bemhlaba; 
faced	buka;  -bukana;  bukene; 
faces	buso; 
facie	kubona kwekucala; 
facilitate	 lekelela; -enta kube lula; 
facilitated	 lekelela; -enta kube lula; chuba; 
facilitates	 lekelela; -enta kube lula; chuba; 
facilitating	-chuba;  sita;  chuba; 
facilitation	 kwenta kube lula; kuchuba; 
facilities	lokulekelelako; 
facility	insita; 
facing	kubukana; 
facsimile	ikhophi; 
fact	liciniso; 
factor	 imbangela; sizatfu; 
factors	 timbangela; tizatfu;  emafektha; tiphindzi; 
factory	imboni; 
facts	emaciniso; 
fail	hluleka; ngaphumeleli; 
failed	-kangaphumeleli;  hlulekile; 
failing	 kungaphumeleli; kwehluleka; 
fails	 kungaphumeleli; kwehluleka; 
failure	kwehluleka; 
failures	kwehluleka; 
fair	-pholile; kufanele;  kukahle;  -linganako; 
fairly	ngalokucotfo; kahle; 
fairness	bucotfo; 
faith	inkholo; 
fall	kuwa;  wani; 
fallen	wile; 
falling	kuwa; kwehla; 
falls	kuwa; 
familiar	-tayelekile; 
families	imindeni; 
family	umndeni; 
famous	-dvumile; 
fans	balandzeli; 
far	khashane; 
farewell	hamba kahle;  kuvalelisa; 
farm	lipulazi;  lima; 
farmer	umlimi; 
farmers	balimi; 
farming	kulima; 
farms	emapulazi; 
fast	tila; 
faster	masinyane kakhudlwana; 
father	babe; 
fathers	bobabe; 
fault	liphutsa;  siphosiso;  enta liphutsa; 
favorite	 intsandvokati; -tsandvwako; 
favour	umusa; 
favourable	tsandzekako; 
fax	ifeksi; 
faxed	ifeksi; 
fear	kwesaba; 
fears	kwesaba; 
feasibility	kwenteka; 
feature	luphawu;  letihamba embili; 
featured	fakiwe; ifakiwe; 
features	 timphawu; imibhalo; 
featuring	kukhombisa; 
federal	inhlangano yemave; 
federation	inhlanganisela; 
fee	imali;  inkhokhelo; 
feed	funta;  ondla; 
feedback	umbiko; 
feeds	kudla; 
feel	vani; iva; 
fees	timali; 
fell	wile; 
fellow	wakitsi; 
felt	vile; 
female	 lokusikati; umfati;  busikati;  -sikati; 
females	labasikati; 
festival	sibhimbi; 
festivals	tibhimbi; 
festive	umkhosi; 
fever	kushisa kwemtimba;  imfiva; 
few	-mbalwa; 
fewer	ncane; 
field	sibaya;  insimu; 
fields	imikhakha;  emasimu; 
fifth	kwesihlanu; 
fifty	emashumi lasihlanu; 
fight	kulwa; 
fighter	silwi; 
fighters	tilwi; 
fighting	kulwa; 
file	umlalati; 
filed	lola; 
files	emafayela; 
filing	 kulola; kufaka; 
fill	gcwalisa; 
filled	gcwalisiwe; 
film	lifilimu; 
filmmakers	bentimafilimu; 
filmmaking	kwenta emafilimu; 
films	emafilimu; 
final	umdlalo wemancamu; 
finalisation	kuphetsa; 
finalise	phetsa; 
finalised	phetsiwe; 
finalising	phetsa; 
finally	ekugcineni; 
finance	tetimali;  nika imali; 
financed	tetimali;  nika imali; 
finances	timali;  tetimali; 
financial	kwetimali; 
financially	ngekwetimali; 
financing	tetimali;  nika imali; 
find	tfola; 
finding	lokutfolakele; 
findings	lokutfolakele; 
finds	lokutfoliwe; 
fine	inhlawulo;  -busheleleti; 
fines	inhlawulo;  tinhlawulo; hlawula; 
finest	-busheleleti kakhulu;  kuhle kakhulu; 
fingerprints	sinyatseliso; 
fire	 mlilo; umlilo;  kusha; 
firearm	sibhamu; 
firearms	tibhamu; 
firmly	cinile; 
firms	-cinile; 
first	nginike kucala; 
firstly	kwekucala; 
fiscal	-phatselene nentsela;  -kwentsela; 
fish	inhlanti; 
fishing	kudoba; 
fit	-semphilweni lekahle; 
fitting	faka;  kala; 
five	sihlanu; 
five-year	iminyaka lesihlanu; 
fixed	lungisiwe; 
flag	 ifulegi; umjeko; 
flags	 imijeka; emafulegi; 
flagship	 umkhumbi wandvunankhulu; lokubalulekile; 
flame	lilangabi; 
flexibility	kutsamba;  kugobeka; 
flood	 khukhula; tikhukhula; 
floods	tikhukhula;  zamcolo; 
floor	 liphasi;  siyilo; sitezi; 
flora	 timila luhlata; titjalo; 
flow	kugeleta; 
