ABET	IABET; 
impossible	engenakwenzeka; 
impressed	ushicilele;  wenze uphawu; 
impressive	chukumisayo; 
imprison	faka entolongweni;  ukufaka entolongweni; 
imprisoned	faka entolongweni;  ukufaka entolongweni; 
imprisonment	ukufakwa entolongweni; 
improper	ngokuphosisekileyo; ngokungafanelekanga; 
improve	phucula;  ukuqhubela phambili; 
improved	phucula;  ukuqhubela phambili; 
improvement	ukuphucuka; 
improvements	iimpuculo; 
improving	phucula;  ukuqhubela phambili; 
in	ukufaka; 
inability	ukungabinako; 
inadequate	nganelanga; 
inappropriate	ngafanelekanga; 
inaugural	 ukubeka esikhundleni; ukungenisa esikhundleni; 
inauguration	ukubekwa esikhundleni; 
incapable	ukungabinako; 
incapacity	ukungabinako;  ukungabinamandla; 
incarceration	ukufaka entolongweni; 
incentive	ekhuthazayo; 
incentives	izikhuthazi; 
inception	isiqalo; 
incidence	isehlo; 
incident	isiganeko;  isehlo; 
incidental	nokuhla; 
incidents	 izehlo; iziganeko; 
include	ukuquka;  quka; 
included	ukuquka;  quka; 
includes	ukuquka;  quka; 
inclusion	ubandakanyo; 
inclusive	equkayo; 
inclusivity	ukuquka; 
income	ingeniso; 
incomes	ingeniso; 
incomplete	engaphelelanga; 
incorporate	ukufakelela; 
incorporated	ukufakelela; 
incorporates	ukufakelela; 
incorporation	 ukubandakanya; umanyano; 
incorrect	inxaxhile; 
increase	 unyuso;  yandisa; ukwandisa; 
increased	 unyuso;  yandisa; ukwandisa; 
increases	 unyuso;  yandisa; ukwandisa; 
increasing	 unyuso;  yandisa; ukwandisa; 
increasingly	ngaphezulu nangaphezulu; 
inculcate	 milisela; ukubethelela; 
incurred	 ukuzenzela ityala;  ukungena etyaleni; engxakini; 
indeed	ngokwenene; 
independence	 uzimele geqe; ukuzimela; 
independently	ngokuzimeleyo; 
index	 isalathisi; isalathiso; 
indicate	ukuqondisa;  bonakalisa; 
indicated	 ukuqondisa; bonakalisa; 
indicates	 ukuqondisa; bonakalisa; 
indicating	 ukuqondisa; bonakalisa; 
indication	umqondiso; 
indications	imiqondiso; 
indicative	eqondisayo;  ebonisayo; 
indicator	 isalathisi; isibonisi; 
indicators	izalathisi; izibonisi; 
indices	 izalathiso; izalathisi; 
indigenous	-emveli;  nkulelane; 
indirectly	ngokungathanga ngqo; 
individual	omnye; 
individually	ngokuzimeleyo; 
individuals	abantu ngabanye; 
industrial	yamashishini; 
industries	amashishini; 
industry	 ushishino; ishishini; 
inequalities	ukungalingani; 
inequality	ukungalingani; 
infected	ukusuleleka; 
infection	usuleleko;  ukusuleleka;  usulelo; 
infections	amasulelo; 
inflation	ukunyuka kwamaxabiso; 
inflows	izingeniso; 
influence	impembelelo; 
influenced	uphembelelwe; 
info	ulwazi; 
inform	azisa; 
information	ulwazi; 
informed	oluqondwayo; 
informing	azisa; 
infrastructure	izinto zokusebenza; 
inherent	eyemvelo; esegazini; 
inherit	fumana ilifa;  ukudla ilifa; 
inherited	 fumana ilifa; ukudla ilifa; 
initial	lokuqala;  elokuqala; 
initially	ekuqaleni; 
initiate	umkhwetha;  yalusa; 
initiated	umkhwetha;  yalusa; 
initiative	 ilinge; isantya;  inyathelo lokuqala; 
initiatives	amalinge;  amanyathelo okuqala;  izantya; 
initiator	umsunguli; umqali; 
injuries	amanxeba; izenzakalo; 
injury	 umenzakalo; isilonda; 
injustice	intswelo-bulungisa; 
injustices	iintswelo-bulungisa; 
inmate	umhlali; 
inmates	abahlali; 
inner	ephakathi; 
innovative	ukuba nokungenisa izinto ezintsha; 
input	 iinkcukacha ezifakiweyo;  ukufaka iinkcukacha; umfakwa; 
inputs	 iinkcukacha ezifakiweyo;  ukufaka iinkcukacha; izifakelo; 
inquest	uphando ngokufa; 
inquiry	uphando; 
inscribed	bhaliweyo; 
insert	faka; 
inserted	fakile; 
insertion	isongezo;  umfakelo; 
inserts	izifakelo; 
inside	ngaphakathi; 
insight	ukuqonda;  ingqiqo; 
insights	iingqiqo; 
insolvency	ukungabinakuhlawula amatyala; ukutshona; 
inspect	ukuva;  hlola; 
inspection	 uviwo; ukuhlola; 
inspections	iimvavanyo;  iimviwo; 
inspector	umhloli; 
inspectorate	umbutho wabahloli; 
inspectors	abahloli; 
inspiration	ukukhuthaza; 
inspire	phembelela; khanyisela;  phefumlela; 
inspired	 phefumlelwe; khanyiselwe;  phembelelwe; 
inspiring	 ephefumlelayo; ekhanyiselayo;  ephembelelayo; 
install	ukufakela; 
installation	ufakelo; 
installed	ifakelwe; 
instalment	isavenge; 
instalments	izavenge; 
instance	umzekelo; 
instances	imizekelo; 
instead	endaweni yoku; 
institute	iziko; 
instituted	isekiwe; 
institution	iziko; 
institutional	eyeziko ; 
institutions	amaziko; 
instruction	imfundiso;  umyalelo; 
instructional	eyokuyalela;  eyokwazisa; eyokufundisa; 
instructions	 iimfundiso; imiyalelo; 
instrument	 isixhobo somsebenzi;  isikhaliso; isixhobo; 
instruments	izixhobo;  izixhobo zomsebenzi; izikhaliso; 
insurance	i-inshorensi; 
insurer	umnikeli weinshorensi; 
intangible	engabambekiyo; engenakuchukunyiswa; 
integral	inani elizeleyo; 
integrate	 fakelela; ukubumba; 
integrated	 fakelela; ukubumba; 
integration	ukumanya; 
integrity	ubulungisa;  imfezeko; 
intellectual	ingqondi; 
intellectuals	iingqondi; 
intelligence	uhlakanipho;  ubuntlola; 
intend	ukuzimisela; 
intended	ukuzimisela; 
intends	ukuzimisela; 
intensify	 andisa;  yenza ngaphezulu;  khulisa; qinisa; 
intensive	isicokisisi; 
intent	ukuzimisela;  inyameko; 
intention	injongo; 
intentionally	ngenjongo; 
inter	ukungcwaba; 
interact	sebenzisana;  -sebenzisana; 
interacting	sebenzisana;  -sebenzisana; 
interaction	ukuzamazamana; 
interactive	ezinxibelelanayo; 
interception	ukukhawulela;  ukunqanda;  ukubamba; ukuthintela; 
interdepartmental	phakathi kwamasebe; 
interest	umdla;  ukuba nomdla;  inzala; 
interested	ukubanomdla; 
interesting	enomdla; 
interests	imidla; -banenxaxheba;  iinzala;  ukuba nomdla; 
interfaith	phakathi kweenkolo; 
interfere	ukuphazamisa; 
interference	uphazamiso; 
intergenerational	phakathi kweenzala; 
intergovernmental	phakathi koorhulumente; 
interim	 ixesha eliphakathi kweziganeko; okwexeshana;  eliphakathi; 
intermediaries	 abathetheleli;  abalamleli; oonozakuzaku; 
intermediary	umlamleli;  unozakuzaku; umthetheleli; 
intermediate	ophakathi; 
internal	 engaphakathi; ngaphakathi; 
international	ngokwamazwe ngamazwe; 
internationally	ngokwezizwe; 
internet	i-inthanethi; 
interns	oogqirha abatsha abafunda kwisibhedlele; 
interpret	 tolika; ukutolika; 
interpretation	utoliko-ngoma; 
interpreted	itolikiwe; 
interrogate	ukubuza; 
interval	isithuba; 
intervals	izithuba; 
intervene	ukulamla;  ukungena phakathi; 
intervention	ukulamla;  ukungena phakathi; 
interventions	iinkqubo zokulamla; 
interview	 ukubonana;  dlana indlebe; udliwano-ndlebe;  udliwanondlebe; 
interviews	ukubonana;  dlana indlebe; amadliwano-ndlebe; 
intestate	ukufa ungayolelanga; 
into	ngaphakathi; 
introduce	faka;  ukwazisa;  ukuqalisa;  zisa;  azisa; 
introduced	faka;  ukwazisa;  ukuqalisa;  zisa;  azisa; 
introducing	faka;  ukwazisa;  ukuqalisa;  zisa;  azisa; 
introduction	intshayelelo; 
invalid	 ngekhomthethweni; ngenagunya; lambathayo; 
inventory	uluhlu lweempahla zendlu; 
invest	ukuzalisa imali;  tyala imali; 
invested	tyala imali;  ukuzalisa imali; 
investigate	ukuphanda; 
investigated	iphandiwe; 
investigating	ukuphanda; 
investigation	uphando; 
investigations	amaphengululo; 
investigative	ecikidwayo;  ephengululwayo; 
investigator	umphengululi; 
investigators	abaphengululi; 
investing	tyala imali;  ukuzalisa imali; 
investment	isixa semali etyaliweyo; 
investments	iinzaliso-mali; 
investors	abatyali-mali; 
invitation	isimemo; 
invite	mema; 
invited	mema; 
invites	mema; 
inviting	mema; 
involve	bandakanyeka; 
involved	bandakanyekile; 
involvement	ubandakanyo; 
involves	ibandakanya; 
involving	ibandakanya; 
iron	intsimbi;  iayoni;  iayini;  ukuayina; 
irregularities	izinto ezichasene nomthetho; 
irregularity	ukuchasana nomthetho; 
irrespective	 kungakhathaliseki; kungakhathaleli ziphumo; 
irrigation	 unkcenkceshelo; ukunkcenkceshela; 
is	i; 
island	isiqithi; 
issue	 uphumo; umba; 
issued	 uphumo; umba; 
issues	imiba; imicibi; 
issuing	 uphumo; ukukhupha; 
it	yona; 
it's	yi; 
item	 umcimbi; into;  ilungu; 
items	izinto;  imicimbi; 
its	eyayo; 
itself	ngokwayo; 
jazz	umngqungqo; 
jewellery	 isihombo sentsimbi; izihombiso zamatye anqabileyo; 
job	umsebenzi; 
jobs	imisebenzi; 
join	 ukudibanisa amalaphu; ukudibanisa; 
joined	 ukudibanisa amalaphu; ukudibanisa; 
joining	 ukudibanisa amalaphu; ukudibanisa; 
joint	ilungu;  umxokomezelo;  isidibaniso;  isidibanisi; 
jointly	kunye; 
journalism	ukubhala emaphepheni; 
journalist	intatheli; 
journalists	iintatheli; 
journey	ukuhamba;  uhambo; 
joy	uvuyo; 
judge	 gweba;  ukugweba; ijaji; 
judgement	isigwebo; 
judges	iijaji;  ukugweba;  abagwebi; 
judgment	isigwebo; 
judgments	izigwebo; 
judicial	-enkundla; 
junior	omtsha; 
jurisdiction	 uphatho; igunya; 
jurisdictions	amagunya; 
juristic	eyomthetho; 
just	 enobulungisa; nje; 
justice	ubulungisa;  ubulunga; 
justified	enokugwetyelwa; 
justify	ukugwebela; 
kb	ukb; 
keen	nzulu; zondelele;  bukhali;  nomdla; 
keep	gcina; 
keeping	ukugcina; 
kept	gcinile; 
key	isikhokelo;  iqhosha;  amazinyo;  isitshixo; 
keynote	inqaku eliphambili; 
kick	khaba; 
kick-off	ukuqalisa komdlalo; 
kill	ukubulala; 
killed	ukubulala; 
kilometre	ikhilomitha; 
kilometres	iikhilomitha; iikhilometha; 
kind	ukuba nobuntu; 
kindly	ngobubele; 
kinds	iintlobo; 
king	ukumkani; 
kingdom	ubukumkani; 
kings	ookumkani; 
km	ikm; 
knew	ubesazi; 
know	ukwazi; 
knowing	ngokwazi; 
knowingly	ngokwazi; 
knowledge	ulwazi; 
known	ukwaziwa; 
knows	uyazi; 
laboratories	iilebhu; 
laboratory	ilebhu; 
labour	 ukusebenza nzima;  ukusebenza;  ukubeleka; umsebenzi; 
lack	 intswelo; ukuswela; 
ladies	abasetyhini;  amanenekazi; 
laid	 beka iqanda; ukubekela; 
lake	ichibi; 
land	 ukuhla; umhlaba;  intsimi;  ilizwe; 
landfill	itiphu; 
lands	imihlaba; 
landscape	imbonakalo-mhlaba; 
language	ulwimi; 
languages	ulwimi; 
lapse	ukuphela kwexesha; 
large	-khulu; 
large-scale	ngobuninzi; 
largely	kakhulukazi; 
larger	-khulu; 
largest	-khulu; 
last	eyokugqibela; 
lasting	ngokuthatha ixesha elide; ngokuqhubayo; 
lastly	okokugqibela; 
late	mva; 
later	kamva; 
latest	okutsha; 
latter	eyamva; 
laughter	uhleko; 
launch	 ukuphehlelela; ukundulula; 
launched	 ukuphehlelela; ukundulula; 
launches	izindululo;  ukuphehlelela; 
launching	 ukuphehlelela; ukundulula; 
laundering	utshintshiselwano ngemali; 
laureate	othweswe ngesithsaba; 
laureates	abathweswe ngesithsaba; 
law	umthetho; 
law-making	ukwenza umthetho; 
lawful	esemthethweni; 
lawfully	ngokusemthethweni; 
laws	imithetho; 
lawyer	igqwetha; 
lawyers	amagqwetha; 
lay	 beka iqanda; ukubekela; 
laying	 beka iqanda; ukubekela; 
lead	ilothe;  umsizi;  intambo yombane; 
leaders	iinkokheli; 
leadership	iinkokheli;  ubunkokeli; 
leading	ukukhokela; 
leads	 iintambo zombane;  umsizi; iilothe; 
leaflet	igqatyana; 
leaflets	amagqatyana; 
league	umanyano; 
learn	ukufunda; 
learned	fundile; 
learner	umfundi; 
learners	abafundi; 
learning	fundayo; 
learnt	fundile; 
lease	ingqeshiso; 
leased	ingqeshiso; 
leasehold	umhlaba oqeshisileyo; 
least	eyona incinci; 
leave	ikhefu; 
leaves	amakhefu; 
leaving	ikhefu; 
lecture	imfundiso; 
led	ilothe;  umsizi;  intambo yombane; 
left	ekhohlo; 
leg	 umlenze; umjikelo; 
legacies	amafa; 
legacy	ilifa; 
legal	 semthethweni; ngokomthetho; 
legally	ngokusemthethweni; 
legend	ilivo; 
legendary	eyelivo; 
legends	amavo; 
legislation	 umiso-mithetho; uwiso-mthetho; 
legislative	eyowisomthetho; 
legislature	indlu yowiso-mthetho; 
legislatures	izindlu zowiso-mthetho; 
legitimacy	ukuba semthethweni; 
legitimate	esemthethweni; 
lend	boleka; 
lending	boleka; 
length	ubude;  ubude besifundo; 
less	 nganeno; ngaphantsi; 
lesser	enganeno; 
lesson	isifundo; 
lessons	izifundo; 
let	vumela; qeshisa; 
let's	masithi; 
letter	incwadi;  unobumba; 
letters	iileta; 
level	 umphakamo;  isindindanisi;  umlinganiselo;  ukundinda; umgangatho; 
levels	 imilinganiselo; imigangatho;  ukundinda;  izindindanisi; -the tyaba;  imiphakamo; 
levied	erhafisiweyo; 
levies	iirhafu; 
levy	irhafu; 
liabilities	okulityala; 
liability	okulityala; 
liable	melwe; 
liaise	dibanisa;  manya; 
liaison	umanyano; 
liberalisation	inkululeko;  ukukhulula; 
liberation	ukukhulula; 
librarian	umsebenzi wethala leencwadi; 
librarians	abasebenzi bethala leencwadi; oononcwadi; 
libraries	 amathala eencwadi;  amagumbi amacwecwe; izindlu zeencwadi; 
library	 igumbi lamacwecwe; indlu yeencwadi;  ithala leencwadi; 
licence	ilayisenisi;  isiqiniselo; 
licences	iilayisenisi;  iziqiniselo; 
license	iphepha-mvume; 
licensed	ukubanelayisensi; 
licensee	umnini layisensi; 
licensees	abanini layisensi; 
licensing	iphepha-mvume; 
lie	ukulala; 
lies	ukulala; 
life	ubomi; 
lifetime	eyobude bobomi bomntu; 
light	 ukulumeka; lula;  ukukhanya;  likhanya; 
lighting	isikhanyisi; 
like	efana; 
likely	efaneleyo; 
limit	umda; 
limitation	umda; 
limitations	imida; 
limited	nemida; 
limiting	umda; 
limits	imida; 
line	 ukwaleka; umgca; 
line'	 ukwaleka; umgca; 
line-up	ukudwelisa; 
lines	imigca yeleli; 
link	 isingqamaniso; ukudibanisa;  ikhonkco; 
linkage	uqhagamshelwano; 
linkages	uqhagamshelwano; 
linked	 isingqamaniso; ukudibanisa;  ikhonkco; 
linking	 isingqamaniso; ukudibanisa;  ikhonkco; 
links	amakhonkco; 
liquid	 bumanzirha; ulwelo;  -lulwelo; 
liquidation	ukutshitshiswa kweshishini; 
liquidator	 umthengisi wempahla ethinjiweyo; unothimba; 
liquidity	 ukuba nemali yokuhlawula; ukuba lulwelo; 
liquor	utywala; 
list	uluhlu; 
listed	uluhlu; 
listen	 phulaphula; mamela; 
listing	uluhlu; 
lists	 amabala okulwa; izintlu; 
literacy	ubuchule bokufunda nokubhala; 
literally	ngokwamagama; 
literary	ngokoncwadi; 
literature	uncwadi; 
litigation	umangalelwano; 
little	ncinane; 
live	 iingcingo ezinombane; ukuphila; 
lived	 iingcingo ezinombane; ukuphila; 
livelihood	impiliso; 
livelihoods	iimpiliso; 
lives	ubomi; 
livestock	imfuyo; 
living	philayo; 
load	umthwalo; 
load-shedding	ukunciphisa umthwalo; 
loan	 imbolekiso; imali-mboleko; 
loans	 iimbolekiso; iimali-mboleko; 
local	-kwengingqi; 
locally	kwindawo ethile;  engingqini; 
locals	yakuloo ndawo; ezengingqi; 
located	miswe; bekwe; 
location	 ilokishi; indawo; 
lock-up	tshixa; 
lodge	indawo yokuhlala; 
lodged	qeshe indawo yokuhlala; 
lodging	indawo yokuhlala; 
logistics	amalungiselelo ezothutho; 
long	inde; 
long-term	ixesha elide; 
longer	inde; 
look	jonga; 
looked	jongile; 
looking	ukujonga; 
looks	ujonga; 
loop	isango;  irhintyela; 
lose	ukubethwa; 
loss	ilahleko;  ilahleko ekhulwini; 
losses	iilahleko; 
lost	ukubethwa; 
lot	impilo namava omntu; 
lottery	iLotho; 
love	thanda; 
loved	thandiwe; 
lovers	abathandani;  izithandwa; 
low	elisezantsi; 
low-income	ingeniso ephantsi; 
lower	ngaphantsi; 
lowest	elona lisezantsi; 
ltd	iltd; 
lump	iqhuma; 
mace	intonga yegunya; 
machine	umatshini; 
machinery	oomatshini; 
machines	oomatshini; 
macro-economic	uqoqosho olukhulu; 
macroeconomic	uqoqosho olukhulu; 
made	 umhlobo; yenza; 
magazine	 ulindixesha; imagazini; 
magazines	 oolindixesha; iimagazini; 
magisterial	ekamantyi; 
magistrate	umantyi;  imantyi; 
magistrate's	eyemantyi; 
magistrates	oomantyi; 
magnificent	enobuqhawe; 
magnitude	ubukhulu; 
mail	iposi;  ukuposa; 
main	eyintloko; 
mainly	ikakhulu; 
mainstream	intsingiselo eyintloko; 
mainstreaming	ukuhlela ngentsingiselo eyintloko; 
maintain	ukugcina;  londoloza; 
maintained	ukugcina;  londoloza; 
maintaining	ukugcina;  londoloza; 
maintains	ukugcina;  londoloza; 
maintenance	 ukugcinwa; ulondolozo;  isondlo; 
major	 -khulu;  eyona inkulu; umntu omkhulu; 
majority	 ubuntu; uninzi;  isininzi; 
make	 umhlobo; yenza; 
makers	abenzi; 
makes	 iintlobo; yenza; 
making	 umhlobo; yenza; 
malaria	 imalariya; icesina; 
male	ubuduna;  iduna; 
males	 amaduna; amadoda; 
mall	udederhu lweevenkile; 
man	indoda; 
manage	lawula;  kwazile; 
managed	lawula;  kwazile; 
management	ukulawula;  impatho;  abalawuli; 
manager	umphathi; 
managers	abaphathi; 
manages	lawula;  kwazile; 
managing	lawula;  kwazile; 
mandate	 igunya lokuphumeza okuthile; igunya; 
mandated	 igunya lokuphumeza okuthile; igunya; 
mandates	 amagunya okuphumeza okuthile; amagunya; 
mandatory	egunyazisayo;  eyalelayo; 
manifestations	iimbonakalo;  iingcaciso; 
manner	indlela yokwenza; 
manual	 wezandla; incwadi; 
manufacture	 ukuvelisa; ukwenza; 
manufactured	velisiwe; kwenziwe; 
manufacturer	umvelisi; 
manufacturing	imveliso; 
manuscript	umbhalo-ngqangi; 
manuscripts	imibhalo-ngqangi; 
many	 ninzi; eninzi; 
map	 imaphu; imephu; 
mapping	ukuzoba imaphu; 
maps	iimaphu; 
march	umngcelele;  yenza umngcelele; 
marched	kumatshiwe; umngcelele;  yenza umngcelele; 
margin	 udini; ungqameko; 
marginal	 ekwinyele; ekwidini; 
marginalised	ukuthathwa ungenamsebenzi; 
marginalized	ukuthathwa ungenamsebenzi; 
marine	-yaselwandle; 
maritime	eyaselwandle; 
mark	 ukuphawula; uphawu;  inqaku;  yiphawule; 
marked	iphawulwe; 
market	 ukuthengisa emarikeni;  ukuthengisa;  imarike; abathengi; 
marketing	ukurhweba;  uthengiso emarikeni; 
markets	 iimarike;  ukuthengisa emarikeni;  ukuthengisa; abathengi; 
marking	ukumaka; 
marks	 ukuphawula; iimpawu;  amanqaku;  yiphawule; 
marriage	 ukutshata; umtshato; 
marriages	imitshato; 
married	utshatile; 
mass	 ubunto;  imfumba;  inkitha; ubunzima; 
massive	 ininzi; inkulu;  inzima; 
master	 inkosi; igcisa; 
master's	 eyenkosi; eyegcisa; 
match	 ukufanisa; umdlalo;  imatshisi;  umati;  hambelana;  ukuhambiselana;  ngqinelelanisa; 
matches	imatshisi; 
material	ilaphu; 
materially	ngokwezinto eziphathekayo; 
materials	iimathiriyeli; amalaphu; 
maternal	ekanina; ekamama;  eyonina; 
mathematical	ngokwemathematika;  ngokwezibalo; 
mathematics	 imathematika; izibalo; 
matric	imatriki; 
matrimonial	eyomtshato; 
matter	 ububovu; into; 
matters	 ububovu; imicimbi; iinkqubo; 
maturity	 ukuvuthisa; ukukhula;  ukuvuthwa; 
max	eyona inkulu; 
maximise	khulisa; 
maximum	ngokomlinganiselo ophezulu;  elona nani likhulu;  eyona inkulu; 
may	singa-;  banga-;  anga-; 
maybe	mhlawumbi; 
mayor	usodolophu; 
mayors	 izibonda zedolophu; oosodolophu; 
me	mna; 
mean	ovimbayo;  ;  ongenasisa; 
meaning	 intsngiselo; intsingiselo; 
meaningful	enentsingiselo; 
meaningfully	ngokunentsingiselo; 
meanings	iintsingiselo; 
means	 ithi;  amandla; iindlela;  ithetha ukuthi; 
meant	ibisithi; 
measurable	enokulinganiswa; 
measure	 umlinganiso; umlinganiselo;  ukulinganisa; 
measured	linganisiwe; 
measurement	 isilinganiso; umlinganiselo; 
measures	 ukulinganisa;  imilinganiso; imilinganiselo; 
measuring	ukulinganisela; 
mechanical	ngokuzenzekela; 
mechanism	umatshini womsebenzi othile; 
mechanisms	oomatshini bomsebenzi othile; iintsebenzo-mashini; 
mediation	ulamlo; 
medical	ekagqirha;  -onyango; 
medicine	iyeza;  ichiza; 
medicines	amayeza;  amachiza; 
medium	izinga eliphakathi;  ulwimi ekufundiswa ngalo; 
medium-term	ixesha eliphakathi; 
meet	dibana; 
meeting	intlanganiso; 
meetings	iintlanganiso; 
meets	udibana;  yanelisa; 
mega	enkulu; 
melting	ukunyibilika; 
member	ilungu; 
member's	eyelungu; 
members	amalungu; 
membership	ubulungu; 
memorandum	imemorandamu; 
memorial	isikhumbuzo; 
memories	iinkumbulo;  amagumbi okuthwala; 
memory	 igumbi lokuthwala; inkumbulo; 
men	amadoda; 
mental	 -engqondo; ngokwasengqondweni; 
mentally	ngengqondo; 
mention	xela; 
mentioned	xela; 
menu	imenyu; 
merchant	umrhwebi; 
mere	 kuphela;  kodwa; nje; 
merely	 kuphela;  kodwa; nje; 
merger	umanyano;  ukudibana; 
merit	umvuzo;  isidima;  imfaneleko; 
merits	iimfaneleko;  izidima; imivuzo; 
message	umyalezo; 
messages	imiyalezo; 
messenger	umthunywa; 
met	dibene; 
metal	intsimbi;  isinyithi; 
metals	 izinyithi; iintsimbi; 
method	indlela yokwenza;  umgaqo wokwenza; 
methodology	ulwazi-nkqubo; 
methods	iindlela;  imigaqo; 
metro	 imetro; isixeko esikhulu;  isithili esikhulu;  ikomkhulu; 
metropolitan	ummi wesixeko esikhulu;  umphathi wesixeko esikhulu; 
mg	img; 
micro	isixhobo esincinci seentlobo ngeentlobo zezinto; 
middle	ephakathi; 
midst	isazulu; 
might	amandla;  mhlawumbi; 
migration	imfuduko; 
milestone	isiganeko esibalulekileyo ebomini; 
milestones	iziganeko ezibalulekileyo ebomini; 
military	amajoni;  yasemkhosini; 
milk	ubisi;  ubusi; 
millennium	iwaka leminyaka; 
million	isigidi; 
millions	izigidi; 
mind	ingqondo; 
mindful	 ukunyamekela; ukucingela; 
minds	iingqondo; 
mine	 umgodi;  yimba; ukumba umgodi; 
mineral	 iminerali; isimbiwa; 
minerals	 iiminerali; izimbiwa; 
mines	imigodi;  ukumba umgodi;  yimba; 
minimise	nciphisa; 
minimum	 eyona incinane;  buncinane; ubuncinane; 
mining	 ukwemba emgodini; ishishini lezimbiwa; 
minister	umphathiswa;  umfundisi; 
minister's	 eyomphathiswa; eyomfundisi; 
ministerial	ubuphathiswa; 
ministers	abaphathiswa;  abafundisi; 
ministry	 intshumayelo nomsebenzi weNkosi yethu; iOfisi yoMphathiswa; 
minor	 ngaphantsi; umntwana;  osengumntwana; 
minority	 ubuntwana;  igcuntswana; ubumbalwa; 
minutes	ingxelo-micimbi; 
misconduct	ukuziphatha kakubi; 
misleading	elahlekisayo; 
missing	engekhoyo; 
mission	umnqophiso; 
missions	iminqophiso; 
mitigate	dambisa; thomalalisa;  nciphisa;  pholisa; 
mitigation	 ukuthomalalisa;  ukupholisa;  unciphiso; ukudambisa; 
mix	ukuxuba; 
mixed	 xubene; vangiwe; dibene;  xutyiwe; 
mm	imm; 
mobile	ehambayo; 
mobilisation	hlanganisa; 
mobility	ukushukuma;  ushukumiseko; 
model	umzekelo;  ukubumba;  umfuziselo; 
models	imizekelo;  imifuziselo;  ukubumba; 
moderate	phakathi;  umoya ophakathi ovela; 
modern	amaxesha angoku;  eyezimini; eyangoku; 
modernisation	ukwezela amaxesha angoku; 
modify	 guqula; ukuphucula; 
moment	umzuzwana; 
moments	umzuzwana; 
momentum	amandla; amandla okuzihambela; 
monetary	eyemali; 
money	imali; 
moneys	iimali; 
monies	iimali; 
monitor	 beka iliso; jonga;  imonitha; 
monitored	 beka iliso; jonga;  imonitha; 
monitoring	 beka iliso; jonga;  imonitha; 
monitors	 beka iliso; jonga; iimonitha; 
month	inyanga; 
monthly	ngenyanga; 
months	iinyanga; 
monument	ilitye lesikhumbuzo; 
monuments	amatye ezikhumbuzo; 
moral	 -ziphatha kakuhle;  imfundiso; isifundo; 
more	ngaphezulu; 
moreover	ngaphezu koko; 
morning	kusasa;  intsasa; 
mortality	ubulungisa;  indyikitya yokufa; 
mortgage	ukubambisa ngendlu; 
most	uninzi; 
mostly	ikakhulu; 
mother	umama; 
mothers	oomama; 
motion	intshukumo;  isindululo;  isiphakamiso; 
motions	iintshukumo;  izindululo;  iziphakamiso; 
motivation	ukukhuthaza; 
motor	injini; 
motto	isaci; 
mountain	intaba; 
mountains	iintaba; 
mouth	 ichweba lomlambo; umlomo; 
movable	eshenxisekayo; 
move	 shenxisa; inyathelo; 
moved	 shenxisa; inyathelo; 
movement	iqela;  intshukumo; 
movements	amaqela;  iintshukumo; 
moves	 shenxisa; amanyathelo; 
movie	umboniso bhanyabhanya; 
moving	ehambayo; 
much	 ninzi; ngokugqithisileyo; 
multi-party	amaqela amaninzi; 
multilateral	amacala amaninzi; 
multilingual	iilwimi ezininzi; 
multilingualism	ukuthethwa kweelwimi ngeelwimi; 
multimedia	unxazonke; 
multiple	isiphindwa; 
municipal	-yedolophu;  -masipala; 
municipalities	oomasipala;  amabhunga edolophu; 
municipality	umasipala;  ibhunga ledolophu; 
mural	umzobo oxhonywe eludongeni; 
murals	imizobo exhonywe eludongeni; 
murder	ukubulala;  imbulalo-mntu; 
museum	iziko lolondolozo lwembali; 
museums	iimuziyam; amaziko olondolozo lwembali; 
music	umculo;  ingoma; 
musical	umdlalo onomculo nomdaniso; 
musician	imvumi; 
musicians	iimvumi; 
must	 incindi yediliya eqala ukubila; kumele; 
mutandis	iinguqu ezifunakayo; 
mutatis	zenziwe; 
mutual	ngemvano; vanayo; 
mutually	ngokuvana; 
my	eyam; 
myself	mna ngokwam; 
name	 ukuthiya igama; igama; 
named	 ukuthiya igama; igama; 
namely	oko kukuthi; 
names	amagama;  ukuthiya igama; 
narrative	imbaliso; 
narrow	mxinwa; 
natal	okuzalwa; 
nation	isizwe; 
nation-building	ulwakhiwo lwesizwe; 
national	-yesizwe; 
nationality	ubuzwe; 
nationally	eyesizwe; 
nationals	zesizwe;  -zesizwe; 
nationhood	ubuzwe; 
nations	izizwe; 
native	inzaka; 
natural	 -yendalo;  isiqalelo; yendalo; 
nature	ubume;  indalo; 
near	kufuphi; 
nearest	eyona ikufuphi; 
nearly	phantse; 
necessarily	funekayo; 
necessary	-funeka; 
need	imfuneko;  isidingo;  funa; 
needed	imfuneko;  isidingo;  funa; 
needs	 iimfuneko; izidingo;  funa; 
negative	isilandulo; 
negatively	ngokulandulayo; ngokugxekayo; 
neglect	utyeshelo;  ukutyeshela; 
neglected	utyeshelo;  ukutyeshela; ngahoyi; 
negligence	ukungakhathali;  ukunganaki; 
negotiate	 ukuthethana; thetha-thethana; 
negotiated	kunqophisenwe;  thetha-thethenwe; 
negotiating	 ukuthethana; thetha-thethana; 
negotiation	uthethathethwano; 
negotiations	uthethathethwano; 
neighbouring	engummelwane; 
neither	akukho namnye kubo bobabini; 
net	uthungelwano;  umnatha; 
network	uthungelwano; 
